Pathway,ANTIGEN PROCESSING AND PRESENTATION,ALLOGRAFT REJECTION,AUTOIMMUNE THYROID DISEASE,GRAFT VERSUS HOST DISEASE,TYPE I DIABETES MELLITUS,SYSTEMIC LUPUS ERYTHEMATOSUS,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,ASTHMA,LEISHMANIA INFECTION,STEROID HORMONE BIOSYNTHESIS,DRUG METABOLISM OTHER ENZYMES,RETINOL METABOLISM,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,ASCORBATE AND ALDARATE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,STARCH AND SUCROSE METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,T CELL RECEPTOR SIGNALING PATHWAY,B CELL RECEPTOR SIGNALING PATHWAY,BLADDER CANCER,LONG TERM DEPRESSION,HEMATOPOIETIC CELL LINEAGE,PRIMARY IMMUNODEFICIENCY,NOD LIKE RECEPTOR SIGNALING PATHWAY,TOLL LIKE RECEPTOR SIGNALING PATHWAY,CYTOSOLIC DNA SENSING PATHWAY,CELL CYCLE,P53 SIGNALING PATHWAY,PPAR SIGNALING PATHWAY,FATTY ACID METABOLISM,BUTANOATE METABOLISM,TASTE TRANSDUCTION,NEUROACTIVE LIGAND RECEPTOR INTERACTION,COMPLEMENT AND COAGULATION CASCADES,RIBOSOME,MELANOGENESIS,BASAL CELL CARCINOMA,DNA REPLICATION
ANTIGEN PROCESSING AND PRESENTATION,1.0,0.22727272727272727,0.375,0.3181818181818182,0.23863636363636365,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.03409090909090909,0.0,0.0,0.0,0.09090909090909091,0.10227272727272728,0.022727272727272728,0.14772727272727273,0.14772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0
ALLOGRAFT REJECTION,0.5405405405405406,1.0,0.8918918918918919,0.8108108108108109,0.8648648648648649,0.5945945945945946,0.6216216216216216,0.5405405405405406,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.21621621621621623,0.0,0.0,0.0,0.21621621621621623,0.05405405405405406,0.02702702702702703,0.16216216216216217,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOIMMUNE THYROID DISEASE,0.6346153846153846,0.6346153846153846,1.0,0.5384615384615384,0.5384615384615384,0.38461538461538464,0.4423076923076923,0.36538461538461536,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.1346153846153846,0.0,0.0,0.0,0.15384615384615385,0.038461538461538464,0.0,0.3076923076923077,0.25,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0
GRAFT VERSUS HOST DISEASE,0.6829268292682927,0.7317073170731707,0.6829268292682927,1.0,0.7804878048780488,0.4634146341463415,0.4634146341463415,0.36585365853658536,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634146341463415,0.0975609756097561,0.0,0.0,0.0,0.21951219512195122,0.0,0.07317073170731707,0.12195121951219512,0.04878048780487805,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE I DIABETES MELLITUS,0.4883720930232558,0.7441860465116279,0.6511627906976745,0.7441860465116279,1.0,0.4418604651162791,0.4186046511627907,0.3488372093023256,0.46511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558139534883721,0.09302325581395349,0.0,0.0,0.0,0.18604651162790697,0.0,0.046511627906976744,0.13953488372093023,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYSTEMIC LUPUS ERYTHEMATOSUS,0.10071942446043165,0.15827338129496402,0.14388489208633093,0.1366906474820144,0.1366906474820144,1.0,0.14388489208633093,0.12949640287769784,0.16546762589928057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.03597122302158273,0.007194244604316547,0.0,0.0,0.050359712230215826,0.014388489208633094,0.007194244604316547,0.02877697841726619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02158273381294964,0.11510791366906475,0.0,0.0,0.0,0.0
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,0.2916666666666667,0.4791666666666667,0.4791666666666667,0.3958333333333333,0.375,0.4166666666666667,1.0,0.3958333333333333,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.1875,0.125,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTHMA,0.4666666666666667,0.6666666666666666,0.6333333333333333,0.5,0.5,0.6,0.6333333333333333,1.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEISHMANIA INFECTION,0.19444444444444445,0.2777777777777778,0.2222222222222222,0.25,0.2777777777777778,0.3194444444444444,0.25,0.2361111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.25,0.1388888888888889,0.027777777777777776,0.041666666666666664,0.18055555555555555,0.0,0.2222222222222222,0.3472222222222222,0.06944444444444445,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.041666666666666664,0.0,0.0
STEROID HORMONE BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.41818181818181815,0.4,0.509090909090909,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
