"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","EGR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.20000000000000","8","6","Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=67); Enrichr--Queries(rank=95); ReMap--ChIP-seq(rank=112); GTEx--Coexpression(rank=126); ARCHS4--Coexpression(rank=270)","281","rank=14; score=2.5827; p=0.0026138","rank=31; score=3.3749; direction=Repressed","rank=35; score=19.559; p=0.0041183; adjP=0.023452","rank=8; score=2.3348; p=0.0046264","rank=243; score=1.4258; p=0.15392; direction=Repressed"
"2","SP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.40000000000001","11","5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=927); Enrichr--Queries(rank=1283); ARCHS4--Coexpression(rank=1319)","1096","rank=33; score=1.7018; p=0.019868","rank=48; score=2.7439; direction=Repressed","rank=18; score=19.552; p=0.00067961; adjP=0.031893","rank=11; score=2.0806; p=0.0083052","rank=227; score=1.5409; p=0.12334; direction=Repressed"
"3","HIF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.80000000000000","1","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","rank=2; score=4.3245; p=4.737e-05","rank=171; score=0.75002; direction=Repressed","rank=5; score=81.182; p=3.7014e-06; adjP=0.00095866","rank=1; score=5.4316; p=3.7017e-06","rank=170; score=1.7366; p=0.082452; direction=Repressed"
"4","SRF","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.59999999999999","21","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=396); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=1566)","804","rank=98; score=0.67514; p=0.21128","rank=93; score=1.7166; direction=Repressed","rank=97; score=22.306; p=0.020094; adjP=0.16315","rank=21; score=1.6969; p=0.020094","rank=44; score=2.6916; p=0.0071104; direction=Repressed"
"5","REL","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.40000000000001","17","3","ARCHS4--Coexpression(rank=140); Enrichr--Queries(rank=401); GTEx--Coexpression(rank=913)","344","rank=27; score=1.9643; p=0.010856","rank=101; score=1.5798; direction=Repressed","rank=80; score=28.143; p=0.014167; adjP=0.15289","rank=17; score=1.8487; p=0.014167","rank=157; score=1.8319; p=0.06696; direction=Repressed"
"6","ESR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","82.59999999999999","41","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=133); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=374)","215","rank=63; score=1.1249; p=0.075004","rank=41; score=3.0421; direction=Repressed","rank=65; score=11.897; p=0.00097265; adjP=0.0071841","rank=150; score=0.27159; p=0.53507","rank=94; score=2.1333; p=0.032901; direction=Repressed"
"7","AR","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.40000000000001","28","5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=221); ARCHS4--Coexpression(rank=530); GTEx--Coexpression(rank=844)","414","rank=76; score=0.97304; p=0.1064","rank=140; score=1.1173; direction=Repressed","rank=28; score=15.713; p=0.00012858; adjP=0.0016258","rank=80; score=0.75798; p=0.17459","rank=103; score=2.0864; p=0.03694; direction=Repressed"
"8","FOS","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.59999999999999","12","5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=209); ARCHS4--Coexpression(rank=406)","81","rank=12; score=2.9051; p=0.0012442","rank=202; score=0.4727; direction=Repressed","rank=51; score=18.98; p=0.0099375; adjP=0.15289","rank=133; score=0.41155; p=0.38766","rank=35; score=2.7601; p=0.0057783; direction=Repressed"
"9","KLF5","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","89.00000000000000","3","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=83)","5","rank=49; score=1.3608; p=0.043566","rank=3; score=7.179; direction=Repressed","rank=233; score=30.974; p=0.00085488; adjP=0.0067525","rank=112; score=0.57592; p=0.26551","rank=48; score=2.6301; p=0.008536; direction=Repressed"
"10","ZEB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","92.20000000000000","7","5","ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=34); Enrichr--Queries(rank=71); GTEx--Coexpression(rank=125); ReMap--ChIP-seq(rank=269)","85","rank=130; score=0.5235; p=0.29957","rank=7; score=4.6296; direction=Activated","rank=64; score=10.195; p=0.013512; adjP=0.3998","rank=113; score=0.57592; p=0.26551","rank=147; score=1.8906; p=0.05868; direction=Repressed"
