Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,RRNA BINDING,"DNA APURINIC OR APYRIMIDINIC SITE
ENDONUCLEASE ACTIVITY",CADHERIN BINDING,"CADHERIN BINDING INVOLVED IN CELL CELL
ADHESION",CALCIUM DEPENDENT PROTEIN BINDING,S100 PROTEIN BINDING,ENZYME INHIBITOR ACTIVITY,LIPASE INHIBITOR ACTIVITY,CATALYTIC ACTIVITY ACTING ON RNA,CATALYTIC ACTIVITY ACTING ON A TRNA,RNA METHYLTRANSFERASE ACTIVITY,GROWTH FACTOR BINDING,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,FIBRONECTIN BINDING,INTEGRIN BINDING,PROTEASE BINDING,PEPTIDASE REGULATOR ACTIVITY,ENDOPEPTIDASE REGULATOR ACTIVITY,ACTIN FILAMENT BINDING,ACTIN BINDING,STRUCTURAL CONSTITUENT OF CYTOSKELETON,LIPID TRANSFER ACTIVITY,PHOSPHATIDYLCHOLINE TRANSPORTER ACTIVITY,PHOSPHOLIPID TRANSPORTER ACTIVITY,SPHINGOLIPID TRANSPORTER ACTIVITY,"ATPASE COUPLED INTRAMEMBRANE LIPID
TRANSPORTER ACTIVITY",METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,COPPER ION TRANSMEMBRANE TRANSPORTER ACTIVITY,HISTONE BINDING,TRANSLATION FACTOR ACTIVITY,TRANSLATION INITIATION FACTOR ACTIVITY,RIBONUCLEOPROTEIN COMPLEX BINDING,STEROID BINDING,POU DOMAIN BINDING,NITRIC OXIDE SYNTHASE REGULATOR ACTIVITY,"TFIID CLASS TRANSCRIPTION FACTOR COMPLEX
BINDING",DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,"THIOREDOXIN DISULFIDE REDUCTASE NADPH
ACTIVITY"
STRUCTURAL CONSTITUENT OF RIBOSOME,1.0,0.16374269005847952,0.005847953216374269,0.05847953216374269,0.0,0.0,0.0,0.04093567251461988,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0
RRNA BINDING,0.4,1.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.08571428571428572,0.0,0.12857142857142856,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.18571428571428572,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0
"DNA APURINIC OR APYRIMIDINIC SITE
ENDONUCLEASE ACTIVITY",0.06666666666666667,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
CADHERIN BINDING,0.029850746268656716,0.005970149253731343,0.0,1.0,0.05373134328358209,0.011940298507462687,0.014925373134328358,0.04776119402985075,0.005970149253731343,0.014925373134328358,0.0029850746268656717,0.0,0.023880597014925373,0.0,0.0029850746268656717,0.023880597014925373,0.011940298507462687,0.011940298507462687,0.005970149253731343,0.11343283582089553,0.18507462686567164,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.011940298507462687,0.0,0.0029850746268656717,0.03283582089552239,0.020895522388059702,0.03582089552238806,0.0,0.0,0.0029850746268656717,0.0029850746268656717,0.0,0.0029850746268656717,0.0
"CADHERIN BINDING INVOLVED IN CELL CELL
ADHESION",0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCIUM DEPENDENT PROTEIN BINDING,0.0,0.0,0.0,0.04938271604938271,0.037037037037037035,1.0,0.07407407407407407,0.09876543209876543,0.06172839506172839,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.037037037037037035,0.037037037037037035,0.024691358024691357,0.024691358024691357,0.037037037037037035,0.07407407407407407,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.012345679012345678,0.0,0.0,0.0,0.0
S100 PROTEIN BINDING,0.0,0.0,0.0,0.35714285714285715,0.14285714285714285,0.42857142857142855,1.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENZYME INHIBITOR ACTIVITY,0.014925373134328358,0.01279317697228145,0.0,0.03411513859275053,0.0042643923240938165,0.017057569296375266,0.0042643923240938165,1.0,0.04477611940298507,0.010660980810234541,0.0042643923240938165,0.0,0.014925373134328358,0.019189765458422176,0.006396588486140725,0.010660980810234541,0.06396588486140725,0.3859275053304904,0.3646055437100213,0.01279317697228145,0.03837953091684435,0.0,0.0021321961620469083,0.0,0.0,0.0,0.0,0.006396588486140725,0.0,0.021321961620469083,0.0021321961620469083,0.0,0.01279317697228145,0.014925373134328358,0.0,0.008528784648187633,0.0021321961620469083,0.0,0.0021321961620469083,0.0
LIPASE INHIBITOR ACTIVITY,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.047619047619047616,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0
CATALYTIC ACTIVITY ACTING ON RNA,0.0,0.02097902097902098,0.004662004662004662,0.011655011655011656,0.0,0.0,0.0,0.011655011655011656,0.0,1.0,0.3613053613053613,0.1585081585081585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002331002331002331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016317016317016316,0.009324009324009324,0.053613053613053616,0.0,0.0,0.0,0.002331002331002331,0.0,0.0,0.0
