"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","1","4.60000000000000","5","0.0001202610491182220013","0.0122666270100586505","36.667520301847140729024","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=1, adjP=0.0123); ENCODE_TF_ChIP-seq_2015(rank=1, adjP=0.637); Transcription_Factor_PPIs(rank=2, adjP=0.415); TRRUST_Transcription_Factors_2019(rank=4, adjP=0.253); ChEA_2022(rank=15, adjP=0.0435)","E2F4 ENCODE; E2F4 HeLa-S3 hg19; E2F4; E2F4 human; E2F4 17652178 ChIP-ChIP JURKAT Human","1","36.667520301847140729024","enrichr","1","36.667520301847140729024","0.0001202610491182220013","0.0122666270100586505","","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"SP1","1","36.00000000000000","4","0.0011917400096845870601","0.2194022622900443087","13.440097302886718111381","TRRUST_Transcription_Factors_2019(rank=1, adjP=0.219); Transcription_Factor_PPIs(rank=42, adjP=0.999); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=43, adjP=1); ENCODE_TF_ChIP-seq_2015(rank=58, adjP=1)","SP1 human; SP1; SP1 ENCODE; SP1 H1-hESC hg19","2","13.440097302886718111381","enrichr","2","13.440097302886718111381","0.0011917400096845870601","0.2194022622900443087","","5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=1269); Enrichr--Queries(rank=1277); ARCHS4--Coexpression(rank=1363)","692","0.18859999999999999","ReMap ChIP-seq,0.1886"
"TP63","1","48.00000000000000","3","0.0000002246701863909576","0.0001662559379293086","27.815242906074921336312","ChEA_2022(rank=1, adjP=0.000166); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=27, adjP=1); Transcription_Factor_PPIs(rank=116, adjP=0.999)","TP63 30713093 ChIP-Seq Epithelial Human Tongue SCC; TP63 CHEA; TP63","3","27.815242906074921336312","enrichr","3","27.815242906074921336312","0.0000002246701863909576","0.0001662559379293086","","5","ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=37); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=89); GTEx--Coexpression(rank=611)","231","0.05467000000000000","ARCHS4 Coexpression,0.05467"
"MYBL1","1","333.50000000000000","2","0.0013635419579832300848","0.1772604545378199115","127.942008570739815809247","Transcription_Factor_PPIs(rank=1, adjP=0.177); ChEA_2022(rank=666, adjP=1)","MYBL1; MYBL1 21750041 ChIP-ChIP SPERMATOCYTES Mouse","4","127.942008570739815809247","enrichr","4","127.942008570739815809247","0.0013635419579832300848","0.1772604545378199115","","4","Enrichr--Queries(rank=18); Literature--ChIP-seq(rank=149); GTEx--Coexpression(rank=422); ARCHS4--Coexpression(rank=658)","53","0.01282000000000000","Enrichr Queries,0.01282"
"RACK7","2","2.00000000000000","1","0.0000026792025161882098","0.0008593472398501667","23.176422641093505916388","ChEA_2022(rank=2, adjP=0.000859)","RACK7 27058665 Chip-Seq MCF-7 Human","5","23.176422641093505916388","enrichr","5","23.176422641093505916388","0.0000026792025161882098","0.0008593472398501667","","0","",NA,NA,NA
"TP53","2","82.50000000000000","4","0.0017341403314525920525","0.0884411569040821910","13.929867526101194386001","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=2, adjP=0.0884); ChEA_2022(rank=39, adjP=0.109); Transcription_Factor_PPIs(rank=121, adjP=0.999); TRRUST_Transcription_Factors_2019(rank=168, adjP=0.543)","TP53 CHEA; TP53 22127205 ChIP-Seq IMR90 Human; TP53; TP53 human","6","13.929867526101194386001","enrichr","6","13.929867526101194386001","0.0017341403314525920525","0.0884411569040821910","","5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=859); GTEx--Coexpression(rank=1347)","232","0.05488000000000000","Literature ChIP-seq,0.05488"
"NR3C1","2","108.00000000000000","4","0.0130915565123076692300","0.6315745372706775829","8.861120035048887899620","ENCODE_TF_ChIP-seq_2015(rank=2, adjP=1); Transcription_Factor_PPIs(rank=67, adjP=0.999); ChEA_2022(rank=135, adjP=0.632); TRRUST_Transcription_Factors_2019(rank=228, adjP=0.736)","NR3C1 ECC-1 hg19; NR3C1; NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation; NR3C1 human","7","8.861120035048887899620","enrichr","7","8.861120035048887899620","0.0130915565123076692300","0.6315745372706775829","","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=76); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=600); GTEx--Coexpression(rank=949); ARCHS4--Coexpression(rank=1091)","75","0.01695000000000000","ENCODE ChIP-seq,0.01695"
"FOXO3","2","318.00000000000000","2","0.0019996387149050138567","0.2194022622900443087","100.425807327135174773503","TRRUST_Transcription_Factors_2019(rank=2, adjP=0.219); ChEA_2022(rank=634, adjP=1)","FOXO3 mouse; FOXO3 23340844 ChIP-Seq DLD1 Human","8","100.425807327135174773503","enrichr","8","100.425807327135174773503","0.0019996387149050138567","0.2194022622900443087","","4","Literature--ChIP-seq(rank=141); Enrichr--Queries(rank=1045); ARCHS4--Coexpression(rank=1111); GTEx--Coexpression(rank=1559)","1507","0.68240000000000001","ARCHS4 Coexpression,0.6824"
"SRY","3","3.00000000000000","1","0.0000034838401615547302","0.0008593472398501667","20.703924571161177681233","ChEA_2022(rank=3, adjP=0.000859)","SRY 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse","9","20.703924571161177681233","enrichr","9","20.703924571161177681233","0.0000034838401615547302","0.0008593472398501667","","4","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=575); ARCHS4--Coexpression(rank=1109); GTEx--Coexpression(rank=1257)","24","0.00609800000000000","Literature ChIP-seq,0.006098"
"VHL","3","3.00000000000000","1","0.0026975687986480851796","0.2194022622900443087","47.849103436773930297932","TRRUST_Transcription_Factors_2019(rank=3, adjP=0.219)","VHL human","10","47.849103436773930297932","enrichr","10","47.849103436773930297932","0.0026975687986480851796","0.2194022622900443087","","0","",NA,NA,NA
