Pathway,MTOR UP.N4.V1 UP,HOXA9 DN.V1 DN,MTOR UP.V1 UP,CYCLIN D1 UP.V1 UP,ESC V6.5 UP LATE.V1 DN,CRX DN.V1 DN,ALK DN.V1 UP,MEL18 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,BMI1 DN.V1 UP,LEF1 UP.V1 UP,KRAS.600 UP.V1 UP,MEK UP.V1 UP,ERBB2 UP.V1 UP,EGFR UP.V1 UP,RAF UP.V1 UP,RB DN.V1 DN,RB P107 DN.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,RPS14 DN.V1 DN,NFE2L2.V2,E2F1 UP.V1 UP,STK33 DN,STK33 NOMO DN,STK33 SKM DN,LTE2 UP.V1 DN,ERBB2 UP.V1 DN,RAF UP.V1 DN,E2F1 UP.V1 DN,KRAS.DF.V1 UP,STK33 NOMO UP,CAMP UP.V1 UP,SIRNA EIF4GI UP,P53 DN.V1 UP,HINATA NFKB MATRIX,VEGF A UP.V1 DN,E2F3 UP.V1 DN,JAK2 DN.V1 UP,PTEN DN.V2 UP,PRC2 EED DN.V1 DN
MTOR UP.N4.V1 UP,1.0,0.0663265306122449,0.04591836734693878,0.025510204081632654,0.025510204081632654,0.015306122448979591,0.05612244897959184,0.05612244897959184,0.061224489795918366,0.030612244897959183,0.01020408163265306,0.015306122448979591,0.025510204081632654,0.025510204081632654,0.04591836734693878,0.025510204081632654,0.03571428571428571,0.04081632653061224,0.00510204081632653,0.08163265306122448,0.061224489795918366,0.00510204081632653,0.061224489795918366,0.061224489795918366,0.03571428571428571,0.04591836734693878,0.03571428571428571,0.025510204081632654,0.04591836734693878,0.04591836734693878,0.030612244897959183,0.025510204081632654,0.015306122448979591,0.02040816326530612,0.0,0.030612244897959183,0.01020408163265306,0.00510204081632653,0.025510204081632654,0.01020408163265306
HOXA9 DN.V1 DN,0.06842105263157895,1.0,0.05263157894736842,0.010526315789473684,0.021052631578947368,0.015789473684210527,0.02631578947368421,0.042105263157894736,0.015789473684210527,0.02631578947368421,0.03684210526315789,0.010526315789473684,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.03684210526315789,0.031578947368421054,0.010526315789473684,0.005263157894736842,0.08421052631578947,0.04736842105263158,0.03684210526315789,0.031578947368421054,0.021052631578947368,0.06842105263157895,0.042105263157894736,0.02631578947368421,0.04736842105263158,0.031578947368421054,0.03684210526315789,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.0,0.021052631578947368,0.010526315789473684,0.0,0.010526315789473684,0.06842105263157895
MTOR UP.V1 UP,0.052941176470588235,0.058823529411764705,1.0,0.011764705882352941,0.029411764705882353,0.041176470588235294,0.011764705882352941,0.0058823529411764705,0.023529411764705882,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.0058823529411764705,0.011764705882352941,0.03529411764705882,0.0058823529411764705,0.011764705882352941,0.023529411764705882,0.052941176470588235,0.01764705882352941,0.0058823529411764705,0.01764705882352941,0.0058823529411764705,0.047058823529411764,0.023529411764705882,0.011764705882352941,0.01764705882352941,0.041176470588235294,0.0058823529411764705,0.01764705882352941,0.029411764705882353,0.01764705882352941,0.0,0.023529411764705882,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.029411764705882353
CYCLIN D1 UP.V1 UP,0.026737967914438502,0.0106951871657754,0.0106951871657754,1.0,0.03208556149732621,0.026737967914438502,0.0106951871657754,0.03208556149732621,0.03208556149732621,0.0481283422459893,0.0106951871657754,0.0374331550802139,0.026737967914438502,0.0106951871657754,0.026737967914438502,0.0213903743315508,0.0053475935828877,0.0053475935828877,0.0,0.026737967914438502,0.026737967914438502,0.0106951871657754,0.03208556149732621,0.026737967914438502,0.03208556149732621,0.0427807486631016,0.0213903743315508,0.0106951871657754,0.0213903743315508,0.026737967914438502,0.0106951871657754,0.016042780748663103,0.0106951871657754,0.0106951871657754,0.0,0.016042780748663103,0.016042780748663103,0.0106951871657754,0.016042780748663103,0.026737967914438502
ESC V6.5 UP LATE.V1 DN,0.027932960893854747,0.0223463687150838,0.027932960893854747,0.0335195530726257,1.0,0.0446927374301676,0.0335195530726257,0.0111731843575419,0.01675977653631285,0.0111731843575419,0.0335195530726257,0.027932960893854747,0.027932960893854747,0.01675977653631285,0.027932960893854747,0.0223463687150838,0.0111731843575419,0.0223463687150838,0.0111731843575419,0.05027932960893855,0.055865921787709494,0.027932960893854747,0.0111731843575419,0.0223463687150838,0.0111731843575419,0.0223463687150838,0.0223463687150838,0.0111731843575419,0.055865921787709494,0.0335195530726257,0.0223463687150838,0.01675977653631285,0.00558659217877095,0.0223463687150838,0.00558659217877095,0.0223463687150838,0.0111731843575419,0.01675977653631285,0.0223463687150838,0.0335195530726257
CRX DN.V1 DN,0.022727272727272728,0.022727272727272728,0.05303030303030303,0.03787878787878788,0.06060606060606061,1.0,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.03787878787878788,0.045454545454545456,0.030303030303030304,0.022727272727272728,0.045454545454545456,0.030303030303030304,0.045454545454545456,0.015151515151515152,0.007575757575757576,0.030303030303030304,0.022727272727272728,0.007575757575757576,0.0,0.0,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.045454545454545456,0.030303030303030304,0.045454545454545456,0.0,0.015151515151515152,0.015151515151515152,0.0,0.022727272727272728,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.015151515151515152
ALK DN.V1 UP,0.07801418439716312,0.03546099290780142,0.014184397163120567,0.014184397163120567,0.0425531914893617,0.028368794326241134,1.0,0.1347517730496454,0.1347517730496454,0.11347517730496454,0.06382978723404255,0.05673758865248227,0.0425531914893617,0.04964539007092199,0.03546099290780142,0.02127659574468085,0.03546099290780142,0.014184397163120567,0.0,0.0425531914893617,0.11347517730496454,0.0070921985815602835,0.014184397163120567,0.028368794326241134,0.02127659574468085,0.03546099290780142,0.0,0.028368794326241134,0.028368794326241134,0.02127659574468085,0.07092198581560284,0.014184397163120567,0.014184397163120567,0.0,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.028368794326241134,0.02127659574468085
MEL18 DN.V1 UP,0.07801418439716312,0.05673758865248227,0.0070921985815602835,0.0425531914893617,0.014184397163120567,0.014184397163120567,0.1347517730496454,1.0,0.6382978723404256,0.6312056737588653,0.07092198581560284,0.0851063829787234,0.07801418439716312,0.02127659574468085,0.12056737588652482,0.03546099290780142,0.05673758865248227,0.014184397163120567,0.0070921985815602835,0.02127659574468085,0.04964539007092199,0.014184397163120567,0.0070921985815602835,0.0,0.02127659574468085,0.05673758865248227,0.0070921985815602835,0.04964539007092199,0.05673758865248227,0.07801418439716312,0.07092198581560284,0.0,0.0070921985815602835,0.0425531914893617,0.0,0.02127659574468085,0.0425531914893617,0.03546099290780142,0.03546099290780142,0.0425531914893617
BMI1 DN MEL18 DN.V1 UP,0.08275862068965517,0.020689655172413793,0.027586206896551724,0.041379310344827586,0.020689655172413793,0.013793103448275862,0.1310344827586207,0.6206896551724138,1.0,0.5793103448275863,0.06896551724137931,0.06206896551724138,0.06206896551724138,0.041379310344827586,0.12413793103448276,0.05517241379310345,0.034482758620689655,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.05517241379310345,0.013793103448275862,0.027586206896551724,0.013793103448275862,0.034482758620689655,0.06206896551724138,0.006896551724137931,0.027586206896551724,0.06206896551724138,0.06896551724137931,0.07586206896551724,0.006896551724137931,0.006896551724137931,0.06206896551724138,0.0,0.020689655172413793,0.027586206896551724,0.034482758620689655,0.06206896551724138,0.027586206896551724
BMI1 DN.V1 UP,0.04081632653061224,0.034013605442176874,0.013605442176870748,0.061224489795918366,0.013605442176870748,0.013605442176870748,0.10884353741496598,0.6054421768707483,0.5714285714285714,1.0,0.047619047619047616,0.05442176870748299,0.047619047619047616,0.034013605442176874,0.10884353741496598,0.061224489795918366,0.061224489795918366,0.006802721088435374,0.006802721088435374,0.027210884353741496,0.047619047619047616,0.006802721088435374,0.027210884353741496,0.013605442176870748,0.027210884353741496,0.04081632653061224,0.02040816326530612,0.047619047619047616,0.047619047619047616,0.07482993197278912,0.061224489795918366,0.0,0.0,0.061224489795918366,0.0,0.02040816326530612,0.047619047619047616,0.034013605442176874,0.034013605442176874,0.04081632653061224
