Pathway,AREB6 03,LMO2COM 01,LFA1 Q6,VDR Q3,DR3 Q4,CP2 02,RNCTGNYNRNCTGNY UNKNOWN,SMAD3 Q6,SP1 Q6 01,SP1 Q6,AP2ALPHA 01,AP2GAMMA 01,SP3 Q3,CREL 01,NFKAPPAB65 01,NFKAPPAB 01,AP4 Q6 01,HEB Q6,AP4 Q5,AP4 Q6,RP58 01,AP4 01,HEN1 02,HEN1 01,MYOGENIN Q6,RFX1 02,BACH2 01,BACH1 01,AP1 01,AP1 C,TTCYRGAA UNKNOWN,LMO2COM 02,IPF1 Q4,GCGSCMNTTT UNKNOWN,YY1 01,MAZ Q6,MAZR 01,E2F4DP1 01,E2F 02,E2F1 Q6 01
AREB6 03,1.0,0.2339622641509434,0.045283018867924525,0.045283018867924525,0.03773584905660377,0.06415094339622641,0.01509433962264151,0.052830188679245285,0.04905660377358491,0.022641509433962263,0.022641509433962263,0.03018867924528302,0.05660377358490566,0.03773584905660377,0.03018867924528302,0.026415094339622643,0.03018867924528302,0.022641509433962263,0.03773584905660377,0.045283018867924525,0.033962264150943396,0.07169811320754717,0.07547169811320754,0.07547169811320754,0.04905660377358491,0.03773584905660377,0.05660377358490566,0.045283018867924525,0.04905660377358491,0.04150943396226415,0.022641509433962263,0.022641509433962263,0.03773584905660377,0.0,0.022641509433962263,0.045283018867924525,0.05660377358490566,0.026415094339622643,0.026415094339622643,0.026415094339622643
LMO2COM 01,0.2339622641509434,1.0,0.052830188679245285,0.05660377358490566,0.04150943396226415,0.052830188679245285,0.026415094339622643,0.052830188679245285,0.052830188679245285,0.04905660377358491,0.033962264150943396,0.033962264150943396,0.045283018867924525,0.026415094339622643,0.026415094339622643,0.033962264150943396,0.0830188679245283,0.06792452830188679,0.09433962264150944,0.05660377358490566,0.04905660377358491,0.07924528301886792,0.07169811320754717,0.05660377358490566,0.09056603773584905,0.04150943396226415,0.04150943396226415,0.045283018867924525,0.052830188679245285,0.052830188679245285,0.04150943396226415,0.03773584905660377,0.026415094339622643,0.0037735849056603774,0.045283018867924525,0.033962264150943396,0.018867924528301886,0.026415094339622643,0.022641509433962263,0.022641509433962263
LFA1 Q6,0.04780876494023904,0.055776892430278883,1.0,0.10756972111553785,0.05976095617529881,0.0796812749003984,0.0199203187250996,0.05976095617529881,0.06772908366533864,0.05179282868525897,0.055776892430278883,0.06772908366533864,0.05179282868525897,0.055776892430278883,0.035856573705179286,0.043824701195219126,0.06772908366533864,0.04780876494023904,0.05976095617529881,0.06772908366533864,0.0199203187250996,0.08764940239043825,0.027888446215139442,0.04780876494023904,0.055776892430278883,0.02390438247011952,0.05179282868525897,0.05179282868525897,0.05179282868525897,0.04780876494023904,0.027888446215139442,0.07569721115537849,0.043824701195219126,0.01593625498007968,0.035856573705179286,0.05179282868525897,0.09561752988047809,0.05179282868525897,0.05179282868525897,0.05179282868525897
VDR Q3,0.05172413793103448,0.06465517241379311,0.11637931034482758,1.0,0.1336206896551724,0.09051724137931035,0.021551724137931036,0.08189655172413793,0.04741379310344827,0.06896551724137931,0.10344827586206896,0.10775862068965517,0.09051724137931035,0.08189655172413793,0.07758620689655173,0.07758620689655173,0.04310344827586207,0.05172413793103448,0.05603448275862069,0.04741379310344827,0.05172413793103448,0.07327586206896551,0.05172413793103448,0.05172413793103448,0.04741379310344827,0.02586206896551724,0.017241379310344827,0.03017241379310345,0.03879310344827586,0.034482758620689655,0.04310344827586207,0.04310344827586207,0.021551724137931036,0.021551724137931036,0.04741379310344827,0.09051724137931035,0.125,0.04310344827586207,0.04310344827586207,0.06896551724137931
DR3 Q4,0.06711409395973154,0.0738255033557047,0.10067114093959731,0.2080536912751678,1.0,0.11409395973154363,0.026845637583892617,0.087248322147651,0.040268456375838924,0.040268456375838924,0.06040268456375839,0.06040268456375839,0.06711409395973154,0.040268456375838924,0.04697986577181208,0.06040268456375839,0.09395973154362416,0.087248322147651,0.087248322147651,0.03355704697986577,0.0738255033557047,0.10067114093959731,0.03355704697986577,0.053691275167785234,0.040268456375838924,0.053691275167785234,0.03355704697986577,0.04697986577181208,0.053691275167785234,0.040268456375838924,0.04697986577181208,0.03355704697986577,0.053691275167785234,0.020134228187919462,0.04697986577181208,0.06711409395973154,0.12080536912751678,0.053691275167785234,0.06040268456375839,0.0738255033557047
CP2 02,0.06692913385826772,0.05511811023622047,0.07874015748031496,0.08267716535433071,0.06692913385826772,1.0,0.01968503937007874,0.047244094488188976,0.03543307086614173,0.03937007874015748,0.05511811023622047,0.06299212598425197,0.07086614173228346,0.051181102362204724,0.05511811023622047,0.05905511811023622,0.051181102362204724,0.06299212598425197,0.07086614173228346,0.05905511811023622,0.04330708661417323,0.06692913385826772,0.06299212598425197,0.07874015748031496,0.05905511811023622,0.04330708661417323,0.06299212598425197,0.06299212598425197,0.06299212598425197,0.047244094488188976,0.05511811023622047,0.047244094488188976,0.047244094488188976,0.007874015748031496,0.047244094488188976,0.04330708661417323,0.05905511811023622,0.015748031496062992,0.011811023622047244,0.027559055118110236
RNCTGNYNRNCTGNY UNKNOWN,0.04597701149425287,0.08045977011494253,0.05747126436781609,0.05747126436781609,0.04597701149425287,0.05747126436781609,1.0,0.16091954022988506,0.022988505747126436,0.05747126436781609,0.06896551724137931,0.04597701149425287,0.022988505747126436,0.034482758620689655,0.022988505747126436,0.04597701149425287,0.05747126436781609,0.05747126436781609,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.05747126436781609,0.06896551724137931,0.08045977011494253,0.08045977011494253,0.011494252873563218,0.034482758620689655,0.011494252873563218,0.0,0.0,0.04597701149425287,0.04597701149425287,0.0,0.08045977011494253,0.011494252873563218,0.04597701149425287,0.022988505747126436,0.022988505747126436,0.011494252873563218
SMAD3 Q6,0.05785123966942149,0.05785123966942149,0.06198347107438017,0.07851239669421488,0.05371900826446281,0.049586776859504134,0.05785123966942149,1.0,0.0371900826446281,0.024793388429752067,0.05785123966942149,0.06198347107438017,0.0743801652892562,0.04132231404958678,0.03305785123966942,0.028925619834710745,0.05785123966942149,0.06611570247933884,0.05785123966942149,0.06198347107438017,0.08677685950413223,0.0743801652892562,0.07024793388429752,0.0743801652892562,0.05371900826446281,0.0371900826446281,0.049586776859504134,0.0371900826446281,0.045454545454545456,0.045454545454545456,0.05785123966942149,0.0371900826446281,0.04132231404958678,0.02066115702479339,0.045454545454545456,0.045454545454545456,0.06198347107438017,0.01652892561983471,0.01652892561983471,0.008264462809917356
SP1 Q6 01,0.05241935483870968,0.056451612903225805,0.06854838709677419,0.04435483870967742,0.024193548387096774,0.036290322580645164,0.008064516129032258,0.036290322580645164,1.0,0.5201612903225806,0.08064516129032258,0.11290322580645161,0.08064516129032258,0.028225806451612902,0.028225806451612902,0.028225806451612902,0.036290322580645164,0.04032258064516129,0.05241935483870968,0.056451612903225805,0.04838709677419355,0.028225806451612902,0.04032258064516129,0.020161290322580645,0.056451612903225805,0.024193548387096774,0.05241935483870968,0.04435483870967742,0.04032258064516129,0.05241935483870968,0.05241935483870968,0.024193548387096774,0.04435483870967742,0.016129032258064516,0.028225806451612902,0.06048387096774194,0.04838709677419355,0.028225806451612902,0.028225806451612902,0.04838709677419355
SP1 Q6,0.023076923076923078,0.05,0.05,0.06153846153846154,0.023076923076923078,0.038461538461538464,0.019230769230769232,0.023076923076923078,0.49615384615384617,1.0,0.09615384615384616,0.11153846153846154,0.06923076923076923,0.046153846153846156,0.04230769230769231,0.03461538461538462,0.05384615384615385,0.038461538461538464,0.05384615384615385,0.057692307692307696,0.05,0.026923076923076925,0.04230769230769231,0.038461538461538464,0.038461538461538464,0.03076923076923077,0.026923076923076925,0.03461538461538462,0.026923076923076925,0.023076923076923078,0.046153846153846156,0.015384615384615385,0.023076923076923078,0.0,0.03461538461538462,0.04230769230769231,0.057692307692307696,0.03461538461538462,0.03076923076923077,0.038461538461538464
