"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","E2F4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333334","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1318)","17","rank=17; score=0.006098","rank=1; score=471.78; p=9.9137e-39; adjP=1.031e-36","rank=1; score=10.914; p=9.8658e-28; direction=Repressed"
"2","TFDP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.666666666666666","2","4","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=59)","2","rank=2; score=0.0006223","rank=22; score=284.53; p=1.5966e-05; adjP=0.00072844","rank=8; score=3.9171; p=8.9622e-05; direction=Repressed"
"3","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.666666666666666","4","6","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=194)","13","rank=13; score=0.003734","rank=4; score=165.53; p=4.7122e-12; adjP=1.72e-09","rank=21; score=3.2171; p=0.0012949; direction=Repressed"
"4","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.333333333333332","2","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=8)","7","rank=7; score=0.001867","rank=2; score=236.25; p=2.2677e-16; adjP=1.7007e-13","rank=46; score=2.4596; p=0.01391; direction=Repressed"
"5","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.000000000000000","9","6","GTEx--Coexpression(rank=19); ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=67); Literature--ChIP-seq(rank=139); ARCHS4--Coexpression(rank=454); Enrichr--Queries(rank=711)","43","rank=43; score=0.01182","rank=119; score=4.9797; p=0.045006; adjP=0.18632","rank=9; score=3.846; p=0.00012007; direction=Activated"
"6","E2F3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.666666666666671","23","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1432)","61","rank=61; score=0.01658","rank=125; score=34.463; p=0.011418; adjP=0.099229","rank=23; score=3.0679; p=0.0021558; direction=Repressed"
"7","SALL4","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","72.333333333333329","44","4","ARCHS4--Coexpression(rank=34); Enrichr--Queries(rank=53); Literature--ChIP-seq(rank=74); GTEx--Coexpression(rank=964)","79","rank=79; score=0.02088","rank=44; score=4.6854; p=0.047956; adjP=0.27532","rank=94; score=2.0267; p=0.042691; direction=Activated"
"8","RXRA","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.000000000000000","21","6","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=780); Enrichr--Queries(rank=1012); GTEx--Coexpression(rank=1069)","97","rank=97; score=0.02542","rank=21; score=20.83; p=0.0007637; adjP=0.085667","rank=113; score=1.9002; p=0.057411; direction=Activated"
"9","E2F6","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.333333333333329","29","5","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=119); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=240); GTEx--Coexpression(rank=1058)","165","rank=165; score=0.04237","rank=62; score=37.399; p=0.026146; adjP=0.15645","rank=29; score=2.8977; p=0.0037589; direction=Repressed"
"10","JUN","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","89.000000000000000","32","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=182); GTEx--Coexpression(rank=204); Enrichr--Queries(rank=300)","130","rank=130; score=0.0339","rank=32; score=10.207; p=0.003032; adjP=0.075118","rank=105; score=1.9342; p=0.053091; direction=Activated"
