"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","7.39943708752075846","-3.6512424986107765434","0.0000000000000000000000000002175616499668464","DLD1=-11.05; HCT15=3.748","Repressed","1","collectri","1","7.39943708752075846",NA,"6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=961); ARCHS4--Coexpression(rank=1035); GTEx--Coexpression(rank=1493)","1060","0.35589999999999999","ENCODE ChIP-seq,0.3559"
"FOXO3","3.34895194812272301","3.3489519481227230102","0.0000000018591698507605165300787238168611810","DLD1=6.01; HCT15=0.6882","Activated","2","collectri","2","3.34895194812272301",NA,"4","Literature--ChIP-seq(rank=101); Enrichr--Queries(rank=279); GTEx--Coexpression(rank=845); ARCHS4--Coexpression(rank=903)","684","0.19869999999999999","Enrichr Queries,0.1987"
"ATF4","3.62156368061976508","3.6215636806197650799","0.0000001200344061532907735918385225964977181","DLD1=1.95; HCT15=5.293","Activated","3","collectri","3","3.62156368061976508",NA,"4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=465); ARCHS4--Coexpression(rank=800)","94","0.02357000000000000","ReMap ChIP-seq,0.02357"
"TFE3","3.85926103217153305","3.8592610321715330457","0.0000001628970489602613683904479583916535823","DLD1=5.237; HCT15=2.481","Activated","4","collectri","4","3.85926103217153305",NA,"3","GTEx--Coexpression(rank=300); Enrichr--Queries(rank=388); ARCHS4--Coexpression(rank=1100)","650","0.18670000000000000","GTEx Coexpression,0.1867"
"ATF3","3.88373067614605905","3.8837306761460590465","0.0000004708397923691733669535497853325667350","DLD1=2.73; HCT15=5.038","Activated","5","collectri","5","3.88373067614605905",NA,"6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=5); Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=48)","1","0.00061430000000000","ARCHS4 Coexpression,6.143E-4"
"ZNF331","2.72563764661052499","-2.0926075164704132092","0.0000014482634922151638263775963802459934016","DLD1=-4.818; HCT15=0.633","Repressed","6","collectri","6","2.72563764661052499",NA,"3","Enrichr--Queries(rank=34); ARCHS4--Coexpression(rank=76); GTEx--Coexpression(rank=203)","96","0.02422000000000000","Enrichr Queries,0.02422"
"RXRB","3.57572280587254809","3.5757228058725480935","0.0000021670757301307723798923510205582942945","DLD1=4.737; HCT15=2.414","Activated","7","collectri","7","3.57572280587254809",NA,"3","ARCHS4--Coexpression(rank=719); Enrichr--Queries(rank=819); GTEx--Coexpression(rank=1592)","1233","0.44159999999999999","ARCHS4 Coexpression,0.4416"
"SMAD7","3.06003377293849210","3.0600337729384921026","0.0000033920405639712288977066605155652467829","DLD1=1.475; HCT15=4.646","Activated","8","collectri","8","3.06003377293849210",NA,"0","",NA,NA,NA
"MYC","2.32493416872025538","-2.3249341687202553786","0.0000199311064213887160774096168891489355701","DLD1=-4.266; HCT15=-0.3842","Repressed","9","collectri","9","2.32493416872025538",NA,"6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=55); GTEx--Coexpression(rank=109); Enrichr--Queries(rank=177); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=445)","254","0.06783000000000000","GTEx Coexpression,0.06783"
"SRSF2","2.41241969513862475","-2.4124196951386247534","0.0000312473475761985839327036784673907732213","DLD1=-4.164; HCT15=-0.6607","Repressed","10","collectri","10","2.41241969513862475",NA,"0","",NA,NA,NA
"SREBF2","3.35305495307246826","-3.3530549530724682583","0.0000352361159551702087509329752723630235778","DLD1=-2.569; HCT15=-4.137","Repressed","11","collectri","11","3.35305495307246826",NA,"6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=762); Enrichr--Queries(rank=828); ARCHS4--Coexpression(rank=1510)","1294","0.47420000000000001","GTEx Coexpression,0.4742"
