"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","ATF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=71)","1","rank=1; score=0.0006143","rank=5; score=125.53; p=6.0719e-19; adjP=4.5175e-16"
"2","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","7","6","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=31); ARCHS4--Coexpression(rank=40)","11","rank=11; score=0.003367","rank=7; score=86.872; p=7.0332e-08; adjP=1.3363e-05"
"3","NFKB1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","11","4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=458)","13","rank=13; score=0.003686","rank=11; score=63.987; p=3.1196e-07; adjP=3.3704e-05"
"4","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","15.0","8","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=562); ARCHS4--Coexpression(rank=608); GTEx--Coexpression(rank=798)","22","rank=22; score=0.006098","rank=8; score=110.87; p=4.8198e-18; adjP=1.793e-15"
"5","TCF12","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","16.5","2","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=49); GTEx--Coexpression(rank=314); ARCHS4--Coexpression(rank=362); Enrichr--Queries(rank=1144)","31","rank=31; score=0.008475","rank=2; score=36.473; p=2.4131e-07; adjP=0.00019667"
"6","RELB","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","16.5","12","4","Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=25); ReMap--ChIP-seq(rank=104); GTEx--Coexpression(rank=171)","21","rank=21; score=0.005698","rank=12; score=301.9; p=2.5398e-15; adjP=6.2986e-13"
"7","FOS","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","8","5","ReMap--ChIP-seq(rank=2); GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=38); ARCHS4--Coexpression(rank=274)","8","rank=8; score=0.002489","rank=27; score=14.865; p=0.00052858; adjP=0.04937"
"8","DDIT3","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","20.5","10","3","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=11); ARCHS4--Coexpression(rank=66)","10","rank=10; score=0.003111","rank=31; score=137.19; p=7.6807e-05; adjP=0.003243"
"9","NFE2L2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","17","5","ARCHS4--Coexpression(rank=8); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=138); GTEx--Coexpression(rank=153); Enrichr--Queries(rank=315)","17","rank=17; score=0.004914","rank=26; score=11.551; p=0.0014089; adjP=0.0082974"
"10","JUND","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.5","10","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=357); GTEx--Coexpression(rank=508); Enrichr--Queries(rank=521)","39","rank=39; score=0.0101","rank=10; score=54.469; p=8.7224e-11; adjP=1.0997e-08"
