Pathway,PSMB5 TARGET GENES,EGFR TARGET GENES,MAPK3 TARGET GENES,MAP2K1 TARGET GENES,NFXL1 TARGET GENES,RBM15 TARGET GENES,BRF2 TARGET GENES,TERT TARGET GENES,CSHL1 TARGET GENES,MED25 TARGET GENES,COIL TARGET GENES,GTF2E2 TARGET GENES,SNAPC2 TARGET GENES,TAFAZZIN TARGET GENES,PRMT5 TARGET GENES,TBX1 TARGET GENES,SIX1 TARGET GENES,SOX10 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",CASP3 TARGET GENES,HJURP TARGET GENES,FOXR2 TARGET GENES,CREB3L2 TARGET GENES,ZNF623 TARGET GENES,ZNF558 TARGET GENES,SKP2 TARGET GENES,DNMT1 TARGET GENES,NEUROG3 TARGET GENES,RAX2 TARGET GENES,F10 TARGET GENES,ZNF239 TARGET GENES,ALKBH3 TARGET GENES,ZNF85 TARGET GENES,ZNF830 TARGET GENES,NCOA6 TARGET GENES,ZBED4 TARGET GENES,ZNF581 TARGET GENES,PITX1 TARGET GENES,ZNF33A TARGET GENES,ZNF582 TARGET GENES
PSMB5 TARGET GENES,1.0,0.04823151125401929,0.07395498392282958,0.01607717041800643,0.06430868167202572,0.1189710610932476,0.0,0.01607717041800643,0.022508038585209004,0.05144694533762058,0.006430868167202572,0.3054662379421222,0.006430868167202572,0.02572347266881029,0.02572347266881029,0.02572347266881029,0.01929260450160772,0.006430868167202572,0.006430868167202572,0.0,0.02572347266881029,0.012861736334405145,0.012861736334405145,0.022508038585209004,0.03536977491961415,0.003215434083601286,0.00964630225080386,0.0,0.006430868167202572,0.012861736334405145,0.003215434083601286,0.06430868167202572,0.022508038585209004,0.028938906752411574,0.028938906752411574,0.04501607717041801,0.07395498392282958,0.05466237942122187,0.01607717041800643,0.003215434083601286
EGFR TARGET GENES,0.4166666666666667,1.0,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.05555555555555555,0.0,0.05555555555555555,0.027777777777777776,0.1388888888888889,0.027777777777777776,0.2777777777777778,0.0,0.08333333333333333,0.1111111111111111,0.1388888888888889,0.0,0.027777777777777776,0.0,0.0,0.08333333333333333,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.08333333333333333,0.0,0.05555555555555555,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0
MAPK3 TARGET GENES,0.21296296296296297,0.1111111111111111,1.0,0.06481481481481481,0.06481481481481481,0.12037037037037036,0.009259259259259259,0.018518518518518517,0.037037037037037035,0.09259259259259259,0.009259259259259259,0.1388888888888889,0.018518518518518517,0.037037037037037035,0.06481481481481481,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.0,0.018518518518518517,0.009259259259259259,0.018518518518518517,0.009259259259259259,0.018518518518518517,0.018518518518518517,0.046296296296296294,0.027777777777777776,0.018518518518518517,0.07407407407407407,0.046296296296296294,0.05555555555555555,0.009259259259259259,0.0
MAP2K1 TARGET GENES,0.5555555555555556,0.4444444444444444,0.7777777777777778,1.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
NFXL1 TARGET GENES,0.042283298097251586,0.006342494714587738,0.014799154334038054,0.004228329809725159,1.0,0.02748414376321353,0.0,0.006342494714587738,0.010570824524312896,0.023255813953488372,0.006342494714587738,0.040169133192389,0.0,0.048625792811839326,0.006342494714587738,0.010570824524312896,0.02536997885835095,0.010570824524312896,0.019027484143763214,0.0,0.0021141649048625794,0.010570824524312896,0.0021141649048625794,0.05496828752642706,0.014799154334038054,0.006342494714587738,0.012684989429175475,0.0021141649048625794,0.0021141649048625794,0.02536997885835095,0.006342494714587738,0.016913319238900635,0.012684989429175475,0.016913319238900635,0.035940803382663845,0.02748414376321353,0.010570824524312896,0.014799154334038054,0.012684989429175475,0.006342494714587738
RBM15 TARGET GENES,0.18686868686868688,0.010101010101010102,0.06565656565656566,0.010101010101010102,0.06565656565656566,1.0,0.0,0.005050505050505051,0.030303030303030304,0.025252525252525252,0.005050505050505051,0.12626262626262627,0.005050505050505051,0.020202020202020204,0.010101010101010102,0.005050505050505051,0.015151515151515152,0.030303030303030304,0.03535353535353535,0.0,0.020202020202020204,0.015151515151515152,0.005050505050505051,0.015151515151515152,0.04040404040404041,0.005050505050505051,0.005050505050505051,0.0,0.0,0.010101010101010102,0.005050505050505051,0.030303030303030304,0.030303030303030304,0.005050505050505051,0.050505050505050504,0.03535353535353535,0.010101010101010102,0.04040404040404041,0.015151515151515152,0.0
BRF2 TARGET GENES,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.7,0.25,0.05,0.0,0.1,0.15,0.0,0.05,0.1,0.0,0.05,0.0,0.0,0.1,0.05,0.0,0.05,0.15,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0
TERT TARGET GENES,0.03875968992248062,0.015503875968992248,0.015503875968992248,0.0,0.023255813953488372,0.007751937984496124,0.10852713178294573,1.0,0.05426356589147287,0.015503875968992248,0.0,0.05426356589147287,0.015503875968992248,0.03875968992248062,0.031007751937984496,0.031007751937984496,0.0,0.015503875968992248,0.03875968992248062,0.0,0.023255813953488372,0.023255813953488372,0.007751937984496124,0.05426356589147287,0.046511627906976744,0.0,0.007751937984496124,0.0,0.015503875968992248,0.046511627906976744,0.0,0.007751937984496124,0.03875968992248062,0.007751937984496124,0.05426356589147287,0.023255813953488372,0.023255813953488372,0.031007751937984496,0.015503875968992248,0.015503875968992248
CSHL1 TARGET GENES,0.02766798418972332,0.003952569169960474,0.015810276679841896,0.003952569169960474,0.019762845849802372,0.023715415019762844,0.019762845849802372,0.02766798418972332,1.0,0.039525691699604744,0.003952569169960474,0.043478260869565216,0.0,0.03162055335968379,0.023715415019762844,0.03557312252964427,0.011857707509881422,0.007905138339920948,0.011857707509881422,0.0,0.019762845849802372,0.003952569169960474,0.007905138339920948,0.043478260869565216,0.023715415019762844,0.0,0.007905138339920948,0.0,0.0,0.02766798418972332,0.0,0.04743083003952569,0.039525691699604744,0.015810276679841896,0.015810276679841896,0.05533596837944664,0.05533596837944664,0.03162055335968379,0.039525691699604744,0.003952569169960474
MED25 TARGET GENES,0.11267605633802817,0.035211267605633804,0.07042253521126761,0.007042253521126761,0.07746478873239436,0.035211267605633804,0.007042253521126761,0.014084507042253521,0.07042253521126761,1.0,0.02112676056338028,0.22535211267605634,0.04225352112676056,0.08450704225352113,0.13380281690140844,0.09859154929577464,0.014084507042253521,0.035211267605633804,0.02112676056338028,0.0,0.014084507042253521,0.0,0.007042253521126761,0.02112676056338028,0.04929577464788732,0.0,0.04929577464788732,0.0,0.007042253521126761,0.04929577464788732,0.014084507042253521,0.08450704225352113,0.11267605633802817,0.014084507042253521,0.035211267605633804,0.04225352112676056,0.04225352112676056,0.014084507042253521,0.035211267605633804,0.0
COIL TARGET GENES,0.25,0.125,0.125,0.0,0.375,0.125,0.0,0.0,0.125,0.375,1.0,0.5,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0
GTF2E2 TARGET GENES,0.2278177458033573,0.023980815347721823,0.03597122302158273,0.004796163069544364,0.045563549160671464,0.05995203836930456,0.004796163069544364,0.016786570743405275,0.026378896882494004,0.07673860911270983,0.009592326139088728,1.0,0.023980815347721823,0.02158273381294964,0.026378896882494004,0.03117505995203837,0.014388489208633094,0.02158273381294964,0.02158273381294964,0.0,0.023980815347721823,0.02158273381294964,0.026378896882494004,0.02158273381294964,0.04316546762589928,0.002398081534772182,0.014388489208633094,0.009592326139088728,0.016786570743405275,0.03836930455635491,0.004796163069544364,0.13908872901678657,0.08633093525179857,0.02158273381294964,0.016786570743405275,0.02877697841726619,0.047961630695443645,0.05275779376498801,0.023980815347721823,0.007194244604316547
SNAPC2 TARGET GENES,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.46153846153846156,0.07692307692307693,0.7692307692307693,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0
