Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
11,TGFB_UP.V1_UP,TGFB_UP.V1_UP,0.0016407692684492,163,31,"AKAP12,LTBP2,TBX3,LIF,CYP24A1,ZFP36L1,TAGLN,PDLIM4,PMEPA1,KLF4,CCN2,DLC1,TNS4,RHOB,FOXF2,COL16A1,POLR1G,EDN1,IRS1,S100A3,RGCC,NTF3,GADD45B,SMAD6,PXDC1,LYPD1,MISP,ELL2,CSNK1E,ANKLE2,SMURF2",36,GMT,189,keep,itself,,1.0,0.0,0,True,34,2.7849524868839137,TGFB UP.V1 UP,TGFB UP.V1 UP,11
12,CSR_LATE_UP.V1_UP,CSR_LATE_UP.V1_UP,1.593108e-10,144,72,"LTBP2,IGFBP3,RRM2,CCND3,KRT18,EIF5A,POLE3,LYAR,JPT1,DRAP1,SACK1D,UMPS,IMP4,SRM,PA2G4,TRIP13,UBE2C,EIF3B,ASB6,BIRC5,MT2A,TCF19,PSMC3,NSG1,RPF2,SNRPA1,PDLIM5,WSB2,KIF22,CDCA8,DTYMK,CTPS1,PDCL3,KISS1,ZWINT,SLC16A5,NUDC,TOMM34,TIMP3,DCBLD1,CCDC34,CDC7,FOXM1,GMNN,TUBA4A,ILF2,CIAPIN1,CMC2,CASP2,FARSA,FKBP1A,IL7R,HMGB1,UHRF1,EZH2,TIMP1,GINS3,MT1F,TUBG1,MYBL2,TPM2,NOC2L,POLR3K,ST3GAL4,CRISPLD2,DCTPP1,SMS,AHSA1,COPS3,SHCBP1,DNAJB11,MAZ",3,GMT,166,keep,itself,,1.0,0.0,0,True,5,9.797754781503226,CSR LATE UP.V1 UP,CSR LATE UP.V1 UP,12
13,RB_P130_DN.V1_UP,RB_P130_DN.V1_UP,0.001685075270036,108,42,"HMGA2,RABEPK,EXOSC2,TRAF4,UBE2C,BIRC5,SPATA13,SNRPB,MBD3,ANAPC5,MIGA2,QTRT1,STMN3,PIMREG,KIF22,TK1,AURKB,ELOF1,POLD2,FADS2,PIWIL1,CDC7,CMTM7,IER3,CHCHD6,TRAF2,RGS16,EFTUD2,RASGRF1,CCNB2,RENBP,AURKA,KAZN,DCTPP1,HINT1,GLIS2,RUVBL2,SNTA1,POLR2I,LITAF,COQ8A,TEAD1",33,GMT,132,keep,itself,,1.0,0.0,0,True,35,2.7733806950115256,RB P130 DN.V1 UP,RB P130 DN.V1 UP,13
14,EIF4E_UP,EIF4E_UP,0.0036221767537657,82,27,"ZBED2,MAP2K3,METTL1,TUFM,NOP16,ITPK1,SNX8,PNO1,OSBPL10,NDRG1,PMM2,MON1A,FN3KRP,SNRNP25,C8orf33,UQCC4,PTS,EIF4A3,PFDN2,PHYKPL,GEMIN6,ATP5MF,UBL4A,ANKRD16,VPS28,TMEM11,HAUS7",31,GMT,100,keep,itself,,1.0,0.0,0,True,40,2.4410303609484827,EIF4E UP,EIF4E UP,14
15,MYC_UP.V1_UP,MYC_UP.V1_UP,1.47975367e-08,148,74,"RRP12,METTL1,TRMT1,PIGW,NOL6,NIP7,LHX6,PES1,RRP9,PPRC1,MRTO4,RPUSD4,POLR1G,S100A10,PUS1,UBIAD1,UTP14A,UTP15,PMM2,DDX10,MON1A,ALG3,TMEM201,CHKA,QTRT1,WDR43,USE1,SMYD5,TFB2M,TSSC4,SLC19A1,P2RX5,SLC27A2,GLRX5,SHISA9,HSPE1,MTFP1,SCFD2,NOC4L,NDUFAF4,TWNK,RRP15,EEF1AKMT1,RPP40,MTERF3,ANO2,CD320,DCAF4,EXOSC5,ADISSP,PLD6,CCDC124,WDR4,SAC3D1,DCTPP1,ADGRE2,AHSA1,ZNF215,NEFH,CHCHD10,GEMIN5,ZNRD2,FAM216A,QSOX2,SLC25A26,COQ8A,ZNF549,TOP1MT,PUS7L,TGFBRAP1,SLC25A22,KLF16,TMEM97,ABCC4",8,GMT,181,keep,itself,,1.0,0.0,0,True,8,7.829810574242561,MYC UP.V1 UP,MYC UP.V1 UP,15
16,BCAT_BILD_ET_AL_UP,BCAT_BILD_ET_AL_UP,0.0011716462019668,40,14,"MYADM,CYP24A1,BMP4,MYL9,TAGLN,FHDC1,CD2BP2,SLC35H1,RPL37A,RPL27A,AXIN2,SLC27A2,CD151,FOXQ1",16,GMT,45,keep,itself,,1.0,0.0,0,True,33,2.931203510954583,BCAT BILD ET AL UP,BCAT BILD ET AL UP,16
17,E2F3_UP.V1_DN,E2F3_UP.V1_DN,0.0023437705284656,112,26,"TGM2,ADGRF1,LIF,GPRC5A,ZBED2,KRT80,LHX6,BYSL,NAT9,EREG,URB1,SNAPC4,PLAT,TBRG4,BRCA2,INO80C,EHMT1,EEF2KMT,B9D2,GJB5,RARA,MRPL55,MACF1,TAF15,ZCCHC7,DOK7",39,GMT,163,keep,itself,,1.0,0.0,0,True,38,2.6300849110411497,E2F3 UP.V1 DN,E2F3 UP.V1 DN,17
18,MTOR_UP.N4.V1_DN,MTOR_UP.N4.V1_DN,2.65810424e-08,156,49,"FBXL4,IKZF2,CD52,FAM200C,YPEL5,IFT140,FRAT2,ING4,TRMT1L,ATF7IP,ZNF711,SPRY1,CARF,SOS2,ZNF277,ERAP1,REL,CLK1,NR1D2,HSD17B11,TMEM80,HOXA7,MME,MARCHF8,TRIM23,NFE2,TM7SF3,DMXL1,CEP295,TXNIP,SPATS2,MXD4,GCC2,BRWD1,TNRC6B,DACH1,PBXIP1,SENP7,HBP1,CCNG2,CUX1,BCOR,GALNT7,H1-0,PDCD4,PNRC1,SCN3A,BTG2,KCNJ5",9,GMT,184,keep,itself,,1.0,0.0,0,True,10,7.575427991802198,MTOR UP.N4.V1 DN,MTOR UP.N4.V1 DN,18
19,CSR_LATE_UP.V1_DN,CSR_LATE_UP.V1_DN,0.0004059507302379,129,34,"DYRK1B,CHL1,NBEA,TOX,TRERF1,NYNRIN,ELOVL6,ADAM17,FDFT1,PRKCI,C1orf115,GSN,FADS1,DYNC2LI1,MSMO1,MME,IDI1,SC5D,MXD4,TP53INP1,HMGCS1,HMGCR,EPHB6,LPIN1,ADGRB2,SNTB1,QPRT,ERMP1,PDE5A,INSIG1,DENND11,ASS1,BTG2,SCD",29,GMT,147,keep,itself,,1.0,0.0,0,True,24,3.391526673034264,CSR LATE UP.V1 DN,CSR LATE UP.V1 DN,19
20,CSR_EARLY_UP.V1_DN,CSR_EARLY_UP.V1_DN,0.0009689809389704,110,41,"SLC16A7,ACCS,ARL4D,GSDMB,ZNF337,PLCD1,LRIG3,CC2D1A,MSRB1,DDX17,GRHL1,ELMOD2,SKP2,POFUT3,OTUD1,PHIP,ING4,NYNRIN,ZFYVE1,ATF7IP,LTN1,RNF20,ACBD4,HOXA10,LDB1,C2CD5,IFIT2,CDKN1B,KBTBD6,ALDH1L2,TXNIP,ERAP2,ZNF467,USP33,MINDY1,HBP1,C14orf132,RABGAP1,PDE5A,DENND11,TENT5C",34,GMT,126,keep,itself,,1.0,0.0,0,True,32,3.0136847659640895,CSR EARLY UP.V1 DN,CSR EARLY UP.V1 DN,20
21,TBK1.DF_DN,TBK1.DF_DN,4.9311237438e-06,279,97,"IGF2BP3,SUSD6,KLF7,GNAI3,YES1,ZNF654,SCAF11,C5orf22,NAA35,GOLGA4,MIS18BP1,RLF,FAM234B,KDM4A,KLF5,USP22,ARMC1,DNAJC3,SMAD5,CCND2,SMC5,RBBP5,ATP6AP2,ADCY6,ARFGEF2,SEPHS2,GALNT3,NCOA3,USP46,ITCH,PDHX,TBK1,HIPK3,GOLGA2,ZNF395,NUP58,MBP,KIF3A,GNE,PRKD3,UBE2W,AP1AR,APPL1,CUL5,AKAP9,BMPR2,NSD3,ERAP1,COL4A5,IDE,DCK,ATP2B1,FNBP1L,CHMP2B,PLEKHA1,CXADR,CDC27,MSH2,GJA1,CLOCK,ADAM10,TRIM23,PCYOX1,PANK3,NF1,ATG2B,RCBTB1,DNAJB14,ZKSCAN1,IFIT1,HIPK2,IRF2,AMMECR1,BRWD1,EXOC5,TNRC6B,ETNK1,HMGCS1,CCNG2,ACAP2,SLC26A2,SPRY2,MYO6,CD2AP,THOC2,PLEKHA2,GALNT7,RSF1,FLRT3,NLK,SLC39A8,RFX7,TTBK2,TCAF1,TSPAN5,SEMA3C,HOOK1",26,GMT,286,keep,itself,,1.0,0.0,0,True,13,5.307054098954321,TBK1.DF DN,TBK1.DF DN,21
22,PGF_UP.V1_UP,PGF_UP.V1_UP,1.65599142422e-05,163,52,"PPID,IRAK1BP1,PDCD10,CEP350,SCAF11,CRYZ,PSPH,MTREX,KIF5B,BPGM,CR2,POLR1F,GMFB,DNAJC3,NUCB2,KLRG1,SMC4,SMC3,PEX1,ARMCX2,PGAP1,PAPOLA,TMED5,HSD17B4,AHCYL2,TNFSF10,AKAP9,AGL,PRKACB,MARCHF7,STAU2,TOPORS,CDC27,CPD,ITSN2,HS2ST1,REV3L,RDH11,HSPA13,WASHC4,IREB2,DNASE2,CD2AP,THOC2,SKIC3,STK38L,OSBPL8,PHF3,BAZ2B,MKLN1,RFK,SAT1",18,GMT,190,keep,itself,,1.0,0.0,0,True,17,4.7809419165991915,PGF UP.V1 UP,PGF UP.V1 UP,22
23,ESC_J1_UP_EARLY.V1_DN,ESC_J1_UP_EARLY.V1_DN,5.301689446e-07,150,52,"TNFRSF12A,SERPINE1,CCN1,ANXA1,SYT12,IGFBP3,ANGPTL4,BMP4,RRP12,ZFP36L1,MYL9,TAGLN,KLF4,ATF5,ANXA3,ETV4,LIMS2,EDN1,NIFK,BMP1,SLC66A1,TGM1,DUSP6,SAP30BP,ENTPD4,TRAIP,PPP2R3A,RELB,SPRY4,MRPS11,KTI12,MYC,METTL13,FGF18,C11orf24,CNN1,EMP2,BLOC1S4,ZBP1,MED6,TRPS1,LAMC2,CIRBP,HYAL2,TMC6,NAB2,GID8,UXT,RRP8,TMEM98,MTG2,LLPH",11,GMT,172,keep,itself,,1.0,0.0,0,True,11,6.275585715274863,ESC J1 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,23
