Pathway,CORDENONSI YAP CONSERVED SIGNATURE,ESC V6.5 UP EARLY.V1 DN,P53 DN.V1 UP,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,LEF1 UP.V1 UP,CSR EARLY UP.V1 UP,TGFB UP.V1 UP,CSR LATE UP.V1 UP,RB P130 DN.V1 UP,EIF4E UP,MYC UP.V1 UP,BCAT BILD ET AL UP,E2F3 UP.V1 DN,MTOR UP.N4.V1 DN,CSR LATE UP.V1 DN,CSR EARLY UP.V1 DN,TBK1.DF DN,PGF UP.V1 UP,ESC J1 UP EARLY.V1 DN,ESC V6.5 UP LATE.V1 DN,ESC J1 UP LATE.V1 DN,CAHOY ASTROGLIAL,RPS14 DN.V1 UP,PTEN DN.V2 UP,KRAS.600.LUNG.BREAST UP.V1 UP,KRAS.LUNG.BREAST UP.V1 UP,KRAS.BREAST UP.V1 UP,BMI1 DN.V1 DN,CRX DN.V1 DN,ESC V6.5 UP LATE.V1 UP,EGFR UP.V1 UP,MEK UP.V1 UP,RAF UP.V1 UP,LTE2 UP.V1 UP,RB DN.V1 DN,KRAS.AMP.LUNG UP.V1 UP
CORDENONSI YAP CONSERVED SIGNATURE,1.0,0.12280701754385964,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.10526315789473684,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.0,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.08771929824561403,0.0,0.03508771929824561,0.0,0.0,0.0,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.017543859649122806
ESC V6.5 UP EARLY.V1 DN,0.043209876543209874,1.0,0.09876543209876543,0.04938271604938271,0.037037037037037035,0.024691358024691357,0.043209876543209874,0.037037037037037035,0.037037037037037035,0.024691358024691357,0.06790123456790123,0.030864197530864196,0.012345679012345678,0.006172839506172839,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.018518518518518517,0.012345679012345678,0.018518518518518517,0.0,0.18518518518518517,0.25925925925925924,0.1111111111111111,0.04938271604938271,0.037037037037037035,0.024691358024691357,0.037037037037037035,0.030864197530864196,0.018518518518518517,0.006172839506172839,0.08641975308641975,0.024691358024691357,0.06172839506172839,0.06790123456790123,0.037037037037037035,0.012345679012345678,0.043209876543209874,0.006172839506172839
P53 DN.V1 UP,0.030927835051546393,0.08247422680412371,1.0,0.04639175257731959,0.04639175257731959,0.030927835051546393,0.041237113402061855,0.04639175257731959,0.04639175257731959,0.02577319587628866,0.02577319587628866,0.015463917525773196,0.005154639175257732,0.005154639175257732,0.005154639175257732,0.005154639175257732,0.02577319587628866,0.0,0.02577319587628866,0.015463917525773196,0.04639175257731959,0.041237113402061855,0.041237113402061855,0.020618556701030927,0.0,0.010309278350515464,0.04639175257731959,0.03608247422680412,0.05154639175257732,0.030927835051546393,0.010309278350515464,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.061855670103092786,0.06701030927835051,0.07731958762886598,0.03608247422680412,0.010309278350515464,0.0
BMI1 DN.V1 UP,0.006802721088435374,0.05442176870748299,0.061224489795918366,1.0,0.5714285714285714,0.6054421768707483,0.07482993197278912,0.07482993197278912,0.047619047619047616,0.05442176870748299,0.06802721088435375,0.047619047619047616,0.006802721088435374,0.0,0.006802721088435374,0.02040816326530612,0.047619047619047616,0.0,0.02040816326530612,0.02040816326530612,0.027210884353741496,0.0,0.027210884353741496,0.013605442176870748,0.027210884353741496,0.02040816326530612,0.07482993197278912,0.034013605442176874,0.07482993197278912,0.061224489795918366,0.027210884353741496,0.0,0.013605442176870748,0.02040816326530612,0.10884353741496598,0.047619047619047616,0.061224489795918366,0.02040816326530612,0.061224489795918366,0.013605442176870748
BMI1 DN MEL18 DN.V1 UP,0.006896551724137931,0.041379310344827586,0.06206896551724138,0.5793103448275863,1.0,0.6206896551724138,0.05517241379310345,0.06206896551724138,0.06896551724137931,0.05517241379310345,0.09655172413793103,0.034482758620689655,0.006896551724137931,0.0,0.013793103448275862,0.006896551724137931,0.027586206896551724,0.0,0.013793103448275862,0.027586206896551724,0.027586206896551724,0.006896551724137931,0.027586206896551724,0.020689655172413793,0.020689655172413793,0.013793103448275862,0.06896551724137931,0.06206896551724138,0.1103448275862069,0.09655172413793103,0.04827586206896552,0.0,0.013793103448275862,0.013793103448275862,0.12413793103448276,0.06206896551724138,0.05517241379310345,0.020689655172413793,0.034482758620689655,0.006896551724137931
MEL18 DN.V1 UP,0.0070921985815602835,0.028368794326241134,0.0425531914893617,0.6312056737588653,0.6382978723404256,1.0,0.07092198581560284,0.07801418439716312,0.07092198581560284,0.05673758865248227,0.05673758865248227,0.03546099290780142,0.014184397163120567,0.0,0.02127659574468085,0.0,0.0425531914893617,0.0,0.02127659574468085,0.02127659574468085,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.014184397163120567,0.028368794326241134,0.0070921985815602835,0.06382978723404255,0.03546099290780142,0.10638297872340426,0.07092198581560284,0.028368794326241134,0.0,0.014184397163120567,0.0070921985815602835,0.12056737588652482,0.07801418439716312,0.03546099290780142,0.02127659574468085,0.05673758865248227,0.028368794326241134
IL2 UP.V1 UP,0.010526315789473684,0.03684210526315789,0.042105263157894736,0.05789473684210526,0.042105263157894736,0.05263157894736842,1.0,0.5684210526315789,0.06842105263157895,0.02631578947368421,0.05789473684210526,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.05789473684210526,0.0,0.021052631578947368,0.005263157894736842,0.0,0.015789473684210527,0.015789473684210527,0.005263157894736842,0.03684210526315789,0.03684210526315789,0.031578947368421054,0.005263157894736842,0.03684210526315789,0.0,0.05789473684210526,0.02631578947368421,0.021052631578947368,0.021052631578947368,0.03684210526315789,0.015789473684210527,0.05789473684210526,0.03684210526315789,0.04736842105263158,0.02631578947368421,0.010526315789473684,0.015789473684210527
IL15 UP.V1 UP,0.010582010582010581,0.031746031746031744,0.047619047619047616,0.0582010582010582,0.047619047619047616,0.0582010582010582,0.5714285714285714,1.0,0.05291005291005291,0.037037037037037035,0.047619047619047616,0.005291005291005291,0.005291005291005291,0.015873015873015872,0.06349206349206349,0.0,0.015873015873015872,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.015873015873015872,0.010582010582010581,0.047619047619047616,0.037037037037037035,0.037037037037037035,0.010582010582010581,0.042328042328042326,0.015873015873015872,0.06349206349206349,0.021164021164021163,0.021164021164021163,0.021164021164021163,0.031746031746031744,0.010582010582010581,0.05291005291005291,0.031746031746031744,0.047619047619047616,0.021164021164021163,0.015873015873015872,0.021164021164021163
LEF1 UP.V1 UP,0.015463917525773196,0.030927835051546393,0.04639175257731959,0.03608247422680412,0.05154639175257732,0.05154639175257732,0.06701030927835051,0.05154639175257732,1.0,0.020618556701030927,0.061855670103092786,0.005154639175257732,0.010309278350515464,0.0,0.015463917525773196,0.005154639175257732,0.020618556701030927,0.0,0.020618556701030927,0.010309278350515464,0.03608247422680412,0.0,0.015463917525773196,0.030927835051546393,0.015463917525773196,0.020618556701030927,0.03608247422680412,0.020618556701030927,0.06701030927835051,0.02577319587628866,0.020618556701030927,0.02577319587628866,0.02577319587628866,0.02577319587628866,0.030927835051546393,0.05670103092783505,0.02577319587628866,0.04639175257731959,0.010309278350515464,0.020618556701030927
CSR EARLY UP.V1 UP,0.006535947712418301,0.026143790849673203,0.032679738562091505,0.05228758169934641,0.05228758169934641,0.05228758169934641,0.032679738562091505,0.0457516339869281,0.026143790849673203,1.0,0.0718954248366013,0.058823529411764705,0.006535947712418301,0.026143790849673203,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.026143790849673203,0.0457516339869281,0.0196078431372549,0.0196078431372549,0.013071895424836602,0.0,0.013071895424836602,0.0457516339869281,0.0392156862745098,0.013071895424836602,0.006535947712418301,0.026143790849673203,0.013071895424836602,0.032679738562091505,0.006535947712418301,0.0196078431372549,0.0,0.0,0.006535947712418301
