"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","7.048027823147646309","-7.048027823147646309","0.000000000001814713600310174","SW48=-7.048","Repressed","1","collectri","1","7.048027823147646309",NA,"6","ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=751); ARCHS4--Coexpression(rank=1269); Enrichr--Queries(rank=1300)","752","0.237300000000000011","ENCODE ChIP-seq,0.2373"
"FOXO3","5.482995559901029381","5.482995559901029381","0.000000041818351804028482696","SW48=5.483","Activated","2","collectri","2","5.482995559901029381",NA,"4","Literature--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=550); Enrichr--Queries(rank=585)","656","0.201199999999999990","Literature ChIP-seq,0.2012"
"GLI2","5.259120480872874204","5.259120480872874204","0.000000144746034513399701214","SW48=5.259","Activated","3","collectri","3","5.259120480872874204",NA,"3","Enrichr--Queries(rank=555); GTEx--Coexpression(rank=585); ARCHS4--Coexpression(rank=601)","1051","0.363999999999999990","GTEx Coexpression,0.364"
"SMAD2","5.054533112031114328","5.054533112031114328","0.000000431444904212255927171","SW48=5.055","Activated","4","collectri","4","5.054533112031114328",NA,"0","",NA,NA,NA
"NR1I3","4.723670365856564857","4.723670365856564857","0.000002316257465369552354356","SW48=4.724","Activated","5","collectri","5","4.723670365856564857",NA,"3","GTEx--Coexpression(rank=1076); Enrichr--Queries(rank=1079); ARCHS4--Coexpression(rank=1522)","1483","0.669599999999999973","GTEx Coexpression,0.6696"
"SMAD3","4.666589755377014370","4.666589755377014370","0.000003062399048614749871703","SW48=4.667","Activated","6","collectri","6","4.666589755377014370",NA,"5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","0.012200000000000001","Literature ChIP-seq,0.0122"
"ABL1","4.385935161329240550","4.385935161329240550","0.000011548852205118312534249","SW48=4.386","Activated","7","collectri","7","4.385935161329240550",NA,"0","",NA,NA,NA
"SMAD4","4.121853532608288795","4.121853532608288795","0.000037583614070549979375817","SW48=4.122","Activated","8","collectri","8","4.121853532608288795",NA,"5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=1271); ARCHS4--Coexpression(rank=1468); GTEx--Coexpression(rank=1505)","370","0.103700000000000001","Literature ChIP-seq,0.1037"
"PML","4.105741510176151188","4.105741510176151188","0.000040301996092295139662975","SW48=4.106","Activated","9","collectri","9","4.105741510176151188",NA,"0","",NA,NA,NA
"BCL11B","3.989543390298647019","3.989543390298647019","0.000066200608936839330483440","SW48=3.99","Activated","10","collectri","10","3.989543390298647019",NA,"4","GTEx--Coexpression(rank=54); Literature--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=170); Enrichr--Queries(rank=478)","126","0.033599999999999998","GTEx Coexpression,0.0336"
