Pathway,"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",ABNORMALITY OF THE MITOCHONDRION,DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,LACTIC ACIDOSIS,ABNORMALITY OF ACID BASE HOMEOSTASIS,"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION",INCREASED CIRCULATING LACTATE CONCENTRATION,ABNORMAL CSF LACTATE CONCENTRATION,LETHARGY,"ABNORMAL CIRCULATING CARBOXYLIC ACID
CONCENTRATION",INCREASED CIRCULATING PYRUVATE CONCENTRATION,ABNORMAL URINE CARBOXYLIC ACID LEVEL,ELEVATED URINARY CARBOXYLIC ACID,DICARBOXYLIC ACIDURIA,ORGANIC ACIDURIA,ABNORMAL URINE PH,MACROCYTIC ANEMIA,NORMOCHROMIC ANEMIA,PERSISTENCE OF HEMOGLOBIN F,INCREASED MEAN CORPUSCULAR VOLUME,ABNORMAL MEAN CORPUSCULAR VOLUME,ADENOCARCINOMA OF THE COLON,ADENOCARCINOMA OF THE INTESTINES,ABNORMALITY OF THE THENAR EMINENCE,ABSENT THUMB,RETICULOCYTOPENIA,CLEFT SOFT PALATE,THROMBOCYTOSIS,"ABNORMAL ERYTHROCYTE ADENOSINE DEAMINASE
ACTIVITY","ABNORMAL ERYTHROCYTE ENZYME CONCENTRATION OR
ACTIVITY",ERYTHROID HYPOPLASIA,ABNORMAL NUMBER OF ERYTHROID PRECURSORS,PURE RED CELL APLASIA,OSTEOSARCOMA,NONIMMUNE HYDROPS FETALIS,ABNORMAL ORAL MUCOSA MORPHOLOGY,ABNORMAL LYMPH NODE MORPHOLOGY,FEVER,ABNORMALITY OF BLOOD CIRCULATION,PROMINENT NOSE
INCREASED CIRCULATING PYRUVATE CONCENTRATION,0.6666666666666666,0.75,0.55,0.7833333333333333,1.0,0.65,0.75,0.6666666666666666,0.5666666666666667,1.0,1.0,0.08333333333333333,0.06666666666666667,0.05,0.1,0.25,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.13333333333333333,0.016666666666666666,0.0
ABNORMAL URINE CARBOXYLIC ACID LEVEL,0.18115942028985507,0.30434782608695654,0.10144927536231885,0.2826086956521739,0.7028985507246377,0.09420289855072464,0.2753623188405797,0.11594202898550725,0.391304347826087,0.7028985507246377,0.036231884057971016,1.0,0.7608695652173914,0.5362318840579711,0.7753623188405797,0.7971014492753623,0.08695652173913043,0.014492753623188406,0.007246376811594203,0.028985507246376812,0.028985507246376812,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.014492753623188406,0.007246376811594203,0.021739130434782608,0.007246376811594203,0.036231884057971016,0.014492753623188406,0.028985507246376812,0.007246376811594203,0.007246376811594203,0.021739130434782608,0.043478260869565216,0.057971014492753624,0.13043478260869565,0.11594202898550725,0.0
ELEVATED URINARY CARBOXYLIC ACID,0.14285714285714285,0.2857142857142857,0.10476190476190476,0.20952380952380953,0.638095238095238,0.0761904761904762,0.2,0.09523809523809523,0.38095238095238093,0.7238095238095238,0.0380952380952381,1.0,1.0,0.7047619047619048,1.0,1.0,0.10476190476190476,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.0380952380952381,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.01904761904761905,0.0380952380952381,0.009523809523809525,0.009523809523809525,0.02857142857142857,0.047619047619047616,0.06666666666666667,0.13333333333333333,0.11428571428571428,0.0
DICARBOXYLIC ACIDURIA,0.1891891891891892,0.36486486486486486,0.13513513513513514,0.25675675675675674,0.7432432432432432,0.08108108108108109,0.25675675675675674,0.0945945945945946,0.43243243243243246,0.8378378378378378,0.04054054054054054,1.0,1.0,1.0,1.0,1.0,0.14864864864864866,0.02702702702702703,0.013513513513513514,0.05405405405405406,0.05405405405405406,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.02702702702702703,0.0,0.06756756756756757,0.10810810810810811,0.0
ORGANIC ACIDURIA,0.1349206349206349,0.2777777777777778,0.10317460317460317,0.23015873015873015,0.626984126984127,0.07142857142857142,0.20634920634920634,0.10317460317460317,0.373015873015873,0.6904761904761905,0.047619047619047616,0.8492063492063492,0.8333333333333334,0.5873015873015873,1.0,1.0,0.0873015873015873,0.015873015873015872,0.007936507936507936,0.031746031746031744,0.031746031746031744,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.031746031746031744,0.015873015873015872,0.03968253968253968,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.047619047619047616,0.05555555555555555,0.11904761904761904,0.11904761904761904,0.007936507936507936
ABNORMAL URINE PH,0.20512820512820512,0.3782051282051282,0.14102564102564102,0.32051282051282054,0.6858974358974359,0.14743589743589744,0.32051282051282054,0.19230769230769232,0.3525641025641026,0.717948717948718,0.09615384615384616,0.7051282051282052,0.6730769230769231,0.47435897435897434,0.8076923076923077,1.0,0.07051282051282051,0.01282051282051282,0.00641025641025641,0.02564102564102564,0.02564102564102564,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.00641025641025641,0.02564102564102564,0.01282051282051282,0.03205128205128205,0.00641025641025641,0.00641025641025641,0.019230769230769232,0.038461538461538464,0.05128205128205128,0.17307692307692307,0.10256410256410256,0.00641025641025641
MACROCYTIC ANEMIA,0.02666666666666667,0.04,0.02666666666666667,0.05333333333333334,0.16,0.02666666666666667,0.05333333333333334,0.04,0.4666666666666667,0.37333333333333335,0.013333333333333334,0.16,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.14666666666666667,1.0,0.37333333333333335,0.38666666666666666,0.5333333333333333,0.5333333333333333,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.37333333333333335,0.3466666666666667,0.4266666666666667,0.3466666666666667,0.3466666666666667,0.38666666666666666,0.41333333333333333,0.3466666666666667,0.3466666666666667,0.36,0.18666666666666668,0.05333333333333334,0.08,0.14666666666666667,0.0
NORMOCHROMIC ANEMIA,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.6923076923076923,0.10256410256410256,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.717948717948718,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.717948717948718,0.6666666666666666,0.717948717948718,0.6923076923076923,0.717948717948718,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.07692307692307693,0.1794871794871795,0.1794871794871795,0.20512820512820512,0.0
PERSISTENCE OF HEMOGLOBIN F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027027027027027,0.13513513513513514,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.7837837837837838,0.7027027027027027,1.0,0.8108108108108109,0.8378378378378378,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7297297297297297,0.7027027027027027,0.7297297297297297,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7567567567567568,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.0
INCREASED MEAN CORPUSCULAR VOLUME,0.0,0.0,0.0,0.018867924528301886,0.09433962264150944,0.0,0.018867924528301886,0.0,0.5471698113207547,0.2641509433962264,0.0,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.7547169811320755,0.49056603773584906,0.5660377358490566,1.0,1.0,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.5471698113207547,0.49056603773584906,0.5283018867924528,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.5471698113207547,0.49056603773584906,0.49056603773584906,0.5283018867924528,0.18867924528301888,0.03773584905660377,0.05660377358490566,0.22641509433962265,0.0
ABNORMAL MEAN CORPUSCULAR VOLUME,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.12307692307692308,0.0,0.046153846153846156,0.03076923076923077,0.46153846153846156,0.2923076923076923,0.0,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.6153846153846154,0.4,0.47692307692307695,0.8153846153846154,1.0,0.4,0.4,0.4,0.4,0.46153846153846156,0.4,0.4307692307692308,0.4,0.4,0.4,0.5076923076923077,0.4,0.4,0.4307692307692308,0.15384615384615385,0.03076923076923077,0.09230769230769231,0.18461538461538463,0.0
ADENOCARCINOMA OF THE COLON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,1.0,1.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.25,0.0
ADENOCARCINOMA OF THE INTESTINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6046511627906976,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.8372093023255814,1.0,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.2558139534883721,0.0
ABNORMALITY OF THE THENAR EMINENCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428571428571429,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,1.0,0.8571428571428571,0.7428571428571429,0.7714285714285715,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857
ABSENT THUMB,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.4482758620689655,0.017241379310344827,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.5172413793103449,1.0,0.5172413793103449,0.5,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.46551724137931033,0.4482758620689655,0.08620689655172414,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.017241379310344827
RETICULOCYTOPENIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7105263157894737,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.7368421052631579,0.6842105263157895,0.7105263157894737,0.7631578947368421,0.7894736842105263,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7894736842105263,1.0,0.6842105263157895,0.7105263157894737,0.6842105263157895,0.6842105263157895,0.7105263157894737,0.7105263157894737,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.18421052631578946,0.07894736842105263,0.07894736842105263,0.18421052631578946,0.0
CLEFT SOFT PALATE,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.016666666666666666,0.4666666666666667,0.03333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.45,0.48333333333333334,0.43333333333333335,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.06666666666666667,0.016666666666666666,0.05,0.1,0.1
THROMBOCYTOSIS,0.0,0.029850746268656716,0.0,0.014925373134328358,0.05970149253731343,0.0,0.029850746268656716,0.0,0.43283582089552236,0.1044776119402985,0.0,0.04477611940298507,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.47761194029850745,0.417910447761194,0.40298507462686567,0.417910447761194,0.417910447761194,0.3880597014925373,0.3880597014925373,0.3880597014925373,0.3880597014925373,0.40298507462686567,0.3880597014925373,1.0,0.3880597014925373,0.3880597014925373,0.43283582089552236,0.4626865671641791,0.40298507462686567,0.40298507462686567,0.40298507462686567,0.16417910447761194,0.22388059701492538,0.3582089552238806,0.208955223880597,0.014925373134328358
"ABNORMAL ERYTHROCYTE ADENOSINE DEAMINASE
ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0
"ABNORMAL ERYTHROCYTE ENZYME CONCENTRATION OR
ACTIVITY",0.0,0.02040816326530612,0.0,0.04081632653061224,0.08163265306122448,0.0,0.02040816326530612,0.02040816326530612,0.5714285714285714,0.20408163265306123,0.0,0.10204081632653061,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.5306122448979592,0.5714285714285714,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.5510204081632653,1.0,0.5306122448979592,0.5918367346938775,0.5306122448979592,0.5306122448979592,0.5714285714285714,0.061224489795918366,0.04081632653061224,0.08163265306122448,0.061224489795918366,0.0
ERYTHROID HYPOPLASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709677419354839,0.06451612903225806,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.9354838709677419,0.8709677419354839,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8387096774193549,0.9354838709677419,0.8387096774193549,0.8387096774193549,1.0,1.0,0.8709677419354839,0.8709677419354839,0.8387096774193549,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0
ABNORMAL NUMBER OF ERYTHROID PRECURSORS,0.018867924528301886,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.09433962264150944,0.018867924528301886,0.05660377358490566,0.018867924528301886,0.5283018867924528,0.20754716981132076,0.0,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.09433962264150944,0.09433962264150944,0.5849056603773585,0.5283018867924528,0.5283018867924528,0.5471698113207547,0.6226415094339622,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.5094339622641509,0.49056603773584906,0.5849056603773585,0.49056603773584906,0.5471698113207547,0.5849056603773585,1.0,0.5660377358490566,0.5094339622641509,0.5660377358490566,0.09433962264150944,0.09433962264150944,0.1320754716981132,0.11320754716981132,0.0
PURE RED CELL APLASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9,0.8666666666666667,0.8666666666666667,0.9,1.0,1.0,0.9,0.8666666666666667,0.1,0.13333333333333333,0.1,0.1,0.0
OSTEOSARCOMA,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.7027027027027027,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7297297297297297,0.7027027027027027,0.7027027027027027,0.7297297297297297,0.7027027027027027,0.7027027027027027,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.0,0.7027027027027027,0.05405405405405406,0.08108108108108109,0.10810810810810811,0.13513513513513514,0.0
NONIMMUNE HYDROPS FETALIS,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.07352941176470588,0.10294117647058823,0.014705882352941176,0.04411764705882353,0.014705882352941176,0.39705882352941174,0.14705882352941177,0.014705882352941176,0.04411764705882353,0.04411764705882353,0.029411764705882353,0.04411764705882353,0.04411764705882353,0.39705882352941174,0.38235294117647056,0.38235294117647056,0.4117647058823529,0.4117647058823529,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.39705882352941174,0.38235294117647056,0.4117647058823529,0.38235294117647056,0.4411764705882353,0.38235294117647056,0.38235294117647056,1.0,0.058823529411764705,0.058823529411764705,0.10294117647058823,0.11764705882352941,0.014705882352941176
ABNORMAL ORAL MUCOSA MORPHOLOGY,0.0,0.015789473684210527,0.0,0.002631578947368421,0.05,0.0,0.007894736842105263,0.005263157894736842,0.02368421052631579,0.06842105263157895,0.002631578947368421,0.015789473684210527,0.013157894736842105,0.005263157894736842,0.015789473684210527,0.015789473684210527,0.03684210526315789,0.007894736842105263,0.007894736842105263,0.02631578947368421,0.02631578947368421,0.002631578947368421,0.005263157894736842,0.005263157894736842,0.013157894736842105,0.018421052631578946,0.010526315789473684,0.02894736842105263,0.002631578947368421,0.007894736842105263,0.007894736842105263,0.013157894736842105,0.007894736842105263,0.005263157894736842,0.010526315789473684,1.0,0.27631578947368424,0.30526315789473685,0.25,0.018421052631578946
