Pathway,"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",ABNORMALITY OF THE MITOCHONDRION,DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,LACTIC ACIDOSIS,ABNORMALITY OF ACID BASE HOMEOSTASIS,"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION",INCREASED CIRCULATING LACTATE CONCENTRATION,ABNORMAL CSF LACTATE CONCENTRATION,LETHARGY,"ABNORMAL CIRCULATING CARBOXYLIC ACID
CONCENTRATION",INCREASED CIRCULATING PYRUVATE CONCENTRATION,ABNORMAL URINE CARBOXYLIC ACID LEVEL,ELEVATED URINARY CARBOXYLIC ACID,DICARBOXYLIC ACIDURIA,ORGANIC ACIDURIA,ABNORMAL URINE PH,MACROCYTIC ANEMIA,NORMOCHROMIC ANEMIA,PERSISTENCE OF HEMOGLOBIN F,INCREASED MEAN CORPUSCULAR VOLUME,ABNORMAL MEAN CORPUSCULAR VOLUME,ADENOCARCINOMA OF THE COLON,ADENOCARCINOMA OF THE INTESTINES,ABNORMALITY OF THE THENAR EMINENCE,ABSENT THUMB,RETICULOCYTOPENIA,CLEFT SOFT PALATE,THROMBOCYTOSIS,"ABNORMAL ERYTHROCYTE ADENOSINE DEAMINASE
ACTIVITY","ABNORMAL ERYTHROCYTE ENZYME CONCENTRATION OR
ACTIVITY",ERYTHROID HYPOPLASIA,ABNORMAL NUMBER OF ERYTHROID PRECURSORS,PURE RED CELL APLASIA,OSTEOSARCOMA,NONIMMUNE HYDROPS FETALIS,ABNORMAL ORAL MUCOSA MORPHOLOGY,ABNORMAL LYMPH NODE MORPHOLOGY,FEVER,ABNORMALITY OF BLOOD CIRCULATION,PROMINENT NOSE
"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",1.0,1.0,0.6754966887417219,0.6291390728476821,0.8741721854304636,0.3973509933774834,0.6556291390728477,0.44370860927152317,0.31125827814569534,0.4966887417218543,0.26490066225165565,0.16556291390728478,0.09933774834437085,0.09271523178807947,0.11258278145695365,0.2119205298013245,0.013245033112582781,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.039735099337748346,0.0,0.019867549668874173,0.06622516556291391,0.033112582781456956,0.0
ABNORMALITY OF THE MITOCHONDRION,0.6265560165975104,1.0,0.42323651452282157,0.5435684647302904,0.7883817427385892,0.34439834024896265,0.5435684647302904,0.36929460580912865,0.27800829875518673,0.48132780082987553,0.18672199170124482,0.17427385892116182,0.12448132780082988,0.11203319502074689,0.14522821576763487,0.24481327800829875,0.012448132780082987,0.0,0.0,0.0,0.008298755186721992,0.0,0.0,0.0,0.0,0.0,0.0,0.008298755186721992,0.0,0.004149377593360996,0.0,0.012448132780082987,0.0,0.004149377593360996,0.024896265560165973,0.024896265560165973,0.024896265560165973,0.12033195020746888,0.03319502074688797,0.0
DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,1.0,1.0,1.0,0.696078431372549,0.8921568627450981,0.5098039215686274,0.6470588235294118,0.47058823529411764,0.37254901960784315,0.5490196078431373,0.3235294117647059,0.13725490196078433,0.10784313725490197,0.09803921568627451,0.12745098039215685,0.21568627450980393,0.0196078431372549,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.058823529411764705,0.0,0.0,0.06862745098039216,0.00980392156862745,0.0
LACTIC ACIDOSIS,0.472636815920398,0.6517412935323383,0.35323383084577115,1.0,1.0,0.40298507462686567,0.5970149253731343,0.417910447761194,0.34328358208955223,0.5522388059701493,0.23383084577114427,0.19402985074626866,0.10945273631840796,0.0945273631840796,0.14427860696517414,0.24875621890547264,0.01990049751243781,0.004975124378109453,0.0,0.004975124378109453,0.009950248756218905,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.004975124378109453,0.0,0.009950248756218905,0.0,0.009950248756218905,0.0,0.0,0.024875621890547265,0.004975124378109453,0.009950248756218905,0.13432835820895522,0.05472636815920398,0.0
ABNORMALITY OF ACID BASE HOMEOSTASIS,0.28509719222462204,0.4103671706263499,0.19654427645788336,0.43412526997840173,1.0,0.19438444924406048,0.49892008639308855,0.23758099352051837,0.2591792656587473,0.4449244060475162,0.12958963282937366,0.20950323974082075,0.1447084233261339,0.11879049676025918,0.17062634989200864,0.23110151187904968,0.02591792656587473,0.004319654427645789,0.0,0.01079913606911447,0.017278617710583154,0.0,0.0,0.0,0.0021598272138228943,0.0,0.0021598272138228943,0.008639308855291577,0.0,0.008639308855291577,0.0,0.01079913606911447,0.0,0.0,0.01511879049676026,0.04103671706263499,0.02591792656587473,0.12526997840172785,0.09287257019438445,0.008639308855291577
"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION",0.594059405940594,0.8217821782178217,0.5148514851485149,0.801980198019802,0.8910891089108911,1.0,0.6534653465346535,0.5841584158415841,0.40594059405940597,0.6039603960396039,0.38613861386138615,0.12871287128712872,0.07920792079207921,0.0594059405940594,0.0891089108910891,0.22772277227722773,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0,0.0,0.18811881188118812,0.0,0.0
INCREASED CIRCULATING LACTATE CONCENTRATION,0.42857142857142855,0.5670995670995671,0.2857142857142857,0.5194805194805194,1.0,0.2857142857142857,1.0,0.38961038961038963,0.19913419913419914,0.47619047619047616,0.19480519480519481,0.1645021645021645,0.09090909090909091,0.08225108225108226,0.11255411255411256,0.21645021645021645,0.017316017316017316,0.0,0.0,0.004329004329004329,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.008658008658008658,0.0,0.004329004329004329,0.0,0.012987012987012988,0.0,0.0,0.012987012987012988,0.012987012987012988,0.021645021645021644,0.12987012987012986,0.03896103896103896,0.0
ABNORMAL CSF LACTATE CONCENTRATION,0.5726495726495726,0.7606837606837606,0.41025641025641024,0.717948717948718,0.9401709401709402,0.5042735042735043,0.7692307692307693,1.0,0.36752136752136755,0.5811965811965812,0.3418803418803419,0.13675213675213677,0.08547008547008547,0.05982905982905983,0.1111111111111111,0.2564102564102564,0.02564102564102564,0.0,0.0,0.0,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.20512820512820512,0.017094017094017096,0.0
LETHARGY,0.1843137254901961,0.2627450980392157,0.14901960784313725,0.27058823529411763,0.47058823529411764,0.1607843137254902,0.1803921568627451,0.16862745098039217,1.0,0.4823529411764706,0.13333333333333333,0.21176470588235294,0.1568627450980392,0.12549019607843137,0.1843137254901961,0.21568627450980393,0.13725490196078433,0.10588235294117647,0.10196078431372549,0.11372549019607843,0.11764705882352941,0.10196078431372549,0.10196078431372549,0.10196078431372549,0.10196078431372549,0.10588235294117647,0.10980392156862745,0.11372549019607843,0.10196078431372549,0.10980392156862745,0.10588235294117647,0.10980392156862745,0.10196078431372549,0.10196078431372549,0.10588235294117647,0.03529411764705882,0.01568627450980392,0.10588235294117647,0.09019607843137255,0.00784313725490196
"ABNORMAL CIRCULATING CARBOXYLIC ACID
CONCENTRATION",0.17942583732057416,0.27751196172248804,0.1339712918660287,0.26555023923444976,0.49282296650717705,0.145933014354067,0.2631578947368421,0.16267942583732056,0.2942583732057416,1.0,0.14354066985645933,0.23205741626794257,0.18181818181818182,0.14832535885167464,0.20813397129186603,0.2679425837320574,0.06698564593301436,0.009569377990430622,0.011961722488038277,0.03349282296650718,0.045454545454545456,0.0023923444976076554,0.0023923444976076554,0.0023923444976076554,0.0023923444976076554,0.009569377990430622,0.004784688995215311,0.01674641148325359,0.0023923444976076554,0.023923444976076555,0.004784688995215311,0.02631578947368421,0.0023923444976076554,0.0023923444976076554,0.023923444976076555,0.06220095693779904,0.019138755980861243,0.1339712918660287,0.09808612440191387,0.011961722488038277
