Pathway,PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,ELECTRON TRANSFER ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY","PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,CYTOCHROME C OXIDASE ACTIVITY,"ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY","ATPASE COUPLED MONOATOMIC CATION
TRANSMEMBRANE TRANSPORTER ACTIVITY","ATPASE COUPLED ION TRANSMEMBRANE TRANSPORTER
ACTIVITY","ATPASE COUPLED TRANSMEMBRANE TRANSPORTER
ACTIVITY","PROTON TRANSPORTING ATP SYNTHASE ACTIVITY
ROTATIONAL MECHANISM",PROTON CHANNEL ACTIVITY,ANTIGEN BINDING,HISTONE BINDING,DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",ATP DEPENDENT ACTIVITY ACTING ON DNA,CATALYTIC ACTIVITY ACTING ON DNA,DNA HELICASE ACTIVITY,SINGLE STRANDED DNA BINDING,DAMAGED DNA BINDING,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT
CONFERRING TENSILE STRENGTH",INTEGRIN BINDING,COLLAGEN BINDING,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",ATP DEPENDENT ACTIVITY ACTING ON RNA,ISOMERASE ACTIVITY,CATALYTIC ACTIVITY ACTING ON RNA,MRNA 3 UTR BINDING,MRNA 5 UTR BINDING,"SECONDARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",LIPID TRANSPORTER ACTIVITY,TUBULIN BINDING,MICROTUBULE BINDING,MONOCARBOXYLIC ACID BINDING,INTRAMOLECULAR OXIDOREDUCTASE ACTIVITY,STRUCTURAL CONSTITUENT OF NUCLEAR PORE
PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,1.0,0.2192513368983957,0.3315508021390374,0.3315508021390374,0.48128342245989303,0.8342245989304813,0.06951871657754011,0.47593582887700536,0.1443850267379679,0.12834224598930483,0.1497326203208556,0.09090909090909091,0.15508021390374332,0.0,0.0,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582887700534759,0.0,0.0053475935828877,0.0053475935828877,0.0106951871657754,0.0,0.0
NADH DEHYDROGENASE UBIQUINONE ACTIVITY,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELECTRON TRANSFER ACTIVITY,0.543859649122807,0.35964912280701755,1.0,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.11403508771929824,0.5350877192982456,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.017543859649122806,0.008771929824561403,0.0
"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.9393939393939394,0.6212121212121212,0.9242424242424242,1.0,1.0,1.0,0.19696969696969696,0.9393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.5454545454545454,0.24848484848484848,0.3696969696969697,0.4,1.0,1.0,0.07878787878787878,0.703030303030303,0.32727272727272727,0.14545454545454545,0.6,0.012121212121212121,0.012121212121212121,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.0,0.0,0.006060606060606061,0.17575757575757575,0.0,0.0,0.0,0.0,0.0
ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,0.3406113537117904,0.08951965065502183,0.1331877729257642,0.14410480349344978,0.36026200873362446,1.0,0.028384279475982533,0.25327510917030566,0.11790393013100436,0.05240174672489083,0.21615720524017468,0.004366812227074236,0.008733624454148471,0.010917030567685589,0.0,0.002183406113537118,0.002183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006550218340611353,0.0,0.0,0.002183406113537118,0.0,0.002183406113537118,0.0,0.0,0.0,0.6331877729257642,0.1222707423580786,0.004366812227074236,0.002183406113537118,0.0,0.0,0.0
CYTOCHROME C OXIDASE ACTIVITY,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.7672413793103449,0.35344827586206895,0.5258620689655172,0.5344827586206896,1.0,1.0,0.11206896551724138,1.0,0.46551724137931033,0.20689655172413793,0.46551724137931033,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0
"ATPASE COUPLED MONOATOMIC CATION
TRANSMEMBRANE TRANSPORTER ACTIVITY",0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.4444444444444444,1.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0
"ATPASE COUPLED ION TRANSMEMBRANE TRANSPORTER
ACTIVITY",1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
