Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_DIOXYGENASE_ACTIVITY,GOMF_DIOXYGENASE_ACTIVITY,0.0099,26,0.2653,68,21,0.1093,1.0,keep,GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY,GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY,False,"KDM5D,UTY,METTL3,METTL4,PTGS2,KDM2A,ALKBH8,KDM6B,P4HA3,P3H3,P3H1,TDO2,PHYHD1,PLOD1,KDM1A,ALKBH3,JMJD1C,FTO,ASPH,ALOX15"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_5_3_EXONUCLEASE_ACTIVITY,GOMF_5_3_EXONUCLEASE_ACTIVITY,0.01,11,0.6471,8,6,0.3733,0.0217,keep,GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA,GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA,True,"DCLRE1B,DXO,XRN2,EXO1,EXO5,EXOG,DCLRE1A,MGME1,CPSF3,DCLRE1C,FEN1"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_G_RICH_STRAND_TELOMERIC_DNA_BINDING,GOMF_G_RICH_STRAND_TELOMERIC_DNA_BINDING,0.01,6,0.6,0,0,1.0,0.0,keep,itself,,True,"RPA1,TERF1,HNRNPA2B1,CTC1,HNRNPA1,RPA2"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_ACYL_COA_OXIDASE_ACTIVITY,GOMF_ACYL_COA_OXIDASE_ACTIVITY,0.0101,2,0.3333,4,2,0.4,0.3099,keep,GOMF_MONOCARBOXYLIC_ACID_BINDING,GOMF_MONOCARBOXYLIC_ACID_BINDING,False,"ACOXL,ACOX1"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_HISTONE_MODIFYING_ACTIVITY,GOMF_HISTONE_MODIFYING_ACTIVITY,0.0102,64,0.3107,0,0,1.0,0.0,keep,itself,,True,"PHF10,KDM5D,UTY,SIRT1,KDM2A,MAP3K7,USP22,KDM6B,MEAF6,CHEK1,SETD7,USP49,MTA2,HDAC7,KDM1A,SETDB1,EYA3,JMJD1C,KMT2A,KAT6B"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_PYRIMIDINE_NUCLEOTIDE_BINDING,GOMF_PYRIMIDINE_NUCLEOTIDE_BINDING,0.0102,2,0.4,0,0,1.0,0.0,keep,itself,,True,"DCTPP1,NT5C"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.0109,10,0.5882,0,0,1.0,0.0,keep,itself,,True,"CAPN9,CAPN13,CAPN11,CAPN12,CAPN10,ADGB,CAPN5,CAPN3,CAPN2,CAPN6"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY,GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY,0.0111,12,0.3636,27,10,0.6261,0.2303,keep,GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY,GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY,False,"TYW3,ALKBH8,METTL8,TRMT11,TRMT10B,TRMT5,TRMT61B,FTSJ1,TRMT44,TRMO,TRMT1,TRMT61A"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_POLY_PURINE_TRACT_BINDING,GOMF_POLY_PURINE_TRACT_BINDING,0.0111,13,0.4062,26,12,0.1968,1.0,keep,GOMF_POLY_A_BINDING,GOMF_POLY_A_BINDING,False,"HNRNPDL,PABPC3,PATL1,TIA1,PABPC4,PAN3,RBMS2,PABPC4L,PABPC5,KHDRBS1,RBMS1,PABPC1,PABPN1"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0112,3,0.4286,4,2,0.6286,0.5915,keep,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,False,"SLC15A2,SLC15A1,ABCB9"
