"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","GRHL2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","15.66666666666667","12","5","ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=18); GTEx--Coexpression(rank=25); Enrichr--Queries(rank=97); Literature--ChIP-seq(rank=101)","21","rank=12; score=3.4062; p=0.00039248","rank=21; score=0.006734","rank=14; score=4.2114; direction=Activated"
"2","SMAD3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.33333333333333","4","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","rank=4; score=4.0863; p=8.1977e-05","rank=45; score=0.0122","rank=12; score=4.3358; direction=Activated"
"3","TP53","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.00000000000000","1","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=492); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1020)","65","rank=1; score=8.6716; p=2.1303e-09","rank=65; score=0.01829","rank=3; score=6.1658; direction=Activated"
"4","TCF12","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","31.00000000000000","19","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=88); GTEx--Coexpression(rank=436); ARCHS4--Coexpression(rank=1070); Enrichr--Queries(rank=1220)","28","rank=46; score=1.5302; p=0.029496","rank=28; score=0.008475","rank=19; score=3.8662; direction=Activated"
"5","KLF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.33333333333334","21","5","ARCHS4--Coexpression(rank=23); GTEx--Coexpression(rank=24); ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=48); Enrichr--Queries(rank=57)","50","rank=21; score=2.6724; p=0.0021261","rank=50; score=0.01413","rank=26; score=3.6353; direction=Activated"
"6","TP63","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.00000000000000","7","5","ARCHS4--Coexpression(rank=4); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=11); Enrichr--Queries(rank=16); ReMap--ChIP-seq(rank=27)","7","rank=65; score=1.1747; p=0.066883","rank=7; score=0.002457","rank=42; score=2.7923; direction=Activated"
"7","TFAP2A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.33333333333334","15","6","GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=64); Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=148)","15","rank=34; score=1.8978; p=0.012654","rank=15; score=0.004978","rank=72; score=2.2814; direction=Activated"
"8","AHR","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.66666666666666","9","5","Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=46); Enrichr--Queries(rank=64); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=290)","106","rank=13; score=3.3724; p=0.00042423","rank=106; score=0.02826","rank=9; score=4.776; direction=Activated"
"9","EHF","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;CollecTRI","43.66666666666666","4","4","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=45)","4","rank=68; score=1.1352; p=0.073243","rank=4; score=0.001843","rank=59; score=2.4963; direction=Activated"
"10","TFAP2C","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00000000000000","5","6","GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=21); ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=61)","5","rank=7; score=3.5512; p=0.00028106","rank=5; score=0.001867","rank=156; score=1.2158; direction=Activated"
