"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=1069); GTEx--Coexpression(rank=1419)","595","rank=1; score=7.0182; direction=Repressed","rank=1; score=7.3903; p=2.3575e-28; direction=Repressed"
"2","FOXO3","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","5.0","2","4","Literature--ChIP-seq(rank=132); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=574); GTEx--Coexpression(rank=723)","988","rank=8; score=3.9253; direction=Activated","rank=2; score=4.1386; p=1.4283e-09; direction=Activated"
"3","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","3","6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=169); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=624); ARCHS4--Coexpression(rank=825)","408","rank=3; score=4.6352; direction=Repressed","rank=14; score=2.6211; p=1.9334e-05; direction=Repressed"
"4","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","4","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=15; score=3.2007; direction=Activated","rank=4; score=2.8976; p=1.7206e-07; direction=Activated"
"5","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","12","6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1144)","1181","rank=12; score=3.6156; direction=Repressed","rank=19; score=2.8861; p=8.1645e-05; direction=Repressed"
"6","SREBF2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","15.5","14","6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=404); Enrichr--Queries(rank=780); ARCHS4--Coexpression(rank=1367)","852","rank=14; score=3.4683; direction=Repressed","rank=17; score=2.9535; p=3.61e-05; direction=Repressed"
"7","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","13","6","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=139); Literature--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=241); GTEx--Coexpression(rank=617); Enrichr--Queries(rank=629)","524","rank=13; score=3.5178; direction=Activated","rank=21; score=2.8118; p=0.00014265; direction=Activated"
"8","TFDP1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","20.5","20","4","ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=376); GTEx--Coexpression(rank=825); Enrichr--Queries(rank=1319)","787","rank=21; score=2.7694; direction=Repressed","rank=20; score=2.7088; p=9.9213e-05; direction=Repressed"
"9","SMAD3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","10","5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=908)","166","rank=33; score=2.4982; direction=Activated","rank=10; score=3.2947; p=3.2388e-06; direction=Activated"
"10","E2F2","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","27.0","9","3","GTEx--Coexpression(rank=553); ARCHS4--Coexpression(rank=657); Enrichr--Queries(rank=1113)","1093","rank=9; score=3.8379; direction=Repressed","rank=45; score=2.5839; p=0.0015015; direction=Repressed"
