Pathway,NRSF 01,CAGNWMCNNNGAC UNKNOWN,RFX1 02,GTTRYCATRR UNKNOWN,TFIII Q6,SP1 Q2 01,AP4 Q6 01,HEB Q6,LBP1 Q6,MYOGENIN Q6,PAX4 03,RREB1 01,MZF1 01,CP2 01,ZIC3 01,WGGAATGY TEF1 Q6,FREAC3 01,POU6F1 01,CDX2 Q5,OCT1 02,EVI1 04,AFP1 Q6,S8 01,TGATTTRY GFI1 01,PAX8 B,AP3 Q6,RP58 01,TAL1BETAE47 01,TAL1ALPHAE47 01,TAL1BETAITF2 01,HAND1E47 01,FOXM1 01,MEF2 Q6 01,MEF2 02,CREB Q2,CREB Q4,SYATTGTG UNKNOWN,ELF1 Q6,ETS Q4,PEA3 Q6
NRSF 01,1.0,0.5567010309278351,0.061855670103092786,0.020618556701030927,0.020618556701030927,0.08247422680412371,0.05154639175257732,0.041237113402061855,0.061855670103092786,0.05154639175257732,0.05154639175257732,0.030927835051546393,0.041237113402061855,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.0,0.020618556701030927,0.05154639175257732,0.05154639175257732,0.061855670103092786,0.05154639175257732,0.010309278350515464,0.041237113402061855,0.041237113402061855,0.0,0.010309278350515464,0.041237113402061855,0.010309278350515464,0.010309278350515464,0.05154639175257732,0.030927835051546393,0.05154639175257732,0.061855670103092786,0.041237113402061855,0.041237113402061855,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.030927835051546393
CAGNWMCNNNGAC UNKNOWN,0.6136363636363636,1.0,0.09090909090909091,0.03409090909090909,0.022727272727272728,0.06818181818181818,0.07954545454545454,0.09090909090909091,0.125,0.056818181818181816,0.045454545454545456,0.03409090909090909,0.06818181818181818,0.022727272727272728,0.03409090909090909,0.07954545454545454,0.022727272727272728,0.056818181818181816,0.056818181818181816,0.045454545454545456,0.09090909090909091,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.011363636363636364,0.022727272727272728,0.056818181818181816,0.022727272727272728,0.03409090909090909,0.03409090909090909,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.045454545454545456,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.022727272727272728
RFX1 02,0.02097902097902098,0.027972027972027972,1.0,0.3041958041958042,0.027972027972027972,0.03496503496503497,0.06643356643356643,0.04895104895104895,0.04195804195804196,0.06643356643356643,0.05244755244755245,0.03146853146853147,0.03146853146853147,0.027972027972027972,0.038461538461538464,0.027972027972027972,0.03496503496503497,0.038461538461538464,0.03496503496503497,0.03146853146853147,0.038461538461538464,0.01048951048951049,0.045454545454545456,0.03496503496503497,0.006993006993006993,0.03496503496503497,0.04895104895104895,0.03496503496503497,0.027972027972027972,0.038461538461538464,0.038461538461538464,0.03146853146853147,0.024475524475524476,0.024475524475524476,0.02097902097902098,0.024475524475524476,0.03496503496503497,0.027972027972027972,0.02097902097902098,0.017482517482517484
GTTRYCATRR UNKNOWN,0.011363636363636364,0.017045454545454544,0.4943181818181818,1.0,0.028409090909090908,0.022727272727272728,0.07954545454545454,0.05113636363636364,0.08522727272727272,0.0625,0.056818181818181816,0.03409090909090909,0.05113636363636364,0.03409090909090909,0.05113636363636364,0.022727272727272728,0.03409090909090909,0.03977272727272727,0.03977272727272727,0.03409090909090909,0.03409090909090909,0.022727272727272728,0.028409090909090908,0.045454545454545456,0.011363636363636364,0.011363636363636364,0.03977272727272727,0.05113636363636364,0.028409090909090908,0.05113636363636364,0.045454545454545456,0.028409090909090908,0.005681818181818182,0.011363636363636364,0.017045454545454544,0.022727272727272728,0.056818181818181816,0.022727272727272728,0.011363636363636364,0.03409090909090909
TFIII Q6,0.00966183574879227,0.00966183574879227,0.03864734299516908,0.024154589371980676,1.0,0.14009661835748793,0.06763285024154589,0.10144927536231885,0.057971014492753624,0.07729468599033816,0.14009661835748793,0.0966183574879227,0.1497584541062802,0.08695652173913043,0.11594202898550725,0.06280193236714976,0.07246376811594203,0.028985507246376812,0.043478260869565216,0.03864734299516908,0.06280193236714976,0.04830917874396135,0.033816425120772944,0.04830917874396135,0.00966183574879227,0.043478260869565216,0.07729468599033816,0.043478260869565216,0.05314009661835749,0.05314009661835749,0.043478260869565216,0.07246376811594203,0.024154589371980676,0.043478260869565216,0.05314009661835749,0.03864734299516908,0.03864734299516908,0.04830917874396135,0.03864734299516908,0.04830917874396135
SP1 Q2 01,0.032,0.024,0.04,0.016,0.116,1.0,0.068,0.064,0.056,0.072,0.068,0.032,0.068,0.06,0.08,0.052,0.032,0.036,0.024,0.036,0.056,0.036,0.024,0.024,0.016,0.028,0.06,0.056,0.064,0.052,0.028,0.032,0.02,0.02,0.04,0.048,0.044,0.04,0.048,0.064
AP4 Q6 01,0.019455252918287938,0.027237354085603113,0.07392996108949416,0.054474708171206226,0.054474708171206226,0.06614785992217899,1.0,0.47470817120622566,0.2840466926070039,0.10894941634241245,0.054474708171206226,0.027237354085603113,0.04669260700389105,0.07003891050583658,0.058365758754863814,0.08171206225680934,0.054474708171206226,0.058365758754863814,0.07392996108949416,0.042801556420233464,0.042801556420233464,0.04669260700389105,0.05058365758754864,0.04669260700389105,0.019455252918287938,0.054474708171206226,0.09727626459143969,0.08171206225680934,0.13229571984435798,0.09727626459143969,0.058365758754863814,0.05058365758754864,0.07392996108949416,0.07782101167315175,0.027237354085603113,0.038910505836575876,0.04669260700389105,0.04669260700389105,0.05058365758754864,0.042801556420233464
HEB Q6,0.014925373134328358,0.029850746268656716,0.05223880597014925,0.033582089552238806,0.07835820895522388,0.05970149253731343,0.4552238805970149,1.0,0.16417910447761194,0.08582089552238806,0.04477611940298507,0.029850746268656716,0.0708955223880597,0.07462686567164178,0.08582089552238806,0.0708955223880597,0.041044776119402986,0.03731343283582089,0.048507462686567165,0.026119402985074626,0.048507462686567165,0.026119402985074626,0.029850746268656716,0.05223880597014925,0.014925373134328358,0.033582089552238806,0.09328358208955224,0.06343283582089553,0.10074626865671642,0.08582089552238806,0.0708955223880597,0.0708955223880597,0.041044776119402986,0.048507462686567165,0.022388059701492536,0.033582089552238806,0.041044776119402986,0.029850746268656716,0.04477611940298507,0.05970149253731343
LBP1 Q6,0.02702702702702703,0.04954954954954955,0.05405405405405406,0.06756756756756757,0.05405405405405406,0.06306306306306306,0.32882882882882886,0.1981981981981982,1.0,0.25675675675675674,0.05855855855855856,0.04054054054054054,0.04954954954954955,0.05405405405405406,0.036036036036036036,0.08108108108108109,0.05405405405405406,0.04054054054054054,0.07657657657657657,0.03153153153153153,0.04954954954954955,0.05855855855855856,0.02252252252252252,0.04954954954954955,0.03153153153153153,0.05855855855855856,0.05405405405405406,0.05855855855855856,0.04954954954954955,0.05405405405405406,0.04054054054054054,0.07657657657657657,0.04054054054054054,0.05405405405405406,0.02252252252252252,0.02702702702702703,0.04504504504504504,0.04054054054054054,0.04054054054054054,0.1036036036036036
MYOGENIN Q6,0.019305019305019305,0.019305019305019305,0.07335907335907337,0.04247104247104247,0.06177606177606178,0.0694980694980695,0.10810810810810811,0.0888030888030888,0.22007722007722008,1.0,0.04633204633204633,0.05405405405405406,0.04633204633204633,0.06563706563706563,0.05791505791505792,0.0694980694980695,0.04247104247104247,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.015444015444015444,0.02702702702702703,0.019305019305019305,0.02702702702702703,0.023166023166023165,0.03088803088803089,0.04247104247104247,0.03861003861003861,0.03861003861003861,0.05019305019305019,0.02702702702702703,0.04633204633204633,0.03474903474903475,0.03474903474903475,0.03861003861003861,0.03474903474903475,0.015444015444015444,0.023166023166023165,0.03861003861003861,0.06177606177606178
