Pathway,MRNA PROCESSING,"REGULATION OF SISTER CHROMATID SEPARATION AT
THE METAPHASEANAPHASE TRANSITION","FATTY ACID AND LIPOPROTEIN TRANSPORT IN
HEPATOCYTES",CHOLESTEROL METABOLISM,"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING","SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS",ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,LIVER X RECEPTOR PATHWAY,"TRANSCRIPTIONAL CASCADE REGULATING
ADIPOGENESIS","CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS","CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",OMEGA9 FATTY ACID SYNTHESIS,FATTY ACID BIOSYNTHESIS,FERROPTOSIS,CAFFEINE IN MYOCYTES,STRIATED MUSCLE CONTRACTION PATHWAY,MIRTARGETED GENES IN MUSCLE CELL,"VITAMIN DSENSITIVE CALCIUM SIGNALING IN
DEPRESSION",RETT SYNDROME,"DEREGULATING CELLULAR METABOLISM THROUGH
NONGENOTOXIC CARCINOGENS","THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",INSULIN SIGNALING,"TRANSLATION INHIBITORS IN CHRONICALLY
ACTIVATED PDGFRA CELLS","EFFECT OF OMEGA3 PUFA ON HUNTINGTONS DISEASE
PATHWAYS",KIT RECEPTOR SIGNALING,EGFEGFR SIGNALING,MAPK PATHWAY IN CONGENITAL THYROID CANCER,HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING,PROLACTIN SIGNALING,MACROPHAGESTIMULATING PROTEIN MSP SIGNALING,REGULATION OF ACTIN CYTOSKELETON,"NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR
SIGNALING",ANGIOGENESIS OVERVIEW,METABOLIC REPROGRAMMING IN COLON CANCER,METABOLIC EPILEPTIC DISORDERS,"PHOTODYNAMIC THERAPYINDUCED UNFOLDED PROTEIN
RESPONSE",ANK2 PATHWAY IN EPILEPSY DEVELOPMENT,PHOSPHOINOSITIDES METABOLISM,"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS",CORTICOTROPINRELEASING HORMONE SIGNALING
"CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",0.0,0.0,0.3333333333333333,0.25225225225225223,0.11711711711711711,0.06306306306306306,0.06306306306306306,0.04504504504504504,0.009009009009009009,0.36036036036036034,1.0,0.07207207207207207,0.02702702702702703,0.036036036036036036,0.0,0.0,0.036036036036036036,0.018018018018018018,0.0,0.0,0.0,0.018018018018018018,0.0,0.0990990990990991,0.0,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06306306306306306
OMEGA9 FATTY ACID SYNTHESIS,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.7857142857142857,0.5714285714285714,1.0,0.35714285714285715,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
FATTY ACID BIOSYNTHESIS,0.0,0.0,0.5454545454545454,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.22727272727272727,0.13636363636363635,0.22727272727272727,1.0,0.22727272727272727,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.0,0.0,0.0,0.045454545454545456
FERROPTOSIS,0.015625,0.0,0.109375,0.03125,0.03125,0.015625,0.0,0.0,0.0,0.078125,0.0625,0.046875,0.078125,1.0,0.0,0.0,0.078125,0.015625,0.0,0.0,0.015625,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.015625,0.015625,0.046875,0.0,0.0,0.0,0.0,0.0
CAFFEINE IN MYOCYTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6388888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRIATED MUSCLE CONTRACTION PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6052631578947368,1.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIRTARGETED GENES IN MUSCLE CELL,0.012594458438287154,0.0,0.0327455919395466,0.010075566750629723,0.012594458438287154,0.0,0.017632241813602016,0.0,0.0025188916876574307,0.007556675062972292,0.010075566750629723,0.0025188916876574307,0.0025188916876574307,0.012594458438287154,0.010075566750629723,0.010075566750629723,1.0,0.005037783375314861,0.0025188916876574307,0.0025188916876574307,0.010075566750629723,0.02518891687657431,0.007556675062972292,0.015113350125944584,0.007556675062972292,0.027707808564231738,0.0025188916876574307,0.0025188916876574307,0.010075566750629723,0.012594458438287154,0.010075566750629723,0.012594458438287154,0.007556675062972292,0.007556675062972292,0.010075566750629723,0.0,0.0,0.0,0.0,0.012594458438287154
"VITAMIN DSENSITIVE CALCIUM SIGNALING IN
DEPRESSION",0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,1.0,0.05555555555555555,0.0,0.08333333333333333,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776
RETT SYNDROME,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,1.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.10416666666666667,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0625
"DEREGULATING CELLULAR METABOLISM THROUGH
NONGENOTOXIC CARCINOGENS",0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,1.0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.045454545454545456
