Pathway,BLOOD MICROPARTICLE,OTHER ORGANISM PART,SYMBIONT CELL SURFACE,SERINE TYPE PEPTIDASE COMPLEX,ENDOPEPTIDASE COMPLEX,PEPTIDASE COMPLEX,EXTERNAL SIDE OF PLASMA MEMBRANE,PROTEIN LIPID COMPLEX,HIGH DENSITY LIPOPROTEIN PARTICLE,SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,TRIGLYCERIDE RICH PLASMA LIPOPROTEIN PARTICLE,CHYLOMICRON,LOW DENSITY LIPOPROTEIN PARTICLE,IMMUNOGLOBULIN COMPLEX,PLATELET ALPHA GRANULE LUMEN,VESICLE LUMEN,FIBRINOGEN COMPLEX,PLATELET ALPHA GRANULE,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,SARCOLEMMA,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,PRESYNAPTIC MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,ENDOPLASMIC RETICULUM LUMEN,COMPLEX OF COLLAGEN TRIMERS,MICROBODY,MICROBODY LUMEN,CONTRACTILE MUSCLE FIBER,I BAND,ACTOMYOSIN,ACTIN FILAMENT BUNDLE,RIBOSOMAL SUBUNIT,RIBOSOME,PRERIBOSOME
FIBRINOGEN COMPLEX,0.625,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLATELET ALPHA GRANULE,0.23076923076923078,0.0,0.0,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.14285714285714285,0.02197802197802198,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.0,0.01098901098901099,0.0,0.7362637362637363,0.7362637362637363,0.06593406593406594,1.0,0.0,0.0,0.0,0.03296703296703297,0.01098901098901099,0.0,0.0,0.0,0.01098901098901099,0.02197802197802198,0.02197802197802198,0.23076923076923078,0.0,0.0,0.0,0.054945054945054944,0.04395604395604396,0.02197802197802198,0.02197802197802198,0.0,0.01098901098901099,0.0
CATION CHANNEL COMPLEX,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.02109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14345991561181434,0.22784810126582278,0.1729957805907173,0.08438818565400844,0.08860759493670886,0.0759493670886076,0.12236286919831224,0.05485232067510549,0.04219409282700422,0.008438818565400843,0.0,0.004219409282700422,0.0,0.0970464135021097,0.0759493670886076,0.004219409282700422,0.0,0.0,0.0,0.0
MONOATOMIC ION CHANNEL COMPLEX,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.024324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6405405405405405,1.0,0.0972972972972973,0.3,0.26216216216216215,0.14864864864864866,0.16486486486486487,0.11081081081081082,0.10810810810810811,0.06486486486486487,0.05405405405405406,0.005405405405405406,0.0,0.002702702702702703,0.0,0.062162162162162166,0.04864864864864865,0.002702702702702703,0.0,0.0,0.0,0.0
SARCOLEMMA,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184397163120567,0.0,0.0,0.24113475177304963,0.2553191489361702,1.0,0.2127659574468085,0.14184397163120568,0.06382978723404255,0.12056737588652482,0.12056737588652482,0.07092198581560284,0.14184397163120568,0.14184397163120568,0.03546099290780142,0.014184397163120567,0.0,0.0,0.3262411347517731,0.2624113475177305,0.0070921985815602835,0.0070921985815602835,0.0,0.0,0.0
SYNAPTIC MEMBRANE,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0,0.0,0.036036036036036036,0.0022522522522522522,0.0022522522522522522,0.0,0.0022522522522522522,0.0,0.0022522522522522522,0.0,0.0022522522522522522,0.0045045045045045045,0.0,0.006756756756756757,0.12162162162162163,0.25,0.06756756756756757,1.0,0.7094594594594594,0.34234234234234234,0.44819819819819817,0.41216216216216217,0.4099099099099099,0.09234234234234234,0.09234234234234234,0.009009009009009009,0.0,0.0045045045045045045,0.0,0.02702702702702703,0.02027027027027027,0.009009009009009009,0.009009009009009009,0.0,0.0022522522522522522,0.0
POSTSYNAPTIC MEMBRANE,0.0031746031746031746,0.006349206349206349,0.006349206349206349,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0031746031746031746,0.13015873015873017,0.30793650793650795,0.06349206349206349,1.0,1.0,0.48253968253968255,0.580952380952381,0.5111111111111111,0.28888888888888886,0.09523809523809523,0.09523809523809523,0.006349206349206349,0.0,0.0031746031746031746,0.0,0.02857142857142857,0.022222222222222223,0.012698412698412698,0.006349206349206349,0.0,0.0031746031746031746,0.0
POSTSYNAPTIC SPECIALIZATION MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.3618421052631579,0.05921052631578947,1.0,1.0,1.0,1.0,0.8289473684210527,0.21710526315789475,0.07894736842105263,0.07894736842105263,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.0,0.006578947368421052,0.0
POSTSYNAPTIC SPECIALIZATION,0.0,0.0,0.0,0.0,0.005194805194805195,0.005194805194805195,0.015584415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007792207792207792,0.0,0.0,0.05454545454545454,0.15844155844155844,0.04415584415584416,0.5168831168831168,0.4753246753246753,0.3948051948051948,1.0,0.9116883116883117,0.12727272727272726,0.07532467532467532,0.06753246753246753,0.0025974025974025974,0.0,0.0,0.0,0.033766233766233764,0.023376623376623377,0.02077922077922078,0.01818181818181818,0.04415584415584416,0.046753246753246755,0.01038961038961039
NEURON TO NEURON SYNAPSE,0.0025,0.0,0.0,0.0,0.005,0.005,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.045,0.1025,0.0425,0.4575,0.4025,0.315,0.8775,1.0,0.135,0.075,0.0675,0.0075,0.0,0.0025,0.0,0.0325,0.0225,0.0175,0.015,0.0425,0.045,0.01
