"TF","DLD1_HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-5.987806493675466690","-5.987806493675466690","5.987806493675466690","Repressed","1","viper","1","5.987806493675466690",NA,NA,"6","ENCODE--ChIP-seq(rank=68); Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=238); GTEx--Coexpression(rank=702); ARCHS4--Coexpression(rank=1013); Enrichr--Queries(rank=1105)","1218","0.43680000000000002","GTEx Coexpression,0.4368"
"ATF4","5.416276830765743178","5.416276830765743178","5.416276830765743178","Activated","2","viper","2","5.416276830765743178",NA,NA,"4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=461); Enrichr--Queries(rank=893); ARCHS4--Coexpression(rank=1189)","237","0.06734000000000000","ReMap ChIP-seq,0.06734"
"MYC","-4.987928840582201317","-4.987928840582201317","4.987928840582201317","Repressed","3","viper","3","4.987928840582201317",NA,NA,"6","Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=71); Enrichr--Queries(rank=207); ReMap--ChIP-seq(rank=263); ARCHS4--Coexpression(rank=535)","138","0.03671000000000000","GTEx Coexpression,0.03671"
"ARNTL","4.335739544655972999","4.335739544655972999","4.335739544655972999","Activated","4","viper","4","4.335739544655972999",NA,NA,"4","ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=102); GTEx--Coexpression(rank=104)","104","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"STAT1","4.162034480995223440","4.162034480995223440","4.162034480995223440","Activated","5","viper","5","4.162034480995223440",NA,NA,"6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","0.01413000000000000","ARCHS4 Coexpression,0.01413"
"ARID3A","4.012805283781075261","4.012805283781075261","4.012805283781075261","Activated","6","viper","6","4.012805283781075261",NA,NA,"5","ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=341); Enrichr--Queries(rank=364); ARCHS4--Coexpression(rank=1268)","686","0.21220000000000000","GTEx Coexpression,0.2122"
"MAFF","3.939455912585450470","3.939455912585450470","3.939455912585450470","Activated","7","viper","7","3.939455912585450470",NA,NA,"5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=1624)","4","0.00142500000000000","Enrichr Queries,0.001425"
"SNAPC4","-3.601280411012078186","-3.601280411012078186","3.601280411012078186","Repressed","8","viper","8","3.601280411012078186",NA,NA,"4","GTEx--Coexpression(rank=62); ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=1255); ARCHS4--Coexpression(rank=1384)","145","0.03858000000000000","GTEx Coexpression,0.03858"
"FOXO3","3.586061718839471446","3.586061718839471446","3.586061718839471446","Activated","9","viper","9","3.586061718839471446",NA,NA,"4","Literature--ChIP-seq(rank=100); Enrichr--Queries(rank=511); GTEx--Coexpression(rank=614); ARCHS4--Coexpression(rank=763)","1071","0.36399999999999999","Enrichr Queries,0.364"
"MNT","-3.531427707440140118","-3.531427707440140118","3.531427707440140118","Repressed","10","viper","10","3.531427707440140118",NA,NA,"4","ReMap--ChIP-seq(rank=248); GTEx--Coexpression(rank=505); Enrichr--Queries(rank=526); ARCHS4--Coexpression(rank=792)","953","0.31430000000000002","GTEx Coexpression,0.3143"
"JUN","3.448619165338175474","3.448619165338175474","3.448619165338175474","Activated","11","viper","11","3.448619165338175474",NA,NA,"6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","0.00336700000000000","ReMap ChIP-seq,0.003367"
"SREBF2","-3.441071436174170994","-3.441071436174170994","3.441071436174170994","Repressed","12","viper","12","3.441071436174170994",NA,NA,"6","ENCODE--ChIP-seq(rank=92); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=869); Enrichr--Queries(rank=1015); ARCHS4--Coexpression(rank=1538)","1381","0.54079999999999995","GTEx Coexpression,0.5408"
