"Method","Input_Type","Input_Name","Gene_Count","Rank_Conditions","Output_Directory","Result_Tables"
"chea3","DEG","ALL","65","ALL","results/ngs/GSE114012/TF/DEG/ALL/chea3","8"
"chea3","DEG","DLD1","752","DLD1","results/ngs/GSE114012/TF/DEG/DLD1/chea3","8"
"chea3","DEG","DLD1_HCT15","193","DLD1_HCT15","results/ngs/GSE114012/TF/DEG/DLD1_HCT15/chea3","8"
"chea3","DEG","DLD1_HCT15_SW48","102","DLD1_HCT15_SW48","results/ngs/GSE114012/TF/DEG/DLD1_HCT15_SW48/chea3","8"
"chea3","DEG","HCT15","522","HCT15","results/ngs/GSE114012/TF/DEG/HCT15/chea3","8"
"chea3","DEG","HT55","367","HT55","results/ngs/GSE114012/TF/DEG/HT55/chea3","8"
"chea3","DEG","RKO","1877","RKO","results/ngs/GSE114012/TF/DEG/RKO/chea3","8"
"chea3","DEG","SW48","449","SW48","results/ngs/GSE114012/TF/DEG/SW48/chea3","8"
"chea3","DEG","SW948","362","SW948","results/ngs/GSE114012/TF/DEG/SW948/chea3","8"
"chea3","INTERSECT","DLD1_HCT15","102","DLD1;HCT15","results/ngs/GSE114012/TF/intersect/DLD1_HCT15/chea3","8"
"chea3","INTERSECT","DLD1_HCT15_SW48","19","DLD1;HCT15;SW48","results/ngs/GSE114012/TF/intersect/DLD1_HCT15_SW48/chea3","8"
"chea3","INTERSECT","HT55_SW948","49","HT55;SW948","results/ngs/GSE114012/TF/intersect/HT55_SW948/chea3","8"
"chea3","INTERSECT","SW948_RKO","83","RKO;SW948","results/ngs/GSE114012/TF/intersect/SW948_RKO/chea3","8"
"collectri","DEG","ALL","65","ALL","results/ngs/GSE114012/TF/DEG/ALL/collectri","1"
"collectri","DEG","DLD1","752","DLD1","results/ngs/GSE114012/TF/DEG/DLD1/collectri","1"
"collectri","DEG","DLD1_HCT15","193","DLD1_HCT15","results/ngs/GSE114012/TF/DEG/DLD1_HCT15/collectri","1"
"collectri","DEG","DLD1_HCT15_SW48","102","DLD1_HCT15_SW48","results/ngs/GSE114012/TF/DEG/DLD1_HCT15_SW48/collectri","1"
"collectri","DEG","HCT15","522","HCT15","results/ngs/GSE114012/TF/DEG/HCT15/collectri","1"
"collectri","DEG","HT55","367","HT55","results/ngs/GSE114012/TF/DEG/HT55/collectri","1"
"collectri","DEG","RKO","1877","RKO","results/ngs/GSE114012/TF/DEG/RKO/collectri","1"
"collectri","DEG","SW48","449","SW48","results/ngs/GSE114012/TF/DEG/SW48/collectri","1"
"collectri","DEG","SW948","362","SW948","results/ngs/GSE114012/TF/DEG/SW948/collectri","1"
"collectri","INTERSECT","DLD1_HCT15","102","DLD1;HCT15","results/ngs/GSE114012/TF/intersect/DLD1_HCT15/collectri","1"
"collectri","INTERSECT","DLD1_HCT15_SW48","19","DLD1;HCT15;SW48","results/ngs/GSE114012/TF/intersect/DLD1_HCT15_SW48/collectri","1"
"collectri","INTERSECT","HT55_SW948","49","HT55;SW948","results/ngs/GSE114012/TF/intersect/HT55_SW948/collectri","1"
"collectri","INTERSECT","SW948_RKO","83","RKO;SW948","results/ngs/GSE114012/TF/intersect/SW948_RKO/collectri","1"
"dorothea","DEG","ALL","65","ALL","results/ngs/GSE114012/TF/DEG/ALL/dorothea","1"
"dorothea","DEG","DLD1","752","DLD1","results/ngs/GSE114012/TF/DEG/DLD1/dorothea","1"
"dorothea","DEG","DLD1_HCT15","193","DLD1_HCT15","results/ngs/GSE114012/TF/DEG/DLD1_HCT15/dorothea","1"
"dorothea","DEG","DLD1_HCT15_SW48","102","DLD1_HCT15_SW48","results/ngs/GSE114012/TF/DEG/DLD1_HCT15_SW48/dorothea","1"
"dorothea","DEG","HCT15","522","HCT15","results/ngs/GSE114012/TF/DEG/HCT15/dorothea","1"
"dorothea","DEG","HT55","367","HT55","results/ngs/GSE114012/TF/DEG/HT55/dorothea","1"
"dorothea","DEG","RKO","1877","RKO","results/ngs/GSE114012/TF/DEG/RKO/dorothea","1"
"dorothea","DEG","SW48","449","SW48","results/ngs/GSE114012/TF/DEG/SW48/dorothea","1"
"dorothea","DEG","SW948","362","SW948","results/ngs/GSE114012/TF/DEG/SW948/dorothea","1"
"dorothea","INTERSECT","DLD1_HCT15","102","DLD1;HCT15","results/ngs/GSE114012/TF/intersect/DLD1_HCT15/dorothea","1"
"dorothea","INTERSECT","DLD1_HCT15_SW48","19","DLD1;HCT15;SW48","results/ngs/GSE114012/TF/intersect/DLD1_HCT15_SW48/dorothea","1"
"dorothea","INTERSECT","HT55_SW948","49","HT55;SW948","results/ngs/GSE114012/TF/intersect/HT55_SW948/dorothea","1"
"dorothea","INTERSECT","SW948_RKO","83","RKO;SW948","results/ngs/GSE114012/TF/intersect/SW948_RKO/dorothea","1"
"enrichr","DEG","ALL","65","ALL","results/ngs/GSE114012/TF/DEG/ALL/enrichr","5"
"enrichr","DEG","DLD1","752","DLD1","results/ngs/GSE114012/TF/DEG/DLD1/enrichr","5"
"enrichr","DEG","DLD1_HCT15","193","DLD1_HCT15","results/ngs/GSE114012/TF/DEG/DLD1_HCT15/enrichr","5"
"enrichr","DEG","DLD1_HCT15_SW48","102","DLD1_HCT15_SW48","results/ngs/GSE114012/TF/DEG/DLD1_HCT15_SW48/enrichr","5"
"enrichr","DEG","HCT15","522","HCT15","results/ngs/GSE114012/TF/DEG/HCT15/enrichr","5"
"enrichr","DEG","HT55","367","HT55","results/ngs/GSE114012/TF/DEG/HT55/enrichr","5"
"enrichr","DEG","RKO","1877","RKO","results/ngs/GSE114012/TF/DEG/RKO/enrichr","5"
"enrichr","DEG","SW48","449","SW48","results/ngs/GSE114012/TF/DEG/SW48/enrichr","5"
"enrichr","DEG","SW948","362","SW948","results/ngs/GSE114012/TF/DEG/SW948/enrichr","5"
"enrichr","INTERSECT","DLD1_HCT15","102","DLD1;HCT15","results/ngs/GSE114012/TF/intersect/DLD1_HCT15/enrichr","5"
"enrichr","INTERSECT","DLD1_HCT15_SW48","19","DLD1;HCT15;SW48","results/ngs/GSE114012/TF/intersect/DLD1_HCT15_SW48/enrichr","5"
"enrichr","INTERSECT","HT55_SW948","49","HT55;SW948","results/ngs/GSE114012/TF/intersect/HT55_SW948/enrichr","5"
"enrichr","INTERSECT","SW948_RKO","83","RKO;SW948","results/ngs/GSE114012/TF/intersect/SW948_RKO/enrichr","5"
"trrust","DEG","ALL","65","ALL","results/ngs/GSE114012/TF/DEG/ALL/trrust","1"
"trrust","DEG","DLD1","752","DLD1","results/ngs/GSE114012/TF/DEG/DLD1/trrust","1"
"trrust","DEG","DLD1_HCT15","193","DLD1_HCT15","results/ngs/GSE114012/TF/DEG/DLD1_HCT15/trrust","1"
"trrust","DEG","DLD1_HCT15_SW48","102","DLD1_HCT15_SW48","results/ngs/GSE114012/TF/DEG/DLD1_HCT15_SW48/trrust","1"
"trrust","DEG","HCT15","522","HCT15","results/ngs/GSE114012/TF/DEG/HCT15/trrust","1"
"trrust","DEG","HT55","367","HT55","results/ngs/GSE114012/TF/DEG/HT55/trrust","1"
"trrust","DEG","RKO","1877","RKO","results/ngs/GSE114012/TF/DEG/RKO/trrust","1"
"trrust","DEG","SW48","449","SW48","results/ngs/GSE114012/TF/DEG/SW48/trrust","1"
"trrust","DEG","SW948","362","SW948","results/ngs/GSE114012/TF/DEG/SW948/trrust","1"
"trrust","INTERSECT","DLD1_HCT15","102","DLD1;HCT15","results/ngs/GSE114012/TF/intersect/DLD1_HCT15/trrust","1"
"trrust","INTERSECT","DLD1_HCT15_SW48","19","DLD1;HCT15;SW48","results/ngs/GSE114012/TF/intersect/DLD1_HCT15_SW48/trrust","1"
"trrust","INTERSECT","HT55_SW948","49","HT55;SW948","results/ngs/GSE114012/TF/intersect/HT55_SW948/trrust","1"
"trrust","INTERSECT","SW948_RKO","83","RKO;SW948","results/ngs/GSE114012/TF/intersect/SW948_RKO/trrust","1"
"viper","DEG","ALL","65","ALL","results/ngs/GSE114012/TF/DEG/ALL/viper","1"
"viper","DEG","DLD1","752","DLD1","results/ngs/GSE114012/TF/DEG/DLD1/viper","1"
"viper","DEG","DLD1_HCT15","193","DLD1_HCT15","results/ngs/GSE114012/TF/DEG/DLD1_HCT15/viper","1"
"viper","DEG","DLD1_HCT15_SW48","102","DLD1_HCT15_SW48","results/ngs/GSE114012/TF/DEG/DLD1_HCT15_SW48/viper","1"
"viper","DEG","HCT15","522","HCT15","results/ngs/GSE114012/TF/DEG/HCT15/viper","1"
"viper","DEG","HT55","367","HT55","results/ngs/GSE114012/TF/DEG/HT55/viper","1"
"viper","DEG","RKO","1877","RKO","results/ngs/GSE114012/TF/DEG/RKO/viper","1"
"viper","DEG","SW48","449","SW48","results/ngs/GSE114012/TF/DEG/SW48/viper","1"
"viper","DEG","SW948","362","SW948","results/ngs/GSE114012/TF/DEG/SW948/viper","1"
"viper","INTERSECT","DLD1_HCT15","102","DLD1;HCT15","results/ngs/GSE114012/TF/intersect/DLD1_HCT15/viper","1"
"viper","INTERSECT","DLD1_HCT15_SW48","19","DLD1;HCT15;SW48","results/ngs/GSE114012/TF/intersect/DLD1_HCT15_SW48/viper","1"
"viper","INTERSECT","HT55_SW948","49","HT55;SW948","results/ngs/GSE114012/TF/intersect/HT55_SW948/viper","1"
"viper","INTERSECT","SW948_RKO","83","RKO;SW948","results/ngs/GSE114012/TF/intersect/SW948_RKO/viper","1"
