"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.50","16","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","rank=16; score=2.6195; p=0.0024015","rank=26; score=0.006734","rank=29; score=54.417; p=8.739e-05; adjP=0.0015688","rank=63; score=1.2915; p=0.051109"
"2","VDR","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.25","9","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=9; score=3.0524; p=0.00088626","rank=48; score=0.01229","rank=70; score=50.636; p=0.00098585; adjP=0.011583","rank=10; score=3.0062; p=0.00098587"
"3","PPARG","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.50","28","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=51; score=1.4078; p=0.039102","rank=41; score=0.0101","rank=28; score=23.666; p=1.1819e-05; adjP=0.00041421","rank=34; score=2.1399; p=0.0072466"
"4","CEBPB","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.00","4","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=95; score=0.74509; p=0.17985","rank=33; score=0.008475","rank=4; score=43.178; p=7.2563e-05; adjP=0.0033209","rank=52; score=1.6141; p=0.024315"
"5","NR1H3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.50","18","5","Literature--ChIP-seq(rank=18); Enrichr--Queries(rank=39); ARCHS4--Coexpression(rank=132); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=172)","110","rank=33; score=1.7072; p=0.019627","rank=110; score=0.02778","rank=25; score=140.08; p=0.00021969; adjP=0.0098185","rank=18; score=2.4898; p=0.0032373"
"6","ATF3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.00","4","6","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=106)","4","rank=28; score=1.8784; p=0.013231","rank=4; score=0.001229","rank=99; score=25.963; p=0.0001689; adjP=0.0024862","rank=57; score=1.4684; p=0.034009"
"7","STAT2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.25","17","5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","rank=49; score=1.4631; p=0.034425","rank=86; score=0.02137","rank=17; score=48.999; p=0.0015804; adjP=0.071591","rank=45; score=1.7811; p=0.016554"
"8","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.50","9","6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=52); Literature--ChIP-seq(rank=131); Enrichr--Queries(rank=215); GTEx--Coexpression(rank=1003)","126","rank=11; score=3.0015; p=0.00099658","rank=126; score=0.03194","rank=52; score=34.676; p=0.00089235; adjP=0.016767","rank=9; score=3.0495; p=0.00089238"
"9","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.00","15","6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=31); Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=187)","52","rank=15; score=2.7511; p=0.0017736","rank=52; score=0.01307","rank=94; score=13.903; p=0.0065432; adjP=0.037332","rank=47; score=1.6934; p=0.020258"
"10","BCL6","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.00","20","5","Enrichr--Queries(rank=36); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=125); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=172)","101","rank=56; score=1.283; p=0.052119","rank=101; score=0.02564","rank=31; score=126.42; p=0.00027839; adjP=0.011588","rank=20; score=2.4632; p=0.0034422"
