"statistic","source","condition","score","p_value"
"ora","MAFG","HVL_TOR10","0.748525489601403304","0.17843272597739318063858604546112474054098129"
"ora","MAFK","HVL_TOR10","0.321546979730521876","0.47692821970092330596813212650886271148920059"
"ora","MAX","HVL_TOR10","0.228390454282392658","0.59103002720526576219128855882445350289344788"
"ora","MAZ","HVL_TOR10","0.114839062140302428","0.76764590559577006168012758280383422970771790"
"ora","MBD1","HVL_TOR10","0.013443938393540484","0.96951841307720376672563133979565463960170746"
"ora","MBD2","HVL_TOR10","0.139485986536652729","0.72529388091044355579839475467451848089694977"
"ora","MEF2A","HVL_TOR10","1.582390882961902445","0.02615827595573211664103929763314226875081658"
"ora","MEF2B","HVL_TOR10","1.105437772895699888","0.07844445085515520943442169254922191612422466"
"ora","MEF2C","HVL_TOR10","2.742637038383218151","0.00180868510311304846183144690030530910007656"
"ora","MEIS1","HVL_TOR10","2.042437767005599092","0.00906905911956687633967977291149509255774319"
"ora","MEIS2","HVL_TOR10","0.346528633874526759","0.45026829325062445175120728890760801732540131"
"ora","MITF","HVL_TOR10","1.973834236018856547","0.01062100868526708562222804488328620209358633"
"ora","MNT","HVL_TOR10","0.028899666879031619","0.93562180172119024934573872087639756500720978"
"ora","MXI1","HVL_TOR10","0.212231881716602400","0.61343438829257901367952854343457147479057312"
"ora","MYB","HVL_TOR10","0.128408237416215765","0.74403225373658743446725338799296878278255463"
"ora","MYBL2","HVL_TOR10","1.871461979118391072","0.01344429461364771670461859542911042808555067"
"ora","MYC","HVL_TOR10","3.094215512140958690","0.00080497888333906696210068298924511509540025"
"ora","MYCN","HVL_TOR10","2.132124153606699490","0.00737693312464548101720085426791229110676795"
"ora","MYOD1","HVL_TOR10","0.580321484303957691","0.26283216697218203528052526962710544466972351"
"ora","NANOG","HVL_TOR10","0.343848939975906043","0.45305513801651398075875931681366637349128723"
"ora","NCOA1","HVL_TOR10","0.000000000000000000","1.00000000000000000000000000000000000000000000"
"ora","NCOA2","HVL_TOR10","0.111147506380370756","0.77419879962216908708683149598073214292526245"
"ora","NCOA3","HVL_TOR10","0.339694608215002247","0.45740972275651636813620370958233252167701721"
"ora","NEUROD1","HVL_TOR10","0.210444063568906464","0.61596485929007660509171273588435724377632141"
"ora","NFATC1","HVL_TOR10","0.581830114847824542","0.26192073763473106007282353857590351253747940"
"ora","NFATC2","HVL_TOR10","0.000000000000000000","1.00000000000000000000000000000000000000000000"
"ora","NFE2","HVL_TOR10","0.129258997330848641","0.74257616058331488151367238970124162733554840"
"ora","NFE2L1","HVL_TOR10","0.018885023081832909","0.95744751636153369034332172304857522249221802"
"ora","NFE2L2","HVL_TOR10","1.163622174253021058","0.06860848441957634324950277004973031580448151"
"ora","NFIC","HVL_TOR10","0.207720808026927967","0.61983941902177563942899496396421454846858978"
"ora","NFKB1","HVL_TOR10","1.181915312573195820","0.06577860931425280610618244736542692407965660"
"ora","NFKB2","HVL_TOR10","0.285876734972669966","0.51775376422422658695410291329608298838138580"
"ora","NFYA","HVL_TOR10","0.343224329589253085","0.45370719911787832367977557623817119747400284"
"ora","NFYB","HVL_TOR10","2.508565898316526432","0.00310051689131418976505538687149510224116966"
"ora","NR1H2","HVL_TOR10","0.514382750496308772","0.30592660663798421083470202574972063302993774"
"ora","NR1H3","HVL_TOR10","1.040260718650875438","0.09114634990431201566618568676858558319509029"
"ora","NR2C2","HVL_TOR10","0.351850470338881838","0.44478438249239343749152908458199817687273026"
"ora","NR2F1","HVL_TOR10","1.394965055055087833","0.04027494397355234345692309716469026170670986"
"ora","NR2F2","HVL_TOR10","0.111147506380370756","0.77419879962216908708683149598073214292526245"
"ora","NR2F6","HVL_TOR10","0.139485986536652729","0.72529388091044355579839475467451848089694977"
"ora","NR3C1","HVL_TOR10","0.095865523061547664","0.80192633710232374966153656714595854282379150"
"ora","NR4A1","HVL_TOR10","0.355074582375732917","0.44149462197056021928176505753071978688240051"
"ora","NR5A1","HVL_TOR10","0.040064474906664996","0.91187545322603025255148168071173131465911865"
"ora","NR5A2","HVL_TOR10","0.465644155663341830","0.34225976225349341586223772537778131663799286"
"ora","NRF1","HVL_TOR10","0.188028461494593013","0.64859192667495002559974182076985016465187073"
"ora","ONECUT1","HVL_TOR10","0.228390454282392658","0.59103002720526576219128855882445350289344788"
"ora","OTX2","HVL_TOR10","0.861673866976116143","0.13750741980383091034312315059651155024766922"
"ora","PAX5","HVL_TOR10","0.228390454282392658","0.59103002720526576219128855882445350289344788"
"ora","PAX6","HVL_TOR10","0.056427792087410708","0.87815708162629146915634237302583642303943634"
"ora","PAX8","HVL_TOR10","0.296057957363719593","0.50575716331485287557967467364505864679813385"
"ora","PBX2","HVL_TOR10","0.265671273183717804","0.54241129781411034915805657874443568289279938"
"ora","PBX3","HVL_TOR10","0.615197570214565226","0.24255064272650378454088127000431995838880539"
"ora","PDX1","HVL_TOR10","0.615197570214565226","0.24255064272650378454088127000431995838880539"
"ora","PGR","HVL_TOR10","0.080115155110892899","0.83154325448107080376303201774135231971740723"
"ora","PKNOX1","HVL_TOR10","0.341350501263583961","0.45566901573952139914425174538337159901857376"
"ora","POU2F1","HVL_TOR10","0.229854153534867683","0.58904143633427841209027064905967563390731812"
"ora","POU2F2","HVL_TOR10","0.000000000000000000","1.00000000000000000000000000000000000000000000"
"ora","POU4F2","HVL_TOR10","0.633288175201607628","0.23265469699566299066617602875339798629283905"
"ora","POU5F1","HVL_TOR10","0.284920794017378298","0.51889466553823859751304325982346199452877045"
"ora","PPARA","HVL_TOR10","0.716575946886042536","0.19205430790118657724541151310404529795050621"
"ora","PPARG","HVL_TOR10","2.280222820007917317","0.00524538270530982338873959847092010022606701"
"ora","PRDM1","HVL_TOR10","0.544026417670980922","0.28574167244710696467180355284654069691896439"
"ora","PRDM14","HVL_TOR10","2.040325993778500102","0.00911326514974093553067557849090007948689163"
