"Group_Variable","Group","N","Mean_Log2_TPM_Plus_1","Median_Log2_TPM_Plus_1","SD_Log2_TPM_Plus_1","Mean_TPM","Median_TPM"
"culture_model","3D_organoid","6","4.643828724884644","4.614656185201772","0.69532060901936799","26.817620093574668","23.510380503524150"
"culture_model","2D_culture","9","1.790979723724700","1.502818819181583","0.49075905766309491","2.652909876600936","1.833958868018265"
"treatment_class","None","6","3.774560480650293","3.567679527793873","1.52389076289393111","20.313384107022078","14.410649687701859"
"treatment_class","J2_hepatocyte_coculture","6","2.822438159629227","2.705160534369210","1.49722511742699815","9.596247206940296","7.973501232122326"
"treatment_class","J2_coculture","3","1.466599340384346","1.502818819181583","0.15858864459112751","1.774707189027397","1.833958868018265"
"liver_niche_model","3D_organoid_none","3","5.113352509468174","4.820175781179205","0.65287655229988761","36.214285820276075","27.249937706989428"
"liver_niche_model","3D_organoid_J2_hepatocyte","3","4.174304940301115","4.031992895483230","0.34795305416931210","17.420954366873264","15.358775931164720"
"liver_niche_model","2D_none","3","2.435768451832413","2.446801376388763","0.04761891705763614","4.412482393768084","4.452059762969539"
"liver_niche_model","2D_J2","3","1.466599340384346","1.502818819181583","0.15858864459112751","1.774707189027397","1.833958868018265"
"liver_niche_model","2D_J2_hepatocyte","3","1.470571378957340","1.475370067439457","0.02247052908696073","1.771540047007329","1.780549590333604"
"hepatocyte_coculture","No_hepatocyte_coculture","9","3.005240100561644","2.446801376388763","1.67013791543202816","14.133825134357185","4.452059762969539"
"hepatocyte_coculture","Hepatocyte_coculture","6","2.822438159629227","2.705160534369210","1.49722511742699815","9.596247206940296","7.973501232122326"
"J2_coculture","No_J2","6","3.774560480650293","3.567679527793873","1.52389076289393111","20.313384107022078","14.410649687701859"
"J2_coculture","J2_coculture","9","2.370491886547600","1.502818819181583","1.36635069552076605","6.989067200969330","1.833958868018265"
