"Dataset","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Sample_ID","Title","culture_model","treatment_class","liver_niche_model","hepatocyte_coculture","J2_coculture","counts","fpkm","tpm","log2_tpm_plus_1"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635700","3D organoid, SW480 cells, rep1","3D_organoid","None","3D_organoid_none","No_hepatocyte_coculture","No_J2","10656","1.67684549639382285","24.254290170815985","4.658456587005502"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635701","3D organoid, SW480 cells, rep2","3D_organoid","None","3D_organoid_none","No_hepatocyte_coculture","No_J2","11342","1.86269396834662526","27.249937706989428","4.820175781179205"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635702","3D organoid, SW480 cells, rep3","3D_organoid","None","3D_organoid_none","No_hepatocyte_coculture","No_J2","24420","3.87040267312107344","57.138629583022812","5.861425160219815"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635703","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep1","3D_organoid","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","Hepatocyte_coculture","J2_coculture","11040","1.60100033196268710","22.766470836232315","4.570855783398043"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635704","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep2","3D_organoid","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","Hepatocyte_coculture","J2_coculture","7299","1.07206495982313332","15.358775931164720","4.031992895483230"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635705","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep3","3D_organoid","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","Hepatocyte_coculture","J2_coculture","6389","1.00308584670689238","14.137616333222756","3.920066142022072"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635706","2D culture, SW480 cells, rep1","2D_culture","None","2D_none","No_hepatocyte_coculture","No_J2","801","0.30347958311354967","4.567009204587733","2.476902468582244"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635707","2D culture, SW480 cells, rep2","2D_culture","None","2D_none","No_hepatocyte_coculture","No_J2","786","0.29758717230764509","4.452059762969539","2.446801376388763"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635708","2D culture, SW480 cells, rep3","2D_culture","None","2D_none","No_hepatocyte_coculture","No_J2","724","0.28214383832378076","4.218378213746979","2.383601510526232"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635709","2D culture, SW480 cells cultured with J2 cells, rep1","2D_culture","J2_coculture","2D_J2","No_hepatocyte_coculture","J2_coculture","334","0.13722957300877286","2.039734430531032","1.603945286664938"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635710","2D culture, SW480 cells cultured with J2 cells, rep2","2D_culture","J2_coculture","2D_J2","No_hepatocyte_coculture","J2_coculture","210","0.09901120976611082","1.450428268532892","1.293033915306518"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635711","2D culture, SW480 cells cultured with J2 cells, rep3","2D_culture","J2_coculture","2D_J2","No_hepatocyte_coculture","J2_coculture","286","0.12563593255006028","1.833958868018265","1.502818819181583"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635712","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep1","2D_culture","J2_hepatocyte_coculture","2D_J2_hepatocyte","Hepatocyte_coculture","J2_coculture","252","0.12478993220790859","1.780549590333604","1.475370067439457"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635713","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep2","2D_culture","J2_hepatocyte_coculture","2D_J2_hepatocyte","Hepatocyte_coculture","J2_coculture","293","0.13061892686751977","1.809386131021895","1.490254926716349"
"GSE282081","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","GSM8635714","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep3","2D_culture","J2_hepatocyte_coculture","2D_J2_hepatocyte","Hepatocyte_coculture","J2_coculture","260","0.11957409261232448","1.724684419666489","1.446089142716213"
