Pathway,"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP","GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN","GSE41978 KLRG1 HIGH VS LOW EFFECTOR CD8 TCELL
DN","GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN","GSE3720 UNSTIM VS LPS STIM VD2 GAMMADELTA
TCELL UP",GSE14000 TRANSLATED RNA VS MRNA DC DN,GSE45837 WT VS GFI1 KO PDC DN,"GSE9006 HEALTHY VS TYPE 2 DIABETES PBMC AT DX
UP","GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP","GSE369 PRE VS POST IL6 INJECTION SOCS3 KO
LIVER DN","GSE42021 CD24LO TREG VS CD24LO TCONV THYMUS
DN","GSE3920 IFNA VS IFNG TREATED ENDOTHELIAL CELL
UP","GSE25146 UNSTIM VS HELIOBACTER PYLORI LPS
STIM AGS CELL DN","GSE17974 0.5H VS 72H UNTREATED IN VITRO CD4
TCELL UP","GSE17974 1H VS 72H UNTREATED IN VITRO CD4
TCELL UP","GSE17974 0.5H VS 72H IL4 AND ANTI IL12 ACT
CD4 TCELL UP","GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG UP","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG UP","GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL OLD UP",GSE17974 0H VS 12H IN VITRO ACT CD4 TCELL UP,"GSE13738 RESTING VS TCR ACTIVATED CD4 TCELL
UP",GSE6674 CPG VS CPG AND ANTI IGM STIM BCELL DN,"GSE6674 UNSTIM VS ANTI IGM AND CPG STIM BCELL
DN","GSE23321 EFFECTOR MEMORY VS NAIVE CD8 TCELL
DN","GSE37301 LYMPHOID PRIMED MPP VS GRAN MONO
PROGENITOR UP","GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES UP",GSE14769 UNSTIM VS 40MIN LPS BMDM DN,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE27434 WT VS DNMT1 KO TREG DN,GSE45365 NK CELL VS BCELL UP,GSE2706 R848 VS R848 AND LPS 8H STIM DC DN,"GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP",GSE29617 CTRL VS TIV FLU VACCINE PBMC 2008 UP,"GSE29615 CTRL VS DAY3 LAIV IFLU VACCINE PBMC
UP","GSE39820 CTRL VS TGFBETA1 IL6 IL23A CD4 TCELL
UP","GSE39820 CTRL VS TGFBETA3 IL6 IL23A CD4 TCELL
UP","GSE44649 NAIVE VS ACTIVATED CD8 TCELL MIR155
KO DN","GSE5503 LIVER DC VS PLN DC ACTIVATED
ALLOGENIC TCELL DN","GSE29164 CD8 TCELL VS CD8 TCELL AND IL12
TREATED MELANOMA DAY7 UP","GSE9960 HEALTHY VS GRAM NEG AND POS SEPSIS
PBMC DN"
"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP",1.0,0.55,0.25,0.3,0.12,0.155,0.07,0.05,0.055,0.015,0.05,0.01,0.005,0.01,0.01,0.01,0.03,0.02,0.02,0.0,0.015,0.01,0.01,0.015,0.005,0.0,0.005,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.005,0.025,0.005,0.005
"GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN",0.55,1.0,0.305,0.35,0.135,0.165,0.055,0.06,0.045,0.01,0.045,0.01,0.01,0.005,0.005,0.005,0.035,0.02,0.02,0.005,0.0,0.005,0.015,0.01,0.01,0.015,0.01,0.005,0.02,0.025,0.005,0.01,0.0,0.01,0.005,0.02,0.0,0.02,0.005,0.01
"GSE41978 KLRG1 HIGH VS LOW EFFECTOR CD8 TCELL
DN",0.25,0.305,1.0,0.315,0.09,0.09,0.04,0.04,0.01,0.005,0.03,0.01,0.01,0.015,0.015,0.005,0.01,0.005,0.005,0.005,0.005,0.01,0.0,0.005,0.005,0.0,0.015,0.02,0.02,0.025,0.005,0.01,0.01,0.015,0.04,0.025,0.01,0.015,0.01,0.015
"GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN",0.3,0.35,0.315,1.0,0.085,0.125,0.035,0.025,0.02,0.0,0.055,0.03,0.005,0.01,0.005,0.01,0.02,0.01,0.02,0.01,0.005,0.015,0.01,0.01,0.02,0.005,0.02,0.025,0.025,0.015,0.01,0.015,0.01,0.015,0.015,0.015,0.005,0.03,0.0,0.015
"GSE3720 UNSTIM VS LPS STIM VD2 GAMMADELTA
TCELL UP",0.1437125748502994,0.16167664670658682,0.10778443113772455,0.10179640718562874,1.0,0.10179640718562874,0.04790419161676647,0.017964071856287425,0.029940119760479042,0.011976047904191617,0.023952095808383235,0.011976047904191617,0.03592814371257485,0.023952095808383235,0.017964071856287425,0.023952095808383235,0.017964071856287425,0.017964071856287425,0.005988023952095809,0.023952095808383235,0.011976047904191617,0.017964071856287425,0.005988023952095809,0.029940119760479042,0.023952095808383235,0.011976047904191617,0.023952095808383235,0.005988023952095809,0.005988023952095809,0.023952095808383235,0.011976047904191617,0.017964071856287425,0.011976047904191617,0.011976047904191617,0.023952095808383235,0.005988023952095809,0.017964071856287425,0.023952095808383235,0.011976047904191617,0.011976047904191617
GSE14000 TRANSLATED RNA VS MRNA DC DN,0.15897435897435896,0.16923076923076924,0.09230769230769231,0.1282051282051282,0.08717948717948718,1.0,0.041025641025641026,0.035897435897435895,0.041025641025641026,0.010256410256410256,0.05641025641025641,0.0,0.0,0.005128205128205128,0.0,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.010256410256410256,0.0
GSE45837 WT VS GFI1 KO PDC DN,0.07,0.055,0.04,0.035,0.04,0.04,1.0,0.105,0.08,0.04,0.055,0.01,0.01,0.0,0.005,0.0,0.02,0.01,0.015,0.01,0.005,0.01,0.025,0.015,0.005,0.01,0.005,0.005,0.02,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.01,0.005,0.01,0.0
"GSE9006 HEALTHY VS TYPE 2 DIABETES PBMC AT DX
UP",0.05,0.06,0.04,0.025,0.015,0.035,0.105,1.0,0.495,0.04,0.04,0.005,0.005,0.015,0.005,0.015,0.02,0.005,0.005,0.005,0.005,0.005,0.01,0.0,0.015,0.005,0.02,0.015,0.015,0.015,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.01,0.01,0.0
"GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP",0.055,0.045,0.01,0.02,0.025,0.04,0.08,0.495,1.0,0.05,0.045,0.01,0.005,0.01,0.005,0.005,0.025,0.02,0.015,0.015,0.01,0.005,0.02,0.01,0.005,0.0,0.01,0.01,0.01,0.015,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.005,0.01,0.005
"GSE369 PRE VS POST IL6 INJECTION SOCS3 KO
LIVER DN",0.015,0.01,0.005,0.0,0.01,0.01,0.04,0.04,0.05,1.0,0.05,0.0,0.005,0.015,0.0,0.03,0.005,0.005,0.01,0.005,0.0,0.005,0.0,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.0,0.005,0.005,0.005,0.01,0.01,0.0,0.0,0.015,0.0
