"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=961); ARCHS4--Coexpression(rank=1035); GTEx--Coexpression(rank=1493)","1060","rank=1; score=7.0116; direction=Repressed","rank=1; score=7.3994; p=2.1756e-28; direction=Repressed"
"2","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","2","4","Literature--ChIP-seq(rank=101); Enrichr--Queries(rank=279); GTEx--Coexpression(rank=845); ARCHS4--Coexpression(rank=903)","684","rank=8; score=3.9218; direction=Activated","rank=2; score=3.349; p=1.8592e-09; direction=Activated"
"3","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","3","4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=465); ARCHS4--Coexpression(rank=800)","94","rank=7; score=4.2637; direction=Activated","rank=3; score=3.6216; p=1.2003e-07; direction=Activated"
"4","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.5","6","6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=55); GTEx--Coexpression(rank=109); Enrichr--Queries(rank=177); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=445)","254","rank=6; score=4.3072; direction=Repressed","rank=9; score=2.3249; p=1.9931e-05; direction=Repressed"
"5","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","4","6","Literature--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=101); GTEx--Coexpression(rank=136); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=931)","318","rank=4; score=4.6351; direction=Repressed","rank=13; score=3.5176; p=0.00011301; direction=Activated"
"6","SREBF2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","12.0","11","6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=762); Enrichr--Queries(rank=828); ARCHS4--Coexpression(rank=1510)","1294","rank=13; score=3.2355; direction=Repressed","rank=11; score=3.3531; p=3.5236e-05; direction=Repressed"
"7","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.0","12","6","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=105); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=131); ARCHS4--Coexpression(rank=218); Enrichr--Queries(rank=759)","305","rank=14; score=3.2161; direction=Activated","rank=12; score=2.9871; p=7.2003e-05; direction=Activated"
"8","TFDP1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","15.5","14","4","GTEx--Coexpression(rank=64); ReMap--ChIP-seq(rank=168); ARCHS4--Coexpression(rank=350); Enrichr--Queries(rank=1312)","156","rank=17; score=3.1329; direction=Repressed","rank=14; score=3.067; p=0.00012987; direction=Repressed"
"9","E2F2","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","19.5","10","3","Enrichr--Queries(rank=379); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=466)","827","rank=10; score=3.3596; direction=Repressed","rank=29; score=3.1106; p=0.00086418; direction=Repressed"
"10","FOSL1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.0","30","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=62); GTEx--Coexpression(rank=223)","56","rank=32; score=2.5787; direction=Activated","rank=30; score=1.7649; p=0.00092159; direction=Activated"
