"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=2; score=0.0006223","rank=1; score=1494.3; p=1.7417e-45; adjP=1.315e-42"
"2","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","2","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=6; score=0.001867","rank=2; score=79.084; p=1.2458e-09; adjP=5.8303e-07"
"3","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","4","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=18; score=0.006734","rank=4; score=206.66; p=9.1345e-29; adjP=4.7499e-27"
"4","TFDP1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","10","4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","rank=10; score=0.003111","rank=38; score=157.53; p=5.8738e-05; adjP=0.0022908"
"5","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","27.5","14","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=483); ARCHS4--Coexpression(rank=542); GTEx--Coexpression(rank=625)","41","rank=41; score=0.0122","rank=14; score=204.72; p=1.1241e-36; adjP=2.1218e-34"
"6","TCF12","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","36.5","23","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=24); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=731)","50","rank=50; score=0.01474","rank=23; score=11.89; p=0.00032472; adjP=0.037853"
"7","WT1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.5","16","4","Literature--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=175); Enrichr--Queries(rank=524); GTEx--Coexpression(rank=934)","65","rank=65; score=0.01829","rank=16; score=109.55; p=2.9023e-25; adjP=4.3824e-23"
"8","TCF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","30","6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=21); GTEx--Coexpression(rank=25); ReMap--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=305); Enrichr--Queries(rank=525)","52","rank=52; score=0.01556","rank=30; score=37.454; p=2.1684e-10; adjP=3.4832e-09"
"9","NFKB1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.5","6","4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=45); GTEx--Coexpression(rank=387); Enrichr--Queries(rank=614)","105","rank=105; score=0.02764","rank=6; score=87.097; p=3.9345e-22; adjP=3.7132e-20"
"10","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.5","46","6","ENCODE--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=22); ReMap--ChIP-seq(rank=23); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=1154); GTEx--Coexpression(rank=1347)","46","rank=46; score=0.01351","rank=81; score=29.727; p=1.2108e-09; adjP=1.5494e-08"
