"Analysis_Name","Scope_Group_Column","Scope_Group_Value","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"2D_none","liver_niche_model","2D_none","hallmark","computed","16798","6","5","1","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/hallmark/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","hallmark","computed","16864","4","3","1","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/hallmark/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","hallmark","computed","16799","13","1","12","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/hallmark/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","hallmark","computed","17406","14","8","6","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/hallmark/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","hallmark","computed","17333","14","8","6","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/hallmark/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","CP_BIOCARTA","computed","16798","16","10","6","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/CP_BIOCARTA/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","CP_BIOCARTA","computed","16864","17","13","4","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_BIOCARTA/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","CP_BIOCARTA","computed","16799","45","4","41","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_BIOCARTA/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","CP_BIOCARTA","computed","17406","33","28","5","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/CP_BIOCARTA/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","CP_BIOCARTA","computed","17333","26","22","4","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/CP_BIOCARTA/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","CP_KEGG_MEDICUS","computed","16798","23","12","11","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","CP_KEGG_MEDICUS","computed","16864","52","37","15","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","CP_KEGG_MEDICUS","computed","16799","104","30","74","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","CP_KEGG_MEDICUS","computed","17406","63","20","43","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","CP_KEGG_MEDICUS","computed","17333","55","38","17","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","CP_KEGG_LEGACY","computed","16798","16","11","5","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","CP_KEGG_LEGACY","computed","16864","20","10","10","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","CP_KEGG_LEGACY","computed","16799","51","16","35","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","CP_KEGG_LEGACY","computed","17406","31","11","20","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","computed","17333","33","23","10","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","CP_REACTOME","computed","16798","164","114","50","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/CP_REACTOME/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","CP_REACTOME","computed","16864","274","229","45","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_REACTOME/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","CP_REACTOME","computed","16799","351","125","225","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_REACTOME/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","CP_REACTOME","computed","17406","230","66","164","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/CP_REACTOME/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","CP_REACTOME","computed","17333","179","108","71","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/CP_REACTOME/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","CP_WIKIPATHWAYS","computed","16798","39","20","19","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","CP_WIKIPATHWAYS","computed","16864","67","41","26","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","CP_WIKIPATHWAYS","computed","16799","189","23","166","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","CP_WIKIPATHWAYS","computed","17406","137","88","49","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","CP_WIKIPATHWAYS","computed","17333","100","79","21","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","TFT_TFT_LEGACY","computed","16798","25","17","8","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","TFT_TFT_LEGACY","computed","16864","65","55","10","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
