"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","NR1I2","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","47.66666666666666","11","4","Literature--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=404); Enrichr--Queries(rank=431); GTEx--Coexpression(rank=462)","809","rank=108; score=20.76; p=0.022329; adjP=0.17009","rank=24; score=1.6511; p=0.022329","rank=11; score=3.3144; p=0.00091826; direction=Repressed"
"2","SRF","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.00000000000000","21","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=396); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=1566)","804","rank=97; score=22.306; p=0.020094; adjP=0.16315","rank=21; score=1.6969; p=0.020094","rank=44; score=2.6916; p=0.0071104; direction=Repressed"
"3","HIF1A","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.66666666666667","1","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","rank=5; score=81.182; p=3.7014e-06; adjP=0.00095866","rank=1; score=5.4316; p=3.7017e-06","rank=170; score=1.7366; p=0.082452; direction=Repressed"
"4","CEBPA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.00000000000000","27","5","Literature--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=224); ARCHS4--Coexpression(rank=565); Enrichr--Queries(rank=652)","506","rank=33; score=12.344; p=0.031383; adjP=0.10154","rank=27; score=1.5033; p=0.031384","rank=150; score=1.887; p=0.059164; direction=Repressed"
"5","AR","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.33333333333333","28","5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=221); ARCHS4--Coexpression(rank=530); GTEx--Coexpression(rank=844)","414","rank=28; score=15.713; p=0.00012858; adjP=0.0016258","rank=80; score=0.75798; p=0.17459","rank=103; score=2.0864; p=0.03694; direction=Repressed"
"6","FOS","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","73.00000000000000","35","5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=209); ARCHS4--Coexpression(rank=406)","81","rank=51; score=18.98; p=0.0099375; adjP=0.15289","rank=133; score=0.41155; p=0.38766","rank=35; score=2.7601; p=0.0057783; direction=Repressed"
"7","SIRT1","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","73.66666666666667","26","0","",NA,"rank=114; score=13.934; p=0.025798; adjP=0.17423","rank=26; score=1.5884; p=0.025798","rank=81; score=2.2689; p=0.023276; direction=Repressed"
"8","EZH2","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","75.66666666666667","3","0","",NA,"rank=3; score=41.845; p=3.408e-08; adjP=2.3113e-06","rank=41; score=1.1747; p=0.066885","rank=183; score=1.643; p=0.10037; direction=Repressed"
"9","SP3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","81.00000000000000","19","3","GTEx--Coexpression(rank=1011); Enrichr--Queries(rank=1190); ARCHS4--Coexpression(rank=1511)","1437","rank=63; score=14.139; p=0.013321; adjP=0.15289","rank=19; score=1.7651; p=0.017173","rank=161; score=1.8173; p=0.069169; direction=Repressed"
"10","PAX5","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","82.00000000000000","10","5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=659); Enrichr--Queries(rank=722)","1104","rank=102; score=3.2026; p=0.31601; adjP=0.47076","rank=134; score=0.40605; p=0.3926","rank=10; score=3.3506; p=0.00080623; direction=Repressed"
