"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.00000000000000","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=5; score=0.001245","rank=14; score=41.684; p=1.7416e-05; adjP=0.003222","rank=11; score=2.7391; p=0.00616; direction=Repressed"
"2","E2F4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.33333333333333","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=35; score=0.008475","rank=1; score=36.668; p=0.00012026; adjP=0.012267","rank=1; score=6.8052; p=1.0093e-11; direction=Repressed"
"3","E2F2","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","35.33333333333334","3","3","Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=624)","58","rank=58; score=0.01353","rank=45; score=3.3977; p=0.22856; adjP=0.99891","rank=3; score=3.7483; p=0.00017806; direction=Repressed"
"4","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.00000000000000","14","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=1469)","14","rank=14; score=0.003111","rank=62; score=7.5186; p=0.0053898; adjP=0.10919","rank=32; score=2.5307; p=0.011383; direction=Repressed"
"5","IRF9","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.33333333333334","12","4","Enrichr--Queries(rank=35); GTEx--Coexpression(rank=97); ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=237)","108","rank=108; score=0.02493","rank=49; score=40.795; p=0.022523; adjP=0.44763","rank=12; score=2.7167; p=0.0065937; direction=Activated"
"6","NR2F2","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","56.66666666666666","18","5","ARCHS4--Coexpression(rank=7); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=99); GTEx--Coexpression(rank=706)","18","rank=18; score=0.0043","rank=35; score=4.6801; p=0.079613; adjP=0.99999","rank=117; score=1.6624; p=0.096427; direction=Repressed"
"7","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.33333333333333","24","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=77); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=106)","70","rank=70; score=0.01618","rank=24; score=6.7555; p=0.016316; adjP=0.20701","rank=120; score=1.6317; p=0.10275; direction=Activated"
"8","KLF5","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.33333333333333","23","5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","rank=27; score=0.006734","rank=23; score=49.239; p=0.0062224; adjP=0.25304","rank=179; score=1.3597; p=0.17392; direction=Activated"
"9","MYBL1","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","97.33333333333334","4","4","Enrichr--Queries(rank=18); Literature--ChIP-seq(rank=149); GTEx--Coexpression(rank=422); ARCHS4--Coexpression(rank=658)","53","rank=53; score=0.01282","rank=4; score=127.94; p=0.0013635; adjP=0.17726","rank=235; score=1.0497; p=0.29385; direction=Repressed"
"10","STAT2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","107.33333333333333","79","5","ENCODE--ChIP-seq(rank=28); ARCHS4--Coexpression(rank=29); Enrichr--Queries(rank=198); ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=453)","79","rank=79; score=0.01781","rank=96; score=2.2207; p=0.19716; adjP=0.99891","rank=147; score=1.5137; p=0.13009; direction=Activated"
