"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","PPARD","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","21.0","14","4","Literature--ChIP-seq(rank=1); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=514); ARCHS4--Coexpression(rank=1253)","28","rank=28; score=0.006098","rank=14; score=60.044; p=0.013006; adjP=0.60136"
"2","ZNF384","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","31.0","23","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=75); Enrichr--Queries(rank=145); GTEx--Coexpression(rank=1216); ARCHS4--Coexpression(rank=1305)","39","rank=39; score=0.008475","rank=23; score=10.261; p=0.070143; adjP=0.82655"
"3","MAFK","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","45.5","8","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=837); ARCHS4--Coexpression(rank=1141); GTEx--Coexpression(rank=1265)","83","rank=83; score=0.01695","rank=8; score=10.261; p=0.070143; adjP=0.82655"
"4","ELF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","15","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=410); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=727)","15","rank=15; score=0.003367","rank=81; score=14.477; p=0.045352; adjP=0.61414"
"5","RARA","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.5","40","5","Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=78); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=428); GTEx--Coexpression(rank=477)","59","rank=59; score=0.0122","rank=40; score=19.39; p=0.030306; adjP=0.61414"
"6","HOXB7","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","56.0","38","5","ARCHS4--Coexpression(rank=25); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=292); GTEx--Coexpression(rank=626); Enrichr--Queries(rank=638)","74","rank=74; score=0.01536","rank=38; score=1307.5; p=0.0049898; adjP=0.015783"
"7","CBX2","ChEA3;ENRICHR","2","ChEA3;ENRICHR","59.0","49","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=13); GTEx--Coexpression(rank=223); Enrichr--Queries(rank=462); ARCHS4--Coexpression(rank=842)","49","rank=49; score=0.0101","rank=69; score=4.69; p=0.26389; adjP=0.67066"
"8","MYOD1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","61.0","15","5","ENCODE--ChIP-seq(rank=26); Enrichr--Queries(rank=31); ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=227); GTEx--Coexpression(rank=1194)","107","rank=107; score=0.02208","rank=15; score=33.721; p=0.079985; adjP=0.60136"
"9","FOXA1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.5","33","6","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=961); GTEx--Coexpression(rank=1245)","100","rank=100; score=0.0202","rank=33; score=40.908; p=0.021193; adjP=0.61414"
"10","MXI1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","68.0","47","5","ENCODE--ChIP-seq(rank=15); GTEx--Coexpression(rank=16); Enrichr--Queries(rank=56); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=134)","47","rank=47; score=0.009956","rank=89; score=2.9992; p=0.26389; adjP=0.82655"
