"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"2D_J2_coculture","hallmark","computed","14326","37","1","36","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/hallmark/gsea_result.csv"
"2D_J2_hepatocyte","hallmark","computed","14290","30","26","4","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/hallmark/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","hallmark","computed","14296","22","9","13","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/hallmark/gsea_result.csv"
"3D_hepatic_coculture","hallmark","computed","15109","34","12","22","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/hallmark/gsea_result.csv"
"3D_organoid","hallmark","computed","14455","25","10","15","results/ngs/GSE282081/tables/3D_organoid/GSEA/hallmark/gsea_result.csv"
"Hepatocyte_coculture","hallmark","computed","14455","23","8","15","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/hallmark/gsea_result.csv"
"2D_J2_coculture","CP_BIOCARTA","computed","14326","23","1","22","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/CP_BIOCARTA/gsea_result.csv"
"2D_J2_hepatocyte","CP_BIOCARTA","computed","14290","25","18","7","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/CP_BIOCARTA/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","CP_BIOCARTA","computed","14296","20","7","13","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/CP_BIOCARTA/gsea_result.csv"
"3D_hepatic_coculture","CP_BIOCARTA","computed","15109","84","10","74","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/CP_BIOCARTA/gsea_result.csv"
"3D_organoid","CP_BIOCARTA","computed","14455","37","17","20","results/ngs/GSE282081/tables/3D_organoid/GSEA/CP_BIOCARTA/gsea_result.csv"
"Hepatocyte_coculture","CP_BIOCARTA","computed","14455","58","6","52","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/CP_BIOCARTA/gsea_result.csv"
"2D_J2_coculture","CP_KEGG_MEDICUS","computed","14326","66","7","58","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"2D_J2_hepatocyte","CP_KEGG_MEDICUS","computed","14290","70","48","20","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","CP_KEGG_MEDICUS","computed","14296","90","27","62","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"3D_hepatic_coculture","CP_KEGG_MEDICUS","computed","15109","116","45","69","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
