"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","JUN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.33333333333333","1","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); ARCHS4--Coexpression(rank=8); Enrichr--Queries(rank=15)","13","rank=1; score=5.5733; p=2.6715e-06","rank=13; score=0.003734","rank=23; score=3.5831; direction=Activated"
"2","MAFF","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","21.33333333333333","5","5","Enrichr--Queries(rank=2); ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=77); ARCHS4--Coexpression(rank=1622)","5","rank=37; score=0.89309; p=0.12791","rank=5; score=0.001425","rank=22; score=3.5924; direction=Activated"
"3","NFKB1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.00000000000000","4","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","rank=4; score=3.7129; p=0.00019367","rank=36; score=0.009828","rank=26; score=3.519; direction=Activated"
"4","FOS","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.66666666666666","4","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=41)","4","rank=5; score=3.6768; p=0.00021049","rank=4; score=0.001245","rank=65; score=2.6301; direction=Activated"
"5","MAFK","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","41.00000000000000","20","5","ENCODE--ChIP-seq(rank=10); Enrichr--Queries(rank=23); ReMap--ChIP-seq(rank=98); GTEx--Coexpression(rank=415); ARCHS4--Coexpression(rank=1335)","63","rank=40; score=0.82281; p=0.15038","rank=63; score=0.01638","rank=20; score=3.6695; direction=Activated"
"6","CEBPB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.66666666666666","6","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=6; score=3.464; p=0.00034356","rank=90; score=0.02208","rank=29; score=3.3403; direction=Activated"
"7","ARNTL","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","44.00000000000000","9","4","ARCHS4--Coexpression(rank=42); Enrichr--Queries(rank=80); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=343)","105","rank=18; score=1.4944; p=0.032036","rank=105; score=0.0258","rank=9; score=4.5127; direction=Activated"
"8","KLF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.00000000000000","23","5","Enrichr--Queries(rank=10); GTEx--Coexpression(rank=12); Literature--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=179); ReMap--ChIP-seq(rank=228)","26","rank=23; score=1.4166; p=0.038321","rank=26; score=0.007123","rank=89; score=2.2789; direction=Activated"
"9","REL","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","12","3","GTEx--Coexpression(rank=11); ARCHS4--Coexpression(rank=20); Enrichr--Queries(rank=71)","25","rank=12; score=2.7206; p=0.0019029","rank=25; score=0.006845","rank=102; score=2.1387; direction=Activated"
"10","JUNB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.00000000000000","39","4","Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=54)","57","rank=45; score=0.80714; p=0.15591","rank=57; score=0.01496","rank=39; score=3.0564; direction=Activated"
