Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE43955_1H_VS_42H_ACT_CD4_TCELL_UP,GSE43955_1H_VS_42H_ACT_CD4_TCELL_UP,0.015,57,0.285,0,0,1.0,0.0,keep,itself,,True,"THBS1,IER2,HCCS,IFI27,CD72,SKIL,DDX3Y,CD52,PTPRJ,RHOH,SNX12,NCF1,TMEM131,AK2,GNG12,SLC7A7,B3GALT4,AOAH,PAPSS2,CNGA1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP,0.015,88,0.44,106,54,0.0249,0.0757,exclude,GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_DN,GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_DN,False,"MYBL2,DHFR,KIF3B,CST7,PSMA6,STAMBP,VDAC1,PCLAF,MAST2,PRIM1,SIT1,RRM2,ESPL1,TPX2,PDXK,CDC6,RAD51AP1,CKS1B,KIFC1,SMC2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_DN,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_DN,0.015,69,0.3503,0,0,1.0,0.0,keep,itself,,True,"TNPO3,CDKN2C,CCNI,DAB2,SMAD1,ZBTB40,SEMA6C,TULP3,ATAT1,PFDN5,SOX13,SFSWAP,EPS15L1,CCDC71,RO60,CCSER2,ZNF629,COMMD3,RHOBTB1,RABEPK"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_UP,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_UP,0.015,50,0.3086,0,0,1.0,0.0,keep,itself,,True,"DUSP1,NR4A1,CROT,TSC22D2,ARHGAP18,REPS1,PTK2B,DUSP6,SMC6,TNIK,CD6,PLSCR1,IL2RB,CTLA4,GRAMD1B,PFKFB3,CD38,SMC2,XKRX,FAM53B"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE40274_CTRL_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE40274_CTRL_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,0.0152,31,0.1938,0,0,1.0,0.0,keep,itself,,True,"SYTL3,SKIL,DTX4,PKIB,BCL11B,DMRTA1,KIF3B,CD3G,PRKCQ,PIM1,TAX1BP3,ADGRE1,GCNT2,CCL5,PLSCR1,CXCR6,RNF19B,STEAP2,CORO2A,SUMO1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,0.0152,53,0.265,0,0,1.0,0.0,keep,itself,,True,"RHBDF1,GDI1,PIP5KL1,FBXO16,PLSCR3,C1S,PCOLCE2,TYW5,SLC17A9,NRIP3,HTR3A,CREB3L2,ZRSR2,TTC7B,THBS4,TACR1,MYOCD,SH3GL2,FZD2,HOMER2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE32423_CTRL_VS_IL7_IL4_MEMORY_CD8_TCELL_UP,GSE32423_CTRL_VS_IL7_IL4_MEMORY_CD8_TCELL_UP,0.0153,54,0.27,0,0,1.0,0.0,keep,itself,,True,"TOB1,GPR171,DTX4,ARL4A,KLRK1,STK17B,RNF128,FAM107B,SORL1,DMRTA1,KCMF1,PRELID3B,UGCG,BTG1,GPR160,HERPUD2,CDC14A,CCL5,LANCL3,ASGR2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_DN,GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_DN,0.0154,66,0.3333,0,0,1.0,0.0,keep,itself,,True,"JUN,ACAA2,TSC22D2,CDKN1A,PPARG,EHD4,FCER2,CASP7,GFOD1,CCL4,PLXNA2,PARP12,LCP1,PDXK,DHRS11,ARRDC4,ACSL5,CD226,RAB30,ETS1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN,0.0156,54,0.27,0,0,1.0,0.0,keep,itself,,True,"EPB41L5,EGR3,CXCR4,EGR2,LDLR,F2RL1,DUSP10,BCO1,ADH1C,SLAMF6,TMLHE,ATP1B1,DLG3,CEMIP2,CCDC28A,COTL1,USP6NL,IFNGR2,SPRED2,SCML4"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP,GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP,0.0156,83,0.415,77,31,0.6654,0.0052,keep,GSE39820_CTRL_VS_TGFBETA1_IL6_IL23A_CD4_TCELL_UP,GSE39820_CTRL_VS_TGFBETA1_IL6_IL23A_CD4_TCELL_UP,True,"HECA,PKIB,TRIM24,TNIK,ADCY6,XIAP,ZBTB5,SH2D1A,PSMD11,PPP2R1B,ZDHHC21,COP1,CBFB,HNRNPAB,ST8SIA4,ELMO1,CCNL1,HSPH1,HMMR,DNMT3B"
