"TF","Mean_Selected_Rank","Best_Selected_Rank","Worst_Selected_Rank","DoRothEA_Rank","ChEA3_Rank","CollecTRI_Rank","DoRothEA_P_Value","CollecTRI_P_Value","DoRothEA_Score","ChEA3_Score","CollecTRI_Score","CheA3_Library_Count","Consensus_Rank"
"TFDP1","6.333333333333333","2","9","9","2","8","0.00004711988055095340171629994530","0.0000896222218151263017027474688802612945437","4.32679581915745004","0.00062230000000000","3.91709557969371014","4","1"
"E2F4","6.333333333333334","1","17","1","17","1","0.00000000000000000104160093907813","0.0000000000000000000000000009865750618565259","17.98229863722799848","0.00609800000000000","10.91414101369490020","6","2"
"E2F2","11.000000000000000","4","20","4","9","20","0.00000000945956542163399118521268","0.0011137103651813801043907181664849304070231","8.02412881490070085","0.00245700000000000","3.26010484456006999","3","3"
"E2F1","12.000000000000000","2","21","2","13","21","0.00000000000062715231866168992123","0.0012948727358543399984514010725433763582259","12.20262696774910083","0.00373400000000000","3.21711369616085019","6","4"
"FOXM1","19.333333333333332","5","46","5","7","46","0.00000322407437380846020332598664","0.0139100232416904997373441332797483482863754","5.49159494833032991","0.00186700000000000","2.45957860680359008","6","5"
"E2F3","32.333333333333336","13","61","13","61","23","0.00108036577649764007312549463080","0.0021558104597522000436815581281280174152926","2.96642918171676007","0.01658000000000000","3.06788294403833994","3","6"
"ETV4","64.000000000000000","60","70","60","62","70","0.10736353921151199630745765034590","0.0237730781306345999304152627473740722052753","0.96914318053298898","0.01680000000000000","2.26077686126525013","4","7"
"STAT1","65.333333333333329","9","144","144","43","9","0.53146938630347195786640668302425","0.0001200718127114410013669271171110608520394","0.27452174664846402","0.01182000000000000","3.84597947842787002","6","8"
"SPIB","69.666666666666671","27","143","39","143","27","0.02669112149672879866213470734237","0.0026727834671959401109664344886596154537983","1.57363317781953005","0.03671000000000000","3.00306157582584010","4","9"
"HIF1A","78.666666666666671","8","156","8","156","72","0.00004269448549297699869618447077","0.0266910742615843986358381556556196301244199","4.36962821571573024","0.04040000000000000","2.21600624772910004","5","10"
"JUN","89.000000000000000","32","130","32","130","105","0.01594821869624990159919342147532","0.0530908485856054976337325967961078276857734","1.79728781753414002","0.03390000000000000","1.93418123616079995","6","11"
"EPAS1","93.000000000000000","27","197","27","197","55","0.01141820623384529921617858150285","0.0189244937899110989010242889207802363671362","1.94240211709985999","0.04916000000000000","2.34701498247346985","4","12"
