Pathway,STK33 NOMO UP,STK33 UP,STK33 SKM UP,HOXA9 DN.V1 UP,PDGF UP.V1 UP,RELA DN.V1 UP,CAMP UP.V1 DN,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,RPS14 DN.V1 DN,NFE2L2.V2,EGFR UP.V1 UP,MEK UP.V1 UP,ERBB2 UP.V1 UP,RAF UP.V1 UP,TBK1.DF UP,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,P53 DN.V1 UP,ESC V6.5 UP EARLY.V1 DN,E2F1 UP.V1 DN,CSR LATE UP.V1 DN,ESC J1 UP LATE.V1 UP,ESC V6.5 UP LATE.V1 UP,SNF5 DN.V1 DN,LEF1 UP.V1 DN,KRAS.KIDNEY UP.V1 UP,BMI1 DN.V1 DN,MYC UP.V1 UP,CSR LATE UP.V1 UP,RB P107 DN.V1 UP,E2F3 UP.V1 UP,TGFB UP.V1 UP,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,KRAS.BREAST UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 UP,GCNP SHH UP LATE.V1 UP,GCNP SHH UP EARLY.V1 UP,YAP1 UP
STK33 NOMO UP,1.0,0.6413793103448275,0.3,0.06896551724137931,0.027586206896551724,0.041379310344827586,0.02413793103448276,0.013793103448275862,0.013793103448275862,0.0034482758620689655,0.02413793103448276,0.06896551724137931,0.03103448275862069,0.034482758620689655,0.034482758620689655,0.06551724137931035,0.027586206896551724,0.010344827586206896,0.02413793103448276,0.02413793103448276,0.03793103448275862,0.006896551724137931,0.017241379310344827,0.013793103448275862,0.017241379310344827,0.02413793103448276,0.013793103448275862,0.010344827586206896,0.006896551724137931,0.010344827586206896,0.0034482758620689655,0.010344827586206896,0.034482758620689655,0.03103448275862069,0.03793103448275862,0.03793103448275862,0.05862068965517241,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655
STK33 UP,0.6503496503496503,1.0,0.6153846153846154,0.07692307692307693,0.038461538461538464,0.04895104895104895,0.024475524475524476,0.01048951048951049,0.01048951048951049,0.0034965034965034965,0.03496503496503497,0.07692307692307693,0.027972027972027972,0.024475524475524476,0.03146853146853147,0.06293706293706294,0.03146853146853147,0.006993006993006993,0.027972027972027972,0.027972027972027972,0.027972027972027972,0.02097902097902098,0.013986013986013986,0.01048951048951049,0.017482517482517484,0.017482517482517484,0.01048951048951049,0.013986013986013986,0.0034965034965034965,0.0,0.0034965034965034965,0.006993006993006993,0.04195804195804196,0.027972027972027972,0.038461538461538464,0.027972027972027972,0.04895104895104895,0.0,0.006993006993006993,0.0
STK33 SKM UP,0.3129496402877698,0.6330935251798561,1.0,0.08273381294964029,0.025179856115107913,0.03597122302158273,0.025179856115107913,0.01079136690647482,0.014388489208633094,0.0035971223021582736,0.046762589928057555,0.07913669064748201,0.03237410071942446,0.02158273381294964,0.02877697841726619,0.0539568345323741,0.02877697841726619,0.01079136690647482,0.02877697841726619,0.025179856115107913,0.03597122302158273,0.02158273381294964,0.014388489208633094,0.01079136690647482,0.017985611510791366,0.007194244604316547,0.01079136690647482,0.02158273381294964,0.0035971223021582736,0.0,0.007194244604316547,0.01079136690647482,0.03597122302158273,0.02158273381294964,0.02877697841726619,0.007194244604316547,0.017985611510791366,0.007194244604316547,0.007194244604316547,0.0035971223021582736
HOXA9 DN.V1 UP,0.10416666666666667,0.11458333333333333,0.11979166666666667,1.0,0.036458333333333336,0.026041666666666668,0.026041666666666668,0.010416666666666666,0.005208333333333333,0.0,0.015625,0.046875,0.046875,0.036458333333333336,0.041666666666666664,0.08854166666666667,0.010416666666666666,0.005208333333333333,0.020833333333333332,0.005208333333333333,0.03125,0.020833333333333332,0.026041666666666668,0.015625,0.010416666666666666,0.036458333333333336,0.015625,0.020833333333333332,0.005208333333333333,0.010416666666666666,0.0,0.015625,0.015625,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.0
PDGF UP.V1 UP,0.0547945205479452,0.07534246575342465,0.04794520547945205,0.04794520547945205,1.0,0.04794520547945205,0.03424657534246575,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.0136986301369863,0.0410958904109589,0.0273972602739726,0.02054794520547945,0.0273972602739726,0.04794520547945205,0.02054794520547945,0.00684931506849315,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.00684931506849315,0.0136986301369863,0.0273972602739726,0.02054794520547945,0.0136986301369863,0.00684931506849315,0.0273972602739726,0.03424657534246575,0.0273972602739726,0.0410958904109589,0.00684931506849315,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.00684931506849315
RELA DN.V1 UP,0.08053691275167785,0.09395973154362416,0.06711409395973154,0.03355704697986577,0.04697986577181208,1.0,0.040268456375838924,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.040268456375838924,0.026845637583892617,0.013422818791946308,0.020134228187919462,0.013422818791946308,0.013422818791946308,0.053691275167785234,0.040268456375838924,0.013422818791946308,0.04697986577181208,0.03355704697986577,0.020134228187919462,0.053691275167785234,0.026845637583892617,0.013422818791946308,0.03355704697986577,0.026845637583892617,0.04697986577181208,0.013422818791946308,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.06040268456375839,0.020134228187919462,0.040268456375838924,0.03355704697986577,0.040268456375838924,0.0,0.006711409395973154,0.006711409395973154
CAMP UP.V1 DN,0.035175879396984924,0.035175879396984924,0.035175879396984924,0.02512562814070352,0.02512562814070352,0.03015075376884422,1.0,0.02512562814070352,0.01507537688442211,0.020100502512562814,0.035175879396984924,0.02512562814070352,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.04020100502512563,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.010050251256281407,0.03015075376884422,0.02512562814070352,0.03015075376884422,0.03015075376884422,0.010050251256281407,0.01507537688442211,0.035175879396984924,0.0,0.01507537688442211,0.010050251256281407,0.005025125628140704,0.04020100502512563,0.035175879396984924,0.005025125628140704,0.020100502512562814,0.020100502512562814,0.04020100502512563,0.01507537688442211,0.005025125628140704,0.0
PRC2 EED DN.V1 DN,0.02072538860103627,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.0051813471502590676,0.0051813471502590676,0.025906735751295335,1.0,0.17098445595854922,0.07253886010362694,0.031088082901554404,0.0051813471502590676,0.031088082901554404,0.046632124352331605,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.015544041450777202,0.010362694300518135,0.031088082901554404,0.0,0.0051813471502590676,0.010362694300518135,0.015544041450777202,0.0,0.0051813471502590676,0.0051813471502590676,0.03626943005181347,0.046632124352331605,0.031088082901554404,0.015544041450777202,0.031088082901554404,0.02072538860103627,0.0,0.03626943005181347,0.025906735751295335,0.02072538860103627,0.0051813471502590676
PRC2 EZH2 UP.V1 DN,0.020833333333333332,0.015625,0.020833333333333332,0.005208333333333333,0.010416666666666666,0.005208333333333333,0.015625,0.171875,1.0,0.057291666666666664,0.041666666666666664,0.015625,0.020833333333333332,0.010416666666666666,0.020833333333333332,0.015625,0.005208333333333333,0.005208333333333333,0.026041666666666668,0.010416666666666666,0.0,0.020833333333333332,0.005208333333333333,0.010416666666666666,0.015625,0.03125,0.0,0.0,0.015625,0.020833333333333332,0.03125,0.020833333333333332,0.026041666666666668,0.010416666666666666,0.005208333333333333,0.026041666666666668,0.03125,0.052083333333333336,0.03125,0.010416666666666666
RPS14 DN.V1 DN,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.0,0.005376344086021506,0.010752688172043012,0.021505376344086023,0.07526881720430108,0.05913978494623656,1.0,0.06989247311827956,0.016129032258064516,0.026881720430107527,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.005376344086021506,0.005376344086021506,0.016129032258064516,0.010752688172043012,0.021505376344086023,0.005376344086021506,0.0,0.010752688172043012,0.016129032258064516,0.016129032258064516,0.0,0.0,0.053763440860215055,0.04838709677419355,0.043010752688172046,0.005376344086021506,0.016129032258064516,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.016129032258064516,0.05913978494623656,0.021505376344086023,0.0
