"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MAFK","MAFK K562 hg19","68/2000","0.82969221454646924218678805118543095887","0.9999946414518525727999076480045915","0","0","0.8910319276452000","0.166356082181971426381","ZNF573;PIGU;CSE1L;ATF7IP2;NCAPG2;HMGB2;IRS2;UBE2L6;STMN1;NUF2;TK1;UPP1;GTSE1;LBR;DLGAP5;WDHD1;BATF2;IFRD1;TTC21A;IQCD;OSCAR;CCDC80;BIRC5;MCM5;MCM6;DNA2;KIF20B;DTL;CES3;SNRPA;ABCG1;DLX1;TROAP;PRIM1;SRSF1;TTK;SKA3;PPM1E;AURKB;RAD51AP1;CCNB2;CCNB1;NEU1;DNAJB9;RAD54L;ZNF425;CLSPN;PCK1;GBP2;RILP;PLK4;GINS1;NFE2;NQO1;RRM1;GADD45B;GLYCTK;XRCC2;B3GALT4;OSGIN1;SHCBP1;ISG20;DAB2;KIF18A;POLE2;RPL22L1;SERPINI1;CD68"
"CTCF","CTCF HGPS cell hg19","68/2000","0.82969221454646924218678805118543095887","0.9999946414518525727999076480045915","0","0","0.8910319276452000","0.166356082181971426381","DIRAS2;PTPRM;CIB2;UBE2L6;PRDM1;FOXM1;CLDN1;CLU;PCSK5;CLGN;SLC25A48;NUF2;CHAC2;TK1;CHAC1;HMCN1;GTSE1;WDHD1;BATF2;SRRM3;UNC5CL;CHST7;SEMA6A;TICAM2;MAT1A;SYN3;DEPDC1B;CATSPERG;COL21A1;KIF20B;CES3;BLM;PCNA;PELI2;CDCA7;GLIS3;SEMA3G;PLCXD2;MAP2;ZNF425;SRGAP3;APBB1;MFAP3L;MYH7B;CDKN2B;GGT7;CENPW;CADM1;GDF15;GINS3;KCNIP4;MND1;DEF6;ADAT2;DHFR;ISG20;DAB2;MAP3K15;NR4A3;FABP5;PIK3IP1;NEURL3;POLE2;NMU;CPE;ECHDC2;RPL22L1;MDGA1"
"MXI1","MXI1 HepG2 hg19","68/2000","0.82969221454646924218678805118543095887","0.9999946414518525727999076480045915","0","0","0.8910319276452000","0.166356082181971426381","ERCC6L;POP1;RTKN2;SLC40A1;ZBTB20;CIB2;TMEM52;HMGB1;CCDC28B;RND1;GCSH;SCAMP5;PCLO;ENOSF1;STMN1;CHAC2;MYBL2;TK1;KRTAP3-1;CEP55;PHLDA3;BATF2;HELLS;SRRM3;RMI2;GPX2;GPX1;HMGCS1;MAT1A;MSH2;ELF3;IFT81;DDIT3;MCM5;CDHR5;MCM6;CES3;MCM2;MT1E;BLM;DNAH6;NCAPG;TTK;IQGAP3;SELENBP1;ACVR1C;GPC3;PCK1;PPARGC1A;HES4;GINS1;DNAH12;GGT7;SUSD2;GINS4;DKKL1;FBXO32;SMARCA1;KIF18B;CENPH;FABP5;NBEA;KIF4A;ESAM;NOTUM;EFHB;CD68;MAD2L1"
"CHD2","CHD2 HepG2 hg19","68/2000","0.82969221454646924218678805118543095887","0.9999946414518525727999076480045915","0","0","0.8910319276452000","0.166356082181971426381","ZNF573;DMGDH;ZFAND2A;ATF7IP2;NCAPG2;PTPRM;CIB2;ADM;MKI67;NRGN;LMNB1;RND1;CDC20;CHAF1B;STMN1;NUF2;PBK;CHAC2;LBR;CEP55;PHLDA3;TMPO;DUSP5;SRRM3;CADPS2;HMGCS1;PPP2R5B;ESCO2;CDC25C;CCNA2;ELF3;CATSPERG;IRF1;BIRC5;MCM5;CES3;MCM2;DLX6;TROAP;CCDC69;DNAH6;CDCA7;MGST1;SLC3A2;IQGAP3;THBS1;CCNB2;DNAJB5;TP53INP2;PHKG2;DNAJB9;RAD54L;ZNF425;APOE;SH3BGR;ABCA1;GINS1;GINS2;RRM2;GINS4;MND1;KLHDC8B;ISG20;DIAPH3;CENPH;ADCK5;FAS;CDKN3"
"EZH2","EZH2 GM12878 hg19","68/2000","0.82969221454646924218678805118543095887","0.9999946414518525727999076480045915","0","0","0.8910319276452000","0.166356082181971426381","ZNF573;SYNM;RTKN2;ICAM2;UBE2L6;SLC2A3;BRCA1;PRSS22;IFIT1;LMNB1;MRC2;RUSC2;NUF2;LRRCC1;HELLS;CCDC39;CADPS2;UNC13A;GPR37;FAM24B;CACNA2D1;DAPK2;IGFBP3;PLA2G4C;VWA5A;VWA5B2;PRLR;DNM3;MAF;SNPH;MAP1B;COL21A1;PRR11;SNRPA;MT1E;CALCA;SELPLG;SLCO5A1;TTK;NDRG1;PLCXD2;SCUBE2;GPNMB;FAM184A;BMF;FLNC;APBB1;HES4;PLK4;GINS1;NQO1;GADD45B;GINS3;KLHDC1;MOK;PNMA2;FBXO32;MCC;HOPX;REEP1;SGSM1;CENPF;ARHGAP30;RCAN2;IGFL4;NMU;RPL22L1;CD68"
"JUN","JUN H1-hESC hg19","68/2000","0.82969221454646924218678805118543095887","0.9999946414518525727999076480045915","0","0","0.8910319276452000","0.166356082181971426381","PIGU;CITED2;CSE1L;RTKN2;HMGB2;MCM10;KIF11;PRDM1;HMGB1;BRCA2;CLDN1;CLU;PCSK5;CCDC28B;LMNB1;RND1;PCLO;SMPD1;MYB;NUF2;TK1;UPP1;SKP2;WDHD1;SEMA6A;GPX1;VWA5A;TTC21A;PDGFRL;CIT;PHOSPHO1;ELF3;MAP1B;SCG5;MCM6;KIF20B;PCNA;SLC3A2;NDRG1;THBS1;DNAJB2;CCNB2;OXCT1;NEU1;DNAJB9;BMF;PLK4;MYH7B;CDKN2B;DNAH10;GLYCTK;XRCC2;DKKL1;MOK;CDC7;KLHL4;DEF6;ADAT2;FAM111B;ISG20;KIF18A;DIAPH3;KIF18B;NR4A3;CENPH;DLG4;ECHDC2;SPC24"
"CEBPB","CEBPB myocyte mm9","20/640","0.83219963737920166213513084585429169238","0.9999946414518525727999076480045915","0","0","0.8209060461836770","0.150786418107196229510","GINS1;CHRNA1;DLX1;FLT1;GADD45B;GDF15;FBXO32;SMC4;NDRG1;HERPUD1;ISG20;SLPI;DDIT3;BHLHE40;BMF;CHAC1;NUPR1;VIM;GBP2;ATF3"
"POLR2A","POLR2A ECC-1 hg19","44/1329","0.83267631196994473796735292125958949327","0.9999946414518525727999076480045915","0","0","0.8687506869792697","0.159077193185072796044","ZNF573;ERCC6L;CCDC69;ATF7IP2;PRSS22;CORO1A;PCSK5;DLL4;CHAF1B;DNAJB5;TTPA;NUF2;PBK;BLNK;ZNF503;SKP2;HES2;DLGAP5;PHLDA3;MFSD2A;HELLS;EDN2;TFAP2E;LAMB3;GDF15;CACNA2D1;XRCC2;SUSD2;PPP2R5B;CDC6;PAICS;CENPF;DEPDC7;MELK;CCDC80;SNPH;COL4A1;BAMBI;KIF4A;CENPK;NMU;DTL;SPC24;MCM2"
"ZKSCAN1","ZKSCAN1 MEL cell line mm9","7/251","0.83702922534724788494742142574978061020","0.9999946414518525727999076480045915","0","0","0.7318076796127186","0.130185872893955417728","SLC22A4;SELENBP1;SLC22A3;WNT11;PTTG1;LDLRAD1;LMNB1"
"MEF2C","MEF2C GM12878 hg19","4/155","0.83905808547912363870580065849935635924","0.9999946414518525727999076480045915","0","0","0.6763112228636187","0.118675943882911916205","DNAJB2;NR4A3;FAM184A;TMEM79"
