"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.00000000000000","2","4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=762)","767","rank=2; score=4.7495; p=1.7802e-05","rank=6; score=3.701; p=0.00019908","rank=7; score=4.075; p=4.6014e-05; direction=Activated"
"2","CEBPB","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.66666666666667","1","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=6; score=3.464; p=0.00034356","rank=1; score=5.8312; p=1.475e-06","rank=34; score=3.0361; p=0.0023965; direction=Activated"
"3","ATF3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.00000000000000","5","6","ARCHS4--Coexpression(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=45)","1","rank=39; score=0.82281; p=0.15038","rank=10; score=2.9165; p=0.0012119","rank=5; score=4.5646; p=5.0034e-06; direction=Activated"
"4","FOSL1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.66666666666667","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","rank=7; score=3.2508; p=0.00056132","rank=7; score=3.433; p=0.00036895","rank=45; score=2.8496; p=0.0043769; direction=Activated"
"5","EGR1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.66666666666667","18","6","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=237)","8","rank=27; score=1.2105; p=0.061592","rank=18; score=2.5298; p=0.0029529","rank=20; score=3.3197; p=0.00090124; direction=Activated"
"6","NFYA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.33333333333334","21","5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=815); ARCHS4--Coexpression(rank=946); Enrichr--Queries(rank=1219)","1355","rank=21; score=1.4944; p=0.032036","rank=44; score=1.2002; p=0.063061","rank=41; score=2.8909; p=0.0038409; direction=Repressed"
"7","PPARG","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.00000000000000","14","5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=18); GTEx--Coexpression(rank=22); Enrichr--Queries(rank=303); ARCHS4--Coexpression(rank=308)","50","rank=14; score=2.1046; p=0.0078598","rank=66; score=0.71305; p=0.19362","rank=31; score=3.0978; p=0.0019495; direction=Activated"
"8","KLF6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.33333333333334","30","4","Enrichr--Queries(rank=57); ARCHS4--Coexpression(rank=77); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=159)","168","rank=42; score=0.81489; p=0.15315","rank=43; score=1.2002; p=0.063061","rank=30; score=3.104; p=0.0019095; direction=Activated"
"9","NFKB1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.00000000000000","4","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","rank=4; score=3.7129; p=0.00019367","rank=8; score=3.3479; p=0.00044884","rank=126; score=2.0029; p=0.045191; direction=Activated"
"10","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.66666666666666","8","6","GTEx--Coexpression(rank=34); ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1116)","86","rank=66; score=0.14337; p=0.71884","rank=69; score=0.55527; p=0.27844","rank=8; score=4.0265; p=5.6612e-05; direction=Repressed"
