Pathway,GSE22886 UNSTIM VS IL2 STIM NKCELL DN,GSE22886 UNSTIM VS IL15 STIM NKCELL DN,GSE3982 MEMORY CD4 TCELL VS TH1 DN,GSE3982 MEMORY CD4 TCELL VS TH2 DN,"GSE16450 IMMATURE VS MATURE NEURON CELL LINE
DN","GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL OLD DN","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL OLD DN","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG DN","GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG DN",GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,"GSE39556 CD8A DC VS NK CELL MOUSE 3H POST
POLYIC INJ UP","GSE21063 WT VS NFATC1 KO 8H ANTI IGM STIM
BCELL UP",GSE24574 BCL6 LOW TFH VS TCONV CD4 TCELL DN,GSE28726 NAIVE VS ACTIVATED CD4 TCELL DN,"GSE28726 NAIVE CD4 TCELL VS NAIVE VA24NEG
NKTCELL UP","GSE15750 DAY6 VS DAY10 TRAF6KO EFF CD8 TCELL
UP",GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,GSE13547 CTRL VS ANTI IGM STIM BCELL 12H UP,"GSE30962 PRIMARY VS SECONDARY ACUTE LCMV INF
CD8 TCELL UP",GSE13547 2H VS 12 H ANTI IGM STIM BCELL DN,"GSE5679 CTRL VS PPARG LIGAND ROSIGLITAZONE
TREATED DC UP","GSE5679 CTRL VS RARA AGONIST AM580 TREATED DC
UP","GSE15930 NAIVE VS 24H IN VITRO STIM INFAB CD8
TCELL DN","GSE15930 NAIVE VS 24H IN VITRO STIM CD8 TCELL
DN","GSE15930 NAIVE VS 24H IN VITRO STIM IL12 CD8
TCELL DN","GSE13547 WT VS ZFX KO BCELL ANTI IGM STIM 2H
UP","GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION UP",GSE24634 TEFF VS TCONV DAY5 IN CULTURE UP,"GSE24634 TREG VS TCONV POST DAY5 IL4
CONVERSION UP","GSE21927 SPLEEN C57BL6 VS EL4 TUMOR BALBC
MONOCYTES DN",GSE18893 TCONV VS TREG 24H TNF STIM UP,"GSE21670 UNTREATED VS IL6 TREATED STAT3 KO
CD4 TCELL DN","GSE6674 ANTI IGM VS ANTI IGM AND CPG STIM
BCELL DN","GSE37532 TREG VS TCONV PPARG KO CD4 TCELL
FROM LN DN","GSE411 100MIN VS 400MIN IL6 STIM MACROPHAGE
DN","GSE46468 LUNG INNATE LYMPHOID CELL VS SPLEEN
CD4 TCELL DN",GSE7764 IL15 TREATED VS CTRL NK CELL 24H UP,"GSE43863 TH1 VS LY6C INT CXCR5POS MEMORY CD4
TCELL UP","GSE7568 IL4 TGFB DEXAMETHASONE VS IL4 TGFB
TREATED MACROPHAGE UP","GSE22432 MULTIPOTENT VS COMMON DC PROGENITOR
UNTREATED UP"
GSE22886 UNSTIM VS IL2 STIM NKCELL DN,1.0,0.555,0.145,0.17,0.115,0.215,0.16,0.18,0.2,0.145,0.105,0.125,0.15,0.165,0.18,0.095,0.12,0.075,0.08,0.13,0.13,0.14,0.085,0.095,0.09,0.06,0.145,0.11,0.125,0.1,0.12,0.13,0.105,0.055,0.08,0.11,0.06,0.065,0.06,0.09
GSE22886 UNSTIM VS IL15 STIM NKCELL DN,0.555,1.0,0.18,0.205,0.095,0.22,0.18,0.195,0.165,0.13,0.125,0.13,0.14,0.155,0.16,0.1,0.125,0.085,0.065,0.15,0.11,0.125,0.11,0.115,0.115,0.075,0.115,0.12,0.12,0.095,0.12,0.1,0.075,0.03,0.055,0.12,0.04,0.045,0.075,0.085
GSE3982 MEMORY CD4 TCELL VS TH1 DN,0.1457286432160804,0.18090452261306533,1.0,0.5326633165829145,0.09045226130653267,0.15577889447236182,0.1457286432160804,0.1457286432160804,0.135678391959799,0.12562814070351758,0.1457286432160804,0.1306532663316583,0.08542713567839195,0.11557788944723618,0.135678391959799,0.09045226130653267,0.12060301507537688,0.11055276381909548,0.09045226130653267,0.12060301507537688,0.06532663316582915,0.08040201005025126,0.09547738693467336,0.09045226130653267,0.09547738693467336,0.07035175879396985,0.09045226130653267,0.08542713567839195,0.07035175879396985,0.07035175879396985,0.09547738693467336,0.035175879396984924,0.04522613065326633,0.03015075376884422,0.04522613065326633,0.04522613065326633,0.04020100502512563,0.01507537688442211,0.01507537688442211,0.05527638190954774
GSE3982 MEMORY CD4 TCELL VS TH2 DN,0.1708542713567839,0.20603015075376885,0.5326633165829145,1.0,0.11557788944723618,0.20603015075376885,0.1708542713567839,0.1658291457286432,0.1658291457286432,0.135678391959799,0.1407035175879397,0.12562814070351758,0.11055276381909548,0.12562814070351758,0.15577889447236182,0.10050251256281408,0.12060301507537688,0.12060301507537688,0.08542713567839195,0.11055276381909548,0.05527638190954774,0.07035175879396985,0.09045226130653267,0.09547738693467336,0.09045226130653267,0.08542713567839195,0.11055276381909548,0.11055276381909548,0.10552763819095477,0.06532663316582915,0.09547738693467336,0.06532663316582915,0.02512562814070352,0.03015075376884422,0.04522613065326633,0.06030150753768844,0.05025125628140704,0.02512562814070352,0.03015075376884422,0.06030150753768844
"GSE16450 IMMATURE VS MATURE NEURON CELL LINE
DN",0.11616161616161616,0.09595959595959595,0.09090909090909091,0.11616161616161616,1.0,0.1111111111111111,0.12626262626262627,0.10606060606060606,0.15151515151515152,0.08585858585858586,0.08585858585858586,0.09595959595959595,0.10101010101010101,0.12121212121212122,0.12626262626262627,0.045454545454545456,0.07575757575757576,0.050505050505050504,0.06060606060606061,0.05555555555555555,0.050505050505050504,0.050505050505050504,0.08080808080808081,0.08585858585858586,0.08585858585858586,0.04040404040404041,0.06060606060606061,0.08585858585858586,0.08585858585858586,0.09090909090909091,0.08585858585858586,0.06565656565656566,0.10101010101010101,0.07575757575757576,0.045454545454545456,0.0707070707070707,0.08080808080808081,0.0707070707070707,0.08080808080808081,0.050505050505050504
"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL OLD DN",0.215,0.22,0.155,0.205,0.11,1.0,0.59,0.41,0.475,0.245,0.225,0.19,0.175,0.21,0.23,0.2,0.21,0.165,0.155,0.15,0.13,0.14,0.11,0.11,0.115,0.09,0.09,0.175,0.1,0.09,0.145,0.055,0.055,0.03,0.04,0.04,0.05,0.025,0.03,0.055
"GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL OLD DN",0.16,0.18,0.145,0.17,0.125,0.59,1.0,0.425,0.44,0.22,0.225,0.185,0.15,0.21,0.2,0.205,0.205,0.165,0.185,0.14,0.13,0.135,0.115,0.125,0.12,0.105,0.09,0.14,0.095,0.065,0.105,0.03,0.055,0.01,0.02,0.04,0.075,0.02,0.025,0.035
"GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG DN",0.18,0.195,0.145,0.165,0.105,0.41,0.425,1.0,0.6,0.225,0.235,0.215,0.165,0.245,0.235,0.225,0.295,0.2,0.185,0.16,0.14,0.15,0.115,0.125,0.125,0.09,0.095,0.16,0.095,0.07,0.12,0.03,0.025,0.025,0.03,0.015,0.095,0.035,0.02,0.05
"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG DN",0.2,0.165,0.135,0.165,0.15,0.475,0.44,0.6,1.0,0.22,0.225,0.19,0.14,0.215,0.19,0.23,0.275,0.195,0.175,0.145,0.17,0.19,0.145,0.15,0.15,0.095,0.11,0.16,0.09,0.07,0.135,0.055,0.035,0.05,0.04,0.015,0.075,0.03,0.025,0.05
GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,0.1457286432160804,0.1306532663316583,0.12562814070351758,0.135678391959799,0.08542713567839195,0.24623115577889448,0.22110552763819097,0.22613065326633167,0.22110552763819097,1.0,0.5628140703517588,0.17587939698492464,0.19095477386934673,0.19597989949748743,0.24120603015075376,0.19095477386934673,0.19597989949748743,0.1658291457286432,0.19095477386934673,0.11055276381909548,0.135678391959799,0.1306532663316583,0.10552763819095477,0.09547738693467336,0.10050251256281408,0.06532663316582915,0.10552763819095477,0.1407035175879397,0.07537688442211055,0.04020100502512563,0.12060301507537688,0.07035175879396985,0.05025125628140704,0.03015075376884422,0.06030150753768844,0.035175879396984924,0.10552763819095477,0.020100502512562814,0.04522613065326633,0.05527638190954774
