"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","SP3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.00000000000000","1","3","GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1230)","1099","rank=9; score=69.837; p=7.4766e-06; adjP=0.0008299","rank=1; score=5.1263; p=7.4771e-06","rank=38; score=3.197; p=0.0013885; direction=Activated"
"2","PPARG","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.33333333333333","2","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=28; score=23.666; p=1.1819e-05; adjP=0.00041421","rank=34; score=2.1399; p=0.0072466","rank=2; score=5.3405; p=9.2686e-08; direction=Activated"
"3","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.33333333333333","13","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=1227); ARCHS4--Coexpression(rank=1407); GTEx--Coexpression(rank=1446)","449","rank=13; score=55.289; p=4.4362e-05; adjP=0.0010203","rank=42; score=1.9335; p=0.011654","rank=18; score=3.7021; p=0.00021381; direction=Activated"
"4","CEBPB","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.66666666666667","4","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=4; score=43.178; p=7.2563e-05; adjP=0.0033209","rank=52; score=1.6141; p=0.024315","rank=24; score=3.518; p=0.00043481; direction=Activated"
"5","VDR","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.66666666666666","10","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=70; score=50.636; p=0.00098585; adjP=0.011583","rank=10; score=3.0062; p=0.00098587","rank=12; score=3.8337; p=0.00012625; direction=Activated"
"6","STAT2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.66666666666666","17","5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","rank=17; score=48.999; p=0.0015804; adjP=0.071591","rank=45; score=1.7811; p=0.016554","rank=36; score=3.2344; p=0.0012191; direction=Activated"
"7","HIPK2","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","39.33333333333334","3","0","",NA,"rank=33; score=206.35; p=0.00047418; adjP=0.014467","rank=3; score=3.324; p=0.00047419","rank=82; score=2.7346; p=0.0062448; direction=Activated"
"8","SP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.66666666666666","5","5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=819); Enrichr--Queries(rank=1180); ARCHS4--Coexpression(rank=1334)","1171","rank=5; score=70.339; p=1.4589e-07; adjP=4.8581e-05","rank=33; score=2.1777; p=0.006642","rank=90; score=2.6545; p=0.0079433; direction=Activated"
"9","DNMT1","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","42.66666666666666","8","2","ARCHS4--Coexpression(rank=1337); GTEx--Coexpression(rank=1451)","1596","rank=104; score=48.361; p=0.0023722; adjP=0.025482","rank=16; score=2.6248; p=0.0023723","rank=8; score=4.1131; p=3.9046e-05; direction=Activated"
"10","KLF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.66666666666666","23","5","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=32); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=82)","9","rank=77; score=30.633; p=0.0014007; adjP=0.012129","rank=31; score=2.2179; p=0.0060552","rank=23; score=3.5218; p=0.00042868; direction=Activated"
