"Analysis","Status","Start_Time","End_Time","Runtime_Seconds","Runtime","Rows","Output_Files","Warning","Message","Error"
"sample_audit","success","2026-06-16 15:31:00","2026-06-16 15:31:15","14.48623919487000","0.24 min (14.5 sec)","1","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/000_sample_audit_summary.csv","","",""
"data_summary","success","2026-06-16 15:31:00","2026-06-16 15:31:14","13.47702598571777","0.22 min (13.5 sec)","1","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/000_data_summary_tcgaplot_cancers.csv;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/000_data_summary_tcgaplot_paired_cancers.csv;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/000_data_summary_tcgaplot_package_info.csv","","",""
