"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATF3",1.60670069885525,5.05848198043168,25.5406812482205,5.2123562974442e-91,1.02011025097281e-86,189.660198294338
"FOSB",2.05644101702172,3.49730005944692,16.4632618446111,1.87145645428976e-48,1.83131371334525e-44,97.0625186621877
"NR4A1",1.49411431451268,4.96977521912671,15.7104195679252,4.80983158552791e-45,3.13777379867889e-41,89.5691818886037
"EGR3",1.16059558541261,2.3024832274761,13.2004233551877,4.38251198055848e-34,2.14425354928775e-30,65.4365701730404
"HBEGF",1.05494381428732,5.00203983390621,13.1095102245823,1.056714687343e-33,4.13619262919799e-30,64.5938193558535
"DUSP1",1.10103815146873,7.00350269745988,12.1697457874836,7.96375334396512e-30,2.59764361157902e-26,56.0426715622679
"TCIM",1.10362463352131,5.77606977638125,11.7360014373929,4.37922812187242e-28,1.22436962247379e-24,52.2032206738306
"NR4A2",0.92141424655792,3.53864329166089,11.4356478061713,6.70914619625594e-27,1.64130875258656e-23,49.588005910664
"NR4A3",0.856308030107228,1.49690587719965,11.4174511122631,7.90561362715354e-27,1.71911960330024e-23,49.430753663615
"CSRNP1",0.636856800329422,4.96850763647091,11.3275412864373,1.77479599188213e-26,3.47345323571251e-23,48.6558054498775
"FOS",1.27642444241792,7.66335904151898,11.2797447947684,2.72411025677138e-26,4.84668743957025e-23,48.2452280446582
"EGR1",1.20934893779202,7.15375174876748,11.1897920412483,6.08443316721877e-26,9.92320345963655e-23,47.4751678709207
"ZFP36",0.844270058220799,7.89525537592355,10.719055335709,3.83969558190022e-24,5.78051401795148e-21,43.5033696298748
"SIK1B",0.733259931381489,1.86396186904693,10.3734161580814,7.52923503500528e-23,1.05253327764349e-19,40.6518866159873
"PPP1R15A",0.61513648066158,6.37497309244666,10.2547692480436,2.06281660625801e-22,2.69142558673836e-19,39.6862776402852
"TRIB1",0.578717143733427,6.32184897800464,9.27684337104048,6.29811630039654e-19,7.70377713219129e-16,32.0017137626209
"BHLHE40",0.646555134942624,7.16249178693866,9.21006566334923,1.06852908748428e-18,1.23012839830323e-15,31.4957187377736
"KLF6",0.584040400386513,6.64745316878903,8.70054638078335,5.53423868115703e-17,6.01725473494023e-14,27.7189313806646
"BTG2",0.601383118832455,7.17487569783087,8.68604075570366,6.178350034038e-17,6.36402571137672e-14,27.6136337370682
"RGS1",0.966528799921497,4.27421284232264,8.5745780277104,1.43356028963867e-16,1.40281042142592e-13,26.808724658308
"CCN1",0.885895918012189,5.55654539643943,8.32556448376924,9.14016245415396e-16,8.51819616144034e-13,25.0377995335556
"JUNB",0.614504029848081,8.22160421760255,8.12313022418368,4.00347331061595e-15,3.56145346191204e-12,23.6264861248704
"IER3",0.722293293623378,7.4810824479616,7.96793918735654,1.2201970863393e-14,1.03828161638028e-11,22.562130566293
"MCL1",0.508772258037885,7.33844582061333,7.95941355191525,1.29664393228224e-14,1.05735909994566e-11,22.5041067946349
"DUSP5",0.720344064160359,4.73744903432277,7.88359966520151,2.22118673784379e-14,1.73883382585363e-11,21.9902022176674
"RND3",0.455918266200318,5.2361647573627,7.87705104411631,2.3264821245099e-14,1.75121467918397e-11,21.9459874939215
