"Analysis","Function","Target","Context","Status","Start_Time","End_Time","Runtime_Seconds","Runtime","Output_Files","Generated_Files","Cache_File","Warning","Message","Error"
"gene_3age","gene_3age","ATF3","COAD","success","2026-06-16 15:33:38","2026-06-16 15:33:42","4.135202884674072266","0.07 min (4.1 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/021_gene_3age_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/021_gene_3age_ATF3_COAD.png","","","","",""
"gene_gender","gene_gender","ATF3","COAD","success","2026-06-16 15:33:38","2026-06-16 15:33:42","3.277773141860961914","0.05 min (3.3 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/022_gene_gender_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/022_gene_gender_ATF3_COAD.png","","","","",""
"gene_stage","gene_stage","ATF3","COAD","success","2026-06-16 15:33:42","2026-06-16 15:33:45","3.234196901321411133","0.05 min (3.2 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/023_gene_stage_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/023_gene_stage_ATF3_COAD.png","","","","",""
"tcga_roc","tcga_roc","ATF3","COAD","success","2026-06-16 15:33:42","2026-06-16 15:33:51","9.155488967895507812","0.15 min (9.2 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/024_tcga_roc_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/024_tcga_roc_ATF3_COAD.png","","","All aesthetics have length 1, but the data has 514 rows.
ℹ Please consider using `annotate()` or provide this layer with data containing a single row.","Setting direction: controls < cases
",""
"tcga_kmplot","tcga_kmplot","ATF3","COAD","success","2026-06-16 15:33:45","2026-06-16 15:33:55","9.539928197860717773","0.16 min (9.5 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/025_tcga_kmplot_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/025_tcga_kmplot_ATF3_COAD.png","","","","Ignoring unknown labels:
• colour : ""Strata""",""
"gene_methylation_scatter","gene_methylation_scatter","ATF3","COAD","success","2026-06-16 15:33:47","2026-06-16 15:34:23","36.560057878494262695","0.61 min (36.6 sec)","","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD_page_001.png;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD_page_002.png;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD/026_gene_methylation_scatter_ATF3_COAD_ATF3_methylation_correlation_COAD_page_003.png","","","",""
"methy_kmplot","methy_kmplot","ATF3","COAD","success","2026-06-16 15:33:49","2026-06-16 15:34:26","37.294655084609985352","0.62 min (37.3 sec)","","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD_page_001.png;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD_page_002.png;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD/027_methy_kmplot_ATF3_COAD_ATF3_methylation_kmplot_COAD_page_003.png","","","Ignoring unknown labels:
• colour : ""Strata""",""
"gene_deg_heatmap","gene_deg_heatmap","ATF3","COAD","success","2026-06-16 15:33:49","2026-06-16 15:34:04","14.442936897277832031","0.24 min (14.4 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/028_gene_deg_heatmap_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/028_gene_deg_heatmap_ATF3_COAD.png","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/028_gene_deg_heatmap_ATF3_COAD_DEG.csv","","","",""
"gene_gsea_go","gene_gsea_go","ATF3","COAD","success","2026-06-16 15:33:51","2026-06-16 15:35:27","96.207156896591186523","1.60 min (96.2 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/029_gene_gsea_go_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/029_gene_gsea_go_ATF3_COAD.png","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/029_gene_gsea_go_ATF3_COAD_GSEA_GO.csv","/Users/solomon/Projects/CRLM_dormancy/data/tcgaplot/reference_cache/task_manifest/gene_gsea_go/ATF3/COAD.rds","3.58% of input gene IDs are fail to map... | There are ties in the preranked stats (0.4% of the list). The order of those tied genes will be arbitrary, which may produce unexpected results. | There were 2 pathways for which P-values were not calculated properly due to unbalanced gene-level statistic values. For such pathways pvalue, NES and log2err are set to NA. You can try to increase nPermSimple. | For some pathways, in reality P-values are less than 1e-10. You can set the eps argument to zero for better estimation. | Invalid p-values detected (NA, non-finite, <0, or >1). qvalue will be computed on valid p-values only. | NA values detected in gene set IDs. Replacing with string 'NA'. | Duplicate gene set IDs detected: NA... (Total 1). Unique suffixes added.","'select()' returned 1:many mapping between keys and columns
",""
"gene_gsea_kegg","gene_gsea_kegg","ATF3","COAD","success","2026-06-16 15:34:05","2026-06-16 15:34:58","52.822463035583496094","0.88 min (52.8 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/030_gene_gsea_kegg_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/030_gene_gsea_kegg_ATF3_COAD.png","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/tables/TCGAplot/030_gene_gsea_kegg_ATF3_COAD_GSEA_KEGG.csv","/Users/solomon/Projects/CRLM_dormancy/data/tcgaplot/reference_cache/task_manifest/gene_gsea_kegg/ATF3/COAD.rds","3.58% of input gene IDs are fail to map... | There are ties in the preranked stats (0.4% of the list). The order of those tied genes will be arbitrary, which may produce unexpected results. | For some pathways, in reality P-values are less than 1e-10. You can set the eps argument to zero for better estimation.","'select()' returned 1:many mapping between keys and columns
 | Reading KEGG annotation online: ""https://rest.kegg.jp/link/hsa/pathway""...
 | Reading KEGG annotation online: ""https://rest.kegg.jp/list/pathway/hsa""...
",""
"gene_coexp_heatmap","gene_coexp_heatmap","ATF3","COAD","success","2026-06-16 15:33:55","2026-06-16 15:34:52","57.402220964431762695","0.96 min (57.4 sec)","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/pdf/031_gene_coexp_heatmap_ATF3_COAD.pdf;/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/tcga/plots/TCGAplot/png/031_gene_coexp_heatmap_ATF3_COAD.png","","/Users/solomon/Projects/CRLM_dormancy/data/tcgaplot/reference_cache/task_manifest/gene_coexp_heatmap/ATF3/COAD.rds","the standard deviation is zero | 5% of input gene IDs are fail to map...","'select()' returned 1:1 mapping between keys and columns
",""
"gene_network_go","gene_network_go","ATF3","gene_network","skipped","2026-06-16 15:34:00","2026-06-16 15:34:00","0.019397974014282227","0.00 min (0.0 sec)","","","/Users/solomon/Projects/CRLM_dormancy/data/tcgaplot/reference_cache/task_manifest/gene_network_go/ATF3/gene_network.rds","","Skipped because gene_network_go requires at least 2 genes for a stable enrichment network; current NETWORK_GENES=ATF3",""
"gene_network_kegg","gene_network_kegg","ATF3","gene_network","skipped","2026-06-16 15:34:00","2026-06-16 15:34:00","0.007243156433105469","0.00 min (0.0 sec)","","","/Users/solomon/Projects/CRLM_dormancy/data/tcgaplot/reference_cache/task_manifest/gene_network_kegg/ATF3/gene_network.rds","","Skipped because gene_network_kegg requires at least 2 genes for a stable enrichment network; current NETWORK_GENES=ATF3",""
