"Cancer","Normal","Tumor"
"BLCA","19","19"
"BRCA","113","113"
"COAD","41","41"
"ESCA","13","13"
"HNSC","43","43"
"KICH","25","25"
"KIRC","72","72"
"KIRP","32","32"
"LIHC","50","50"
"LUAD","58","58"
"LUSC","51","51"
"PRAD","52","52"
"STAD","33","33"
"THCA","59","59"
"UCEC","23","23"
