"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","HIF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.00000000000000","1","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","rank=1; score=7.8394; p=1.4476e-08","rank=2; score=5.0817; direction=Activated","rank=3; score=4.9248; p=8.4442e-07; direction=Activated"
"2","VDR","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.33333333333333","9","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=9; score=3.0524; p=0.00088626","rank=25; score=3.0209; direction=Activated","rank=12; score=3.8337; p=0.00012625; direction=Activated"
"3","IRF9","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.66666666666667","13","4","Enrichr--Queries(rank=5); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=279); GTEx--Coexpression(rank=385)","14","rank=13; score=2.9237; p=0.0011921","rank=31; score=2.8006; direction=Activated","rank=33; score=3.3172; p=0.00090929; direction=Activated"
"4","SP3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.33333333333333","2","3","GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1230)","1099","rank=2; score=4.9395; p=1.1495e-05","rank=42; score=2.5353; direction=Activated","rank=38; score=3.197; p=0.0013885; direction=Activated"
"5","ESR1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.00000000000000","5","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","rank=16; score=2.6195; p=0.0024015","rank=5; score=4.2814; direction=Activated","rank=72; score=2.845; p=0.0044417; direction=Activated"
"6","SMAD3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.66666666666666","9","5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=77); Enrichr--Queries(rank=412); ARCHS4--Coexpression(rank=426)","190","rank=34; score=1.6524; p=0.022263","rank=55; score=2.1699; direction=Activated","rank=9; score=4.0711; p=4.6782e-05; direction=Activated"
"7","SMAD4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.66666666666666","18","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=1227); ARCHS4--Coexpression(rank=1407); GTEx--Coexpression(rank=1446)","449","rank=27; score=1.8882; p=0.012935","rank=53; score=2.2483; direction=Activated","rank=18; score=3.7021; p=0.00021381; direction=Activated"
"8","PPARG","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.66666666666666","2","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=51; score=1.4078; p=0.039102","rank=57; score=2.1365; direction=Activated","rank=2; score=5.3405; p=9.2686e-08; direction=Activated"
"9","STAT3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.66666666666666","7","6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=397); Enrichr--Queries(rank=662); GTEx--Coexpression(rank=1017)","491","rank=25; score=1.9117; p=0.012254","rank=7; score=3.8931; direction=Activated","rank=87; score=2.6612; p=0.0077854; direction=Activated"
"10","STAT2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.66666666666666","34","5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","rank=49; score=1.4631; p=0.034425","rank=34; score=2.6897; direction=Activated","rank=36; score=3.2344; p=0.0012191; direction=Activated"
