"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","NR3C1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.66666666666667","10","6","ARCHS4--Coexpression(rank=10); ENCODE--ChIP-seq(rank=13); Enrichr--Queries(rank=43); Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=85); GTEx--Coexpression(rank=1302)","28","rank=28; score=0.006143","rank=18; score=29.53; p=2.7177e-05; adjP=0.0034006","rank=10; score=2.8509; p=3.6534e-05; direction=Activated"
"2","FOS","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.00000000000000","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=14; score=0.003367","rank=3; score=68.676; p=0.00015287; adjP=0.013662","rank=49; score=2.4248; p=0.0027584; direction=Activated"
"3","ATF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.00000000000000","3","6","ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=37); Literature--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=42); ARCHS4--Coexpression(rank=48); GTEx--Coexpression(rank=244)","119","rank=119; score=0.02635","rank=25; score=118.61; p=2.9485e-05; adjP=0.0034006","rank=3; score=3.6508; p=1.0897e-08; direction=Activated"
"4","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.66666666666667","19","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=95; score=0.02088","rank=86; score=48.373; p=0.0051565; adjP=0.031871","rank=19; score=3.2845; p=0.00017041; direction=Activated"
"5","FOSL1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","26","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=131); GTEx--Coexpression(rank=1366)","116","rank=116; score=0.02542","rank=26; score=100.27; p=0.00053579; adjP=0.02181","rank=67; score=2.2477; p=0.0045941; direction=Activated"
"6","EGR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.00000000000000","52","6","Enrichr--Queries(rank=23); GTEx--Coexpression(rank=36); Literature--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=140)","74","rank=74; score=0.01638","rank=84; score=23.779; p=0.035156; adjP=0.088396","rank=52; score=2.4749; p=0.0028749; direction=Activated"
"7","SMAD3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","81.33333333333333","23","5","ReMap--ChIP-seq(rank=6); Literature--ChIP-seq(rank=7); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=306); ARCHS4--Coexpression(rank=492)","92","rank=92; score=0.0202","rank=23; score=22.77; p=0.00043117; adjP=0.020953","rank=129; score=2.1569; p=0.021859; direction=Activated"
"8","SOX2","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","86.33333333333333","1","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=124); Enrichr--Queries(rank=471); ARCHS4--Coexpression(rank=1118); GTEx--Coexpression(rank=1563)","56","rank=56; score=0.0122","rank=1; score=74.055; p=3.4904e-08; adjP=2.4153e-05","rank=202; score=1.1332; p=0.056236; direction=Activated"
"9","DDIT3","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","87.33333333333334","11","3","Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=57); GTEx--Coexpression(rank=99)","11","rank=11; score=0.002849","rank=233; score=37.53; p=0.072152; adjP=0.11045","rank=18; score=2.579; p=0.00016665; direction=Activated"
"10","EPAS1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","88.66666666666667","2","4","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=139)","2","rank=2; score=0.0006223","rank=48; score=86.335; p=0.040742; adjP=0.090176","rank=216; score=1.4199; p=0.062137; direction=Activated"
