"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","HIF1A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.83333333333334","1","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=883)","94","rank=1; score=8.7884; p=1.6277e-09","rank=94; score=0.02439","rank=3; score=6.2166; direction=Activated","rank=27; score=62.702; p=6.8027e-07; adjP=7.1914e-05","rank=20; score=2.4031; p=0.0039526","rank=10; score=3.7569; p=0.00017205; direction=Activated"
"2","FOS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.66666666666666","1","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=223)","11","rank=49; score=1.6238; p=0.023779","rank=11; score=0.003367","rank=49; score=2.6551; direction=Activated","rank=1; score=16.546; p=0.00021028; adjP=0.16621","rank=78; score=1.0743; p=0.084268","rank=26; score=2.9715; p=0.0029637; direction=Activated"
"3","JUN","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.83333333333333","11","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=19)","30","rank=14; score=3.444; p=0.00035972","rank=30; score=0.00809","rank=35; score=2.8146; direction=Activated","rank=23; score=31.251; p=2.1553e-05; adjP=0.00062891","rank=11; score=3.4056; p=0.00039302","rank=126; score=1.8288; p=0.067428; direction=Activated"
"4","EPAS1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.50000000000000","23","4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=20); Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=177)","49","rank=23; score=2.8328; p=0.0014697","rank=49; score=0.01245","rank=30; score=3.0152; direction=Activated","rank=98; score=58.833; p=0.013355; adjP=0.063931","rank=39; score=1.8743; p=0.013356","rank=124; score=1.8351; p=0.066487; direction=Activated"
"5","NFKB1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.50000000000000","3","4","ARCHS4--Coexpression(rank=16); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=244); GTEx--Coexpression(rank=1185)","36","rank=4; score=5.0246; p=9.4488e-06","rank=36; score=0.009828","rank=74; score=2.267; direction=Activated","rank=17; score=76.087; p=3.8596e-08; adjP=2.8175e-06","rank=3; score=7.4134; p=3.8602e-08","rank=235; score=1.3609; p=0.17355; direction=Activated"
"6","RELA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.00000000000000","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=476); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1122)","165","rank=6; score=4.9014; p=1.2549e-05","rank=165; score=0.04268","rank=44; score=2.6845; direction=Activated","rank=10; score=77.171; p=3.4296e-08; adjP=2.8175e-06","rank=2; score=7.4647; p=3.4301e-08","rank=145; score=1.7198; p=0.085462; direction=Activated"
"7","SMAD3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.50000000000000","39","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=18); Enrichr--Queries(rank=342); GTEx--Coexpression(rank=400); ARCHS4--Coexpression(rank=553)","39","rank=47; score=1.6679; p=0.021481","rank=39; score=0.0101","rank=60; score=2.4605; direction=Activated","rank=63; score=21.75; p=2.7942e-05; adjP=0.000667","rank=104; score=0.96719; p=0.10785","rank=62; score=2.4023; p=0.016292; direction=Activated"
"8","ATF3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.33333333333333","2","6","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=4); ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=15); ENCODE--ChIP-seq(rank=67)","2","rank=41; score=1.8984; p=0.012635","rank=2; score=0.0006223","rank=152; score=1.1552; direction=Repressed","rank=35; score=28.093; p=1.6936e-06; adjP=0.00015486","rank=154; score=0.59602; p=0.2535","rank=2; score=5.6505; p=1.6003e-08; direction=Activated"
"9","PPARG","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","73.66666666666667","25","5","ReMap--ChIP-seq(rank=15); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=33); Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=59)","77","rank=105; score=0.77054; p=0.16961","rank=77; score=0.01994","rank=25; score=3.2759; direction=Activated","rank=49; score=12.193; p=0.0013101; adjP=0.010425","rank=52; score=1.4998; p=0.031634","rank=134; score=1.775; p=0.075905; direction=Activated"
"10","FOXO3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.50000000000000","1","4","Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=419)","333","rank=2; score=6.4887; p=3.2459e-07","rank=333; score=0.08784","rank=11; score=4.7436; direction=Activated","rank=93; score=60.578; p=0.0039212; adjP=0.040109","rank=19; score=2.4066; p=0.0039212","rank=1; score=6.357; p=2.0571e-10; direction=Activated"
