"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","7.39032045342288590","-4.8260624740302828783","0.000000000000000000000000000235748271840363","DLD1=-11.04; HCT15=3.846; SW48=-7.281","Repressed","1","collectri","1","7.39032045342288590",NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=1069); GTEx--Coexpression(rank=1419)","595","0.168899999999999995","ARCHS4 Coexpression,0.1689"
"FOXO3","4.13859205669571928","4.1385920566957192790","0.000000001428318965114434571650533745644767","DLD1=6.052; HCT15=0.7531; SW48=5.61","Activated","2","collectri","2","4.13859205669571928",NA,"4","Literature--ChIP-seq(rank=132); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=574); GTEx--Coexpression(rank=723)","988","0.304099999999999981","Enrichr Queries,0.3041"
"TFE3","3.13401178403059877","3.1340117840305987684","0.000000117966603163157699136655970611337052","DLD1=5.297; HCT15=2.473; SW48=1.632","Activated","3","collectri","3","3.13401178403059877",NA,"3","ARCHS4--Coexpression(rank=420); GTEx--Coexpression(rank=773); Enrichr--Queries(rank=823)","872","0.258000000000000007","ARCHS4 Coexpression,0.258"
"ATF4","2.89757551005148128","2.8975755100514812845","0.000000172058309893657135127099174105869128","DLD1=1.84; HCT15=5.227; SW48=1.626","Activated","4","collectri","4","2.89757551005148128",NA,"4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","0.064089999999999994","GTEx Coexpression,0.06409"
"GLI2","2.43213612589348038","2.4321361258934803828","0.000000291078613128086080059529414110208734","DLD1=1.777; HCT15=0.3898; SW48=5.129","Activated","5","collectri","5","2.43213612589348038",NA,"3","GTEx--Coexpression(rank=59); ARCHS4--Coexpression(rank=432); Enrichr--Queries(rank=562)","167","0.036710000000000000","GTEx Coexpression,0.03671"
"ATF3","3.47308064666338145","3.4730806466633814544","0.000000437981206268331450578838205667242534","DLD1=2.721; HCT15=5.052; SW48=2.646","Activated","6","collectri","6","3.47308064666338145",NA,"6","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=85); GTEx--Coexpression(rank=1012)","177","0.039170000000000003","Enrichr Queries,0.03917"
"ZNF331","2.22359626712797631","-1.7858747749236230096","0.000001276794272121189634594594190797334221","DLD1=-4.843; HCT15=0.6566; SW48=-1.171","Repressed","7","collectri","7","2.22359626712797631",NA,"3","Enrichr--Queries(rank=65); GTEx--Coexpression(rank=74); ARCHS4--Coexpression(rank=441)","207","0.046050000000000001","GTEx Coexpression,0.04605"
"SMAD2","3.33269846325659369","3.3326984632565936906","0.000001731662259743712157762998704590984289","DLD1=3.474; HCT15=1.741; SW48=4.782","Activated","8","collectri","8","3.33269846325659369",NA,"0","",NA,NA,NA
"RXRB","2.69392228538943090","2.6939222853894309040","0.000001998948160858957727009080004854091328","DLD1=4.754; HCT15=2.42; SW48=0.908","Activated","9","collectri","9","2.69392228538943090",NA,"3","ARCHS4--Coexpression(rank=1228); Enrichr--Queries(rank=1293); GTEx--Coexpression(rank=1581)","1590","0.754299999999999971","ARCHS4 Coexpression,0.7543"
"SMAD3","3.29467166798309918","3.2946716679830991836","0.000003238776717183867927019351104500621830","DLD1=3.49; HCT15=1.739; SW48=4.655","Activated","10","collectri","10","3.29467166798309918",NA,"5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=908)","166","0.036589999999999998","Literature ChIP-seq,0.03659"
"NR1I3","2.83996113005594575","1.9451772031883325376","0.000005485078075186821153870139755603929643","DLD1=2.632; HCT15=-1.342; SW48=4.545","Activated","11","collectri","11","2.83996113005594575",NA,"3","GTEx--Coexpression(rank=409); ARCHS4--Coexpression(rank=713); Enrichr--Queries(rank=1046)","863","0.254500000000000004","GTEx Coexpression,0.2545"
"ABL1","2.68560383293843818","2.6856038329384381846","0.000006325029887540059842356097302706885444","DLD1=0.7654; HCT15=2.776; SW48=4.515","Activated","12","collectri","12","2.68560383293843818",NA,"0","",NA,NA,NA
"SMAD7","2.77948831290401532","2.7794883129040153236","0.000010426292089863046971256674289030286218","DLD1=0.9631; HCT15=4.408; SW48=2.967","Activated","13","collectri","13","2.77948831290401532",NA,"0","",NA,NA,NA
"MYC","2.62106338029584052","-2.6210633802958405170","0.000019333753003106912666348923823811389866","DLD1=-4.272; HCT15=-0.3959; SW48=-3.195","Repressed","14","collectri","14","2.62106338029584052",NA,"6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=169); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=624); ARCHS4--Coexpression(rank=825)","408","0.105200000000000002","GTEx Coexpression,0.1052"
"SRSF2","1.98507161191855519","-1.9850716119185551900","0.000028466764739563292177125172766061211860","DLD1=-4.185; HCT15=-0.651; SW48=-1.119","Repressed","15","collectri","15","1.98507161191855519",NA,"0","",NA,NA,NA
"BCL11B","2.27490983323934604","2.2749098332393460353","0.000029232766149506447567359146422205640192","DLD1=2.266; HCT15=0.3797; SW48=4.179","Activated","16","collectri","16","2.27490983323934604",NA,"4","Literature--ChIP-seq(rank=161); GTEx--Coexpression(rank=172); Enrichr--Queries(rank=691); ARCHS4--Coexpression(rank=1199)","413","0.106999999999999998","GTEx Coexpression,0.107"
"SREBF2","2.95353359680630945","-2.9535335968063094469","0.000036099598085357404353337024138781430338","DLD1=-2.587; HCT15=-4.131; SW48=-2.142","Repressed","17","collectri","17","2.95353359680630945",NA,"6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=404); Enrichr--Queries(rank=780); ARCHS4--Coexpression(rank=1367)","852","0.251400000000000012","GTEx Coexpression,0.2514"
"PML","2.30849025407601172","2.3084902540760117162","0.000054242379447697858349704269631530451079","DLD1=1.659; HCT15=1.23; SW48=4.037","Activated","18","collectri","18","2.30849025407601172",NA,"0","",NA,NA,NA
"E2F1","2.88614943127822610","-0.2598030451279085273","0.000081644939134331681769574107221387748723","DLD1=-3.213; HCT15=3.94; SW48=-1.506","Repressed","19","collectri","19","2.88614943127822610",NA,"6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1144)","1181","0.391900000000000026","ARCHS4 Coexpression,0.3919"
"TFDP1","2.70875239060254414","-1.1461627846779678386","0.000099213489612686426742313439142151310079","DLD1=-3.893; HCT15=2.344; SW48=-1.89","Repressed","20","collectri","20","2.70875239060254414",NA,"4","ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=376); GTEx--Coexpression(rank=825); Enrichr--Queries(rank=1319)","787","0.231000000000000011","ARCHS4 Coexpression,0.231"
"STAT1","2.81179697738894285","2.8117969773889428531","0.000142649545198664571112392995821949170931","DLD1=3.804; HCT15=2; SW48=2.632","Activated","21","collectri","21","2.81179697738894285",NA,"6","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=139); Literature--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=241); GTEx--Coexpression(rank=617); Enrichr--Queries(rank=629)","524","0.147999999999999993","ARCHS4 Coexpression,0.148"
"RUNX2","2.25077539964017070","2.2507753996401707042","0.000229761771253852677869902731977447274403","DLD1=3.684; HCT15=1.775; SW48=1.293","Activated","22","collectri","22","2.25077539964017070",NA,"5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=92); Enrichr--Queries(rank=110); ARCHS4--Coexpression(rank=879); GTEx--Coexpression(rank=1284)","181","0.040399999999999998","ReMap ChIP-seq,0.0404"
"NCOA1","1.98303790656136836","1.9830379065613683576","0.000232823494234923579699128581843581287103","DLD1=0.4109; HCT15=3.68; SW48=1.858","Activated","23","collectri","23","1.98303790656136836",NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=1076); Enrichr--Queries(rank=1343)","450","0.121200000000000002","ReMap ChIP-seq,0.1212"
"HOXC6","2.03395183868438112","2.0339518386843811193","0.000247120157425140013918857251340455150057","DLD1=1.664; HCT15=0.7727; SW48=3.665","Activated","24","collectri","24","2.03395183868438112",NA,"3","ARCHS4--Coexpression(rank=164); Enrichr--Queries(rank=171); GTEx--Coexpression(rank=1488)","396","0.100699999999999998","ARCHS4 Coexpression,0.1007"
"SMAD4","2.41281907745960922","2.3787341973648210569","0.000268665060247777487140857788361358871043","DLD1=3.544; HCT15=-0.05113; SW48=3.644","Activated","25","collectri","25","2.41281907745960922",NA,"5","ReMap--ChIP-seq(rank=22); Literature--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=289); GTEx--Coexpression(rank=792); Enrichr--Queries(rank=1332)","315","0.074069999999999997","ReMap ChIP-seq,0.07407"
"NR3C1","2.93140635746537637","2.9314063574653763666","0.000287281720870008992763100508227580576204","DLD1=2.475; HCT15=3.627; SW48=2.693","Activated","26","collectri","26","2.93140635746537637",NA,"6","ReMap--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=32); Enrichr--Queries(rank=98); Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=401); GTEx--Coexpression(rank=989)","239","0.053870000000000001","ReMap ChIP-seq,0.05387"
"NPAS2","1.85429673179958510","1.8542967317995850962","0.000296263240762189975809060005218498190516","DLD1=1.86; HCT15=3.619; SW48=0.08404","Activated","27","collectri","27","1.85429673179958510",NA,"3","GTEx--Coexpression(rank=237); Enrichr--Queries(rank=246); ARCHS4--Coexpression(rank=851)","523","0.147499999999999992","GTEx Coexpression,0.1475"
"DDIT3","2.32781662978595261","2.3278166297859526068","0.000335820443911145492983660876262774763745","DLD1=1.466; HCT15=3.586; SW48=1.932","Activated","28","collectri","28","2.32781662978595261",NA,"3","ARCHS4--Coexpression(rank=119); GTEx--Coexpression(rank=156); Enrichr--Queries(rank=177)","309","0.073099999999999998","ARCHS4 Coexpression,0.0731"
"HDAC7","2.40932372973225783","2.4093237297322578350","0.000532600726257448212931644437873046626919","DLD1=3.464; HCT15=1.802; SW48=1.962","Activated","29","collectri","29","2.40932372973225783",NA,"0","",NA,NA,NA
"NFATC3","1.94889141656701681","1.6541920273467096703","0.000559517908858213775663559275130864989478","DLD1=3.451; HCT15=-0.442; SW48=1.954","Activated","30","collectri","30","1.94889141656701681",NA,"3","ARCHS4--Coexpression(rank=913); GTEx--Coexpression(rank=953); Enrichr--Queries(rank=1077)","1446","0.560799999999999965","ARCHS4 Coexpression,0.5608"
"SOX2","1.71319044352127281","1.3049198587382400127","0.000609129865759510335208870568379779797397","DLD1=1.1; HCT15=-0.6124; SW48=3.428","Activated","31","collectri","31","1.71319044352127281",NA,"5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=52); Enrichr--Queries(rank=301); ARCHS4--Coexpression(rank=805); GTEx--Coexpression(rank=1528)","219","0.048779999999999997","Literature ChIP-seq,0.04878"
"EGR3","1.79829436021663502","1.7982943602166350239","0.000617638375139903947688702068319344107294","DLD1=1.69; HCT15=0.2813; SW48=3.424","Activated","32","collectri","32","1.79829436021663502",NA,"3","ARCHS4--Coexpression(rank=30); Enrichr--Queries(rank=154); GTEx--Coexpression(rank=226)","87","0.018429999999999998","ARCHS4 Coexpression,0.01843"
"STOX1","1.26646688113636730","-1.2319584521768780494","0.000728581558715453740313061636868496862007","DLD1=-3.379; HCT15=0.05176; SW48=-0.369","Repressed","33","collectri","33","1.26646688113636730",NA,"0","",NA,NA,NA
"PAX5","2.12197825087605896","2.1219782508760589579","0.000748042724788902592576722572204062089440","DLD1=0.3572; HCT15=2.637; SW48=3.371","Activated","34","collectri","34","2.12197825087605896",NA,"5","ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=156); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=634); GTEx--Coexpression(rank=679)","423","0.111100000000000004","Enrichr Queries,0.1111"
"HSF1","2.52449825990662902","2.5244982599066290163","0.000776631925503657285017600209187094151275","DLD1=3.01; HCT15=3.361; SW48=1.202","Activated","35","collectri","35","2.52449825990662902",NA,"5","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=194); GTEx--Coexpression(rank=463); ARCHS4--Coexpression(rank=1321)","288","0.067070000000000005","Literature ChIP-seq,0.06707"
"SETBP1","1.48331936721505753","-1.4254863199176752708","0.000860060442564271744429749144700281249243","DLD1=0.08675; HCT15=-1.031; SW48=-3.333","Repressed","36","collectri","36","1.48331936721505753",NA,"3","ARCHS4--Coexpression(rank=595); Enrichr--Queries(rank=763); GTEx--Coexpression(rank=1487)","1134","0.365499999999999992","ARCHS4 Coexpression,0.3655"
"SRF","2.08752190055912346","2.0875219005591234556","0.000883693548588023163742333210279866761994","DLD1=1.913; HCT15=1.024; SW48=3.325","Activated","37","collectri","37","2.08752190055912346",NA,"6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=214); ARCHS4--Coexpression(rank=656); Enrichr--Queries(rank=716); GTEx--Coexpression(rank=1453)","929","0.279700000000000004","ENCODE ChIP-seq,0.2797"
"ZNF91","1.97807770165666641","1.9780777016566664095","0.000897042341774671411237795926041371785686","DLD1=0.8604; HCT15=1.753; SW48=3.321","Activated","38","collectri","38","1.97807770165666641",NA,"3","Enrichr--Queries(rank=607); GTEx--Coexpression(rank=837); ARCHS4--Coexpression(rank=1140)","1252","0.432300000000000018","Enrichr Queries,0.4323"
"BATF","2.41893464228464072","2.4189346422846407236","0.000910705484813174349911779614785700687207","DLD1=3.317; HCT15=2.513; SW48=1.427","Activated","39","collectri","39","2.41893464228464072",NA,"5","ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=39); ReMap--ChIP-seq(rank=93); GTEx--Coexpression(rank=659); Enrichr--Queries(rank=1150)","112","0.023959999999999999","ARCHS4 Coexpression,0.02396"
"E2F3","2.54498971401182317","-0.3569814826037572830","0.001030690918529800518751993188004689727677","DLD1=-3.102; HCT15=3.282; SW48=-1.251","Repressed","40","collectri","40","2.54498971401182317",NA,"3","ARCHS4--Coexpression(rank=369); GTEx--Coexpression(rank=489); Enrichr--Queries(rank=968)","775","0.226700000000000013","ARCHS4 Coexpression,0.2267"
"FOSL1","1.83393897525317118","1.8339389752531711775","0.001032073575520622366399892122501569247106","DLD1=0.2069; HCT15=3.282; SW48=2.013","Activated","41","collectri","41","1.83393897525317118",NA,"5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","0.003367000000000000","ReMap ChIP-seq,0.003367"
"NR3C2","2.30060021046170560","2.3006002104617055970","0.001116670224763761584685362038271705387160","DLD1=1.761; HCT15=1.881; SW48=3.259","Activated","42","collectri","42","2.30060021046170560",NA,"3","Enrichr--Queries(rank=244); GTEx--Coexpression(rank=313); ARCHS4--Coexpression(rank=319)","609","0.173800000000000010","Enrichr Queries,0.1738"
"FOXG1","2.14609054190879123","2.1460905419087912271","0.001248715636916048398949441455840769776842","DLD1=2.204; HCT15=1.007; SW48=3.228","Activated","43","collectri","43","2.14609054190879123",NA,"3","GTEx--Coexpression(rank=720); ARCHS4--Coexpression(rank=925); Enrichr--Queries(rank=940)","1283","0.448000000000000009","GTEx Coexpression,0.448"
"LHX8","1.51416692725660251","-0.6152431026969076289","0.001402602097537594292783746929842436657054","DLD1=0.9936; HCT15=-3.194; SW48=0.3548","Repressed","44","collectri","44","1.51416692725660251",NA,"3","GTEx--Coexpression(rank=68); Enrichr--Queries(rank=600); ARCHS4--Coexpression(rank=948)","189","0.042310000000000000","GTEx Coexpression,0.04231"
"E2F2","2.58391030687197265","-0.6950536468327908057","0.001501515789118187385250968723937603499508","DLD1=-3.174; HCT15=2.833; SW48=-1.744","Repressed","45","collectri","45","2.58391030687197265",NA,"3","GTEx--Coexpression(rank=553); ARCHS4--Coexpression(rank=657); Enrichr--Queries(rank=1113)","1093","0.344100000000000017","GTEx Coexpression,0.3441"
"CTNNB1","2.16177664296621064","1.9626022083820406916","0.001538252571528563560077085270449970266782","DLD1=3.167; HCT15=-0.2988; SW48=3.019","Activated","46","collectri","46","2.16177664296621064",NA,"0","",NA,NA,NA
"SNAI2","1.65365065131199729","0.9808611357797507591","0.001809530873832241541082632707571065111551","DLD1=0.8319; HCT15=-1.009; SW48=3.12","Activated","47","collectri","47","1.65365065131199729",NA,"4","ARCHS4--Coexpression(rank=52); Enrichr--Queries(rank=79); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=1411)","145","0.031940000000000003","ARCHS4 Coexpression,0.03194"
"HCFC1","2.29595245946547166","-1.6567225044002169554","0.001838418357677231449245902616951298114145","DLD1=-2.814; HCT15=0.9588; SW48=-3.115","Repressed","48","collectri","48","2.29595245946547166",NA,"0","",NA,NA,NA
"NFKB1","1.62739065744626465","1.6273906574462646546","0.001854631622912348469858767607831850909861","DLD1=1.557; HCT15=3.113; SW48=0.2129","Activated","49","collectri","49","1.62739065744626465",NA,"4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","0.150499999999999995","ARCHS4 Coexpression,0.1505"
"PGR","2.04437553309493270","2.0443755330949326954","0.001940360010931838465400578463970759912627","DLD1=1.781; HCT15=1.253; SW48=3.099","Activated","50","collectri","50","2.04437553309493270",NA,"4","GTEx--Coexpression(rank=73); ARCHS4--Coexpression(rank=88); ReMap--ChIP-seq(rank=128); Enrichr--Queries(rank=300)","204","0.045429999999999998","GTEx Coexpression,0.04543"
"HMGB2","1.53474904757251229","1.5347490475725122927","0.002117380165894463834447281058714906976093","DLD1=0.4293; HCT15=1.102; SW48=3.073","Activated","51","collectri","51","1.53474904757251229",NA,"0","",NA,NA,NA
"CEBPD","1.08937859819202454","1.0893785981920245387","0.002131633604318737811728068365368926606607","DLD1=0.1296; HCT15=3.071; SW48=0.06729","Activated","52","collectri","52","1.08937859819202454",NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=230); GTEx--Coexpression(rank=560)","511","0.141300000000000009","ARCHS4 Coexpression,0.1413"
"ZNF335","1.28126997200471715","1.2606968962489271124","0.002139499023804770222456639316988002974540","DLD1=-0.03086; HCT15=0.7428; SW48=3.07","Activated","53","collectri","53","1.28126997200471715",NA,"4","ReMap--ChIP-seq(rank=297); ARCHS4--Coexpression(rank=1009); Enrichr--Queries(rank=1353); GTEx--Coexpression(rank=1421)","1495","0.619800000000000018","ARCHS4 Coexpression,0.6198"
"BACH2","1.55421673018369444","1.5542167301836944393","0.002151683441346814284339528100531424570363","DLD1=0.809; HCT15=3.068; SW48=0.7852","Activated","54","collectri","54","1.55421673018369444",NA,"4","ReMap--ChIP-seq(rank=91); GTEx--Coexpression(rank=196); Enrichr--Queries(rank=311); ARCHS4--Coexpression(rank=458)","452","0.121999999999999997","GTEx Coexpression,0.122"
"ERG","2.41043220631012556","2.4104322063101255580","0.002252931456517744297773919726068925228901","DLD1=2.212; HCT15=3.055; SW48=1.964","Activated","55","collectri","55","2.41043220631012556",NA,"5","Enrichr--Queries(rank=69); Literature--ChIP-seq(rank=133); ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=1324); ARCHS4--Coexpression(rank=1472)","221","0.049149999999999999","Enrichr Queries,0.04915"
"CREBZF","1.91156471743374801","-1.8422970888560790126","0.002306064071674834500824680105779407313094","DLD1=-2.583; HCT15=-3.048; SW48=0.1039","Repressed","56","collectri","56","1.91156471743374801",NA,"3","ARCHS4--Coexpression(rank=434); GTEx--Coexpression(rank=509); Enrichr--Queries(rank=1154)","897","0.266600000000000004","ARCHS4 Coexpression,0.2666"
"CIITA","1.60270549704630461","1.6027054970463046057","0.002340231184178990543609533148128321045078","DLD1=3.043; HCT15=0.5893; SW48=1.176","Activated","57","collectri","57","1.60270549704630461",NA,"0","",NA,NA,NA
"BACH1","1.49752586291191281","1.4975258629119128084","0.002398779481466463674860234434049743867945","DLD1=0.01853; HCT15=3.036; SW48=1.438","Activated","58","collectri","58","1.49752586291191281",NA,"6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=114); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=345); GTEx--Coexpression(rank=1433)","56","0.012200000000000001","Literature ChIP-seq,0.0122"
"CLOCK","2.22231664862222322","2.2223166486222232230","0.002430152245977817634936535284850833704695","DLD1=1.809; HCT15=3.032; SW48=1.826","Activated","59","collectri","59","2.22231664862222322",NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=935); Enrichr--Queries(rank=1165); GTEx--Coexpression(rank=1464)","507","0.140199999999999991","Literature ChIP-seq,0.1402"
"BMAL1","2.17748866332454272","2.1774886633245427170","0.002754689388281033463057312360433570574969","DLD1=2.994; HCT15=1.886; SW48=1.652","Activated","60","collectri","60","2.17748866332454272",NA,"0","",NA,NA,NA
"ZEB1","1.90072435964146447","1.9007243596414644671","0.002858810568508813199778417768470717419405","DLD1=1.592; HCT15=1.128; SW48=2.983","Activated","61","collectri","61","1.90072435964146447",NA,"5","GTEx--Coexpression(rank=39); ENCODE--ChIP-seq(rank=112); Enrichr--Queries(rank=126); ARCHS4--Coexpression(rank=212); ReMap--ChIP-seq(rank=220)","114","0.024270000000000000","GTEx Coexpression,0.02427"
"SPIB","1.59003148652217985","1.5900314865221798488","0.003057737496671559824373831659727329679299","DLD1=2.962; HCT15=1.693; SW48=0.1149","Activated","62","collectri","62","1.59003148652217985",NA,"4","ReMap--ChIP-seq(rank=75); Enrichr--Queries(rank=503); GTEx--Coexpression(rank=827); ARCHS4--Coexpression(rank=1024)","856","0.252500000000000002","ReMap ChIP-seq,0.2525"
"ZNF202","1.57177581237428332","1.5717758123742833209","0.003106429730526496461179286612264149880502","DLD1=2.957; HCT15=0.4878; SW48=1.271","Activated","63","collectri","63","1.57177581237428332",NA,"3","ARCHS4--Coexpression(rank=360); Enrichr--Queries(rank=927); GTEx--Coexpression(rank=1019)","756","0.221099999999999991","ARCHS4 Coexpression,0.2211"
"IRF3","2.44956143246150448","2.4495614324615044843","0.003280413035852954971999251299052957620006","DLD1=2.171; HCT15=2.94; SW48=2.237","Activated","64","collectri","64","2.44956143246150448",NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=1057); ARCHS4--Coexpression(rank=1207); GTEx--Coexpression(rank=1510)","1443","0.558899999999999952","ReMap ChIP-seq,0.5589"
"AIP","2.12115949820994709","2.1211594982099470919","0.003534858427120971934715099038726293656509","DLD1=0.968; HCT15=2.479; SW48=2.917","Activated","65","collectri","65","2.12115949820994709",NA,"0","",NA,NA,NA
"E2F6","1.76369829862595440","-0.9384134863949665784","0.003584807258421157487304764543978308211081","DLD1=-2.913; HCT15=1.238; SW48=-1.141","Repressed","66","collectri","66","1.76369829862595440",NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=683); ARCHS4--Coexpression(rank=1183); GTEx--Coexpression(rank=1458)","1348","0.486499999999999988","Enrichr Queries,0.4865"
"PRRX1","1.97890681154686132","0.0403164561289853438","0.003638815039074740076419089973569498397410","DLD1=1.88; HCT15=-2.908; SW48=1.149","Activated","67","collectri","67","1.97890681154686132",NA,"3","ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=590); GTEx--Coexpression(rank=1597)","37","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"PPARG","1.49769297109995603","1.4976929710999560275","0.003856365407057222617626113247979446896352","DLD1=2.89; HCT15=0.4975; SW48=1.106","Activated","68","collectri","68","1.49769297109995603",NA,"5","Literature--ChIP-seq(rank=33); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=67); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=1582)","158","0.034900000000000000","Enrichr Queries,0.0349"
"BMAL2","2.51554733478475301","2.5155473347847530086","0.003908476509773561174965195164077158551663","DLD1=2.321; HCT15=2.34; SW48=2.885","Activated","69","collectri","69","2.51554733478475301",NA,"0","",NA,NA,NA
"ZNF217","1.77630215841271566","1.2219422988784538475","0.004004349892807405192352021572332887444645","DLD1=2.878; HCT15=-0.8315; SW48=1.62","Activated","70","collectri","70","1.77630215841271566",NA,"6","ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=67); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=203); Enrichr--Queries(rank=252); GTEx--Coexpression(rank=538)","459","0.124700000000000005","ARCHS4 Coexpression,0.1247"
"REST","1.95017838248538466","1.9501783824853846649","0.004084986273547371905812131132051945314743","DLD1=2.15; HCT15=0.8287; SW48=2.872","Activated","71","collectri","71","1.95017838248538466",NA,"6","ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=135); Enrichr--Queries(rank=347); GTEx--Coexpression(rank=717); ARCHS4--Coexpression(rank=1620)","835","0.247200000000000003","Enrichr Queries,0.2472"
"HEY1","2.05524422511166716","2.0552442251116671557","0.004651966133342978586273641639081688481383","DLD1=1.284; HCT15=2.051; SW48=2.83","Activated","72","collectri","72","2.05524422511166716",NA,"3","Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=1556)","67","0.014250000000000001","Enrichr Queries,0.01425"
"TP53","1.78614890982807406","1.7861489098280740606","0.004803535081043077900608828656459081685171","DLD1=0.4116; HCT15=2.82; SW48=2.127","Activated","73","collectri","73","1.78614890982807406",NA,"5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1085)","385","0.097559999999999994","Literature ChIP-seq,0.09756"
