Pathway,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 1 SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,SM LIKE PROTEIN FAMILY COMPLEX,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,PRECATALYTIC SPLICEOSOME,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,SITE OF POLARIZED GROWTH,DISTAL AXON,CELL LEADING EDGE,LEADING EDGE MEMBRANE,CELL PROJECTION MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,APICAL PLASMA MEMBRANE,PIGMENT GRANULE,COATED VESICLE,CLATHRIN COATED VESICLE,CLATHRIN COATED PIT,TRANS GOLGI NETWORK,PRERIBOSOME,BOX C D RNP COMPLEX,KERATIN FILAMENT,INTERMEDIATE FILAMENT CYTOSKELETON,EXON EXON JUNCTION COMPLEX,SREBP SCAP INSIG COMPLEX,ORGANELLAR RIBOSOME,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,EXTRINSIC COMPONENT OF PLASMA MEMBRANE,GTPASE COMPLEX,CYTOPLASMIC SIDE OF PLASMA MEMBRANE,MIDBODY,HISTONE DEACETYLASE COMPLEX,HISTONE ACETYLTRANSFERASE COMPLEX,PRERIBOSOME LARGE SUBUNIT PRECURSOR
SPLICEOSOMAL COMPLEX,1.0,0.5068493150684932,0.3059360730593607,0.4931506849315068,0.3561643835616438,0.3470319634703196,0.319634703196347,0.0091324200913242,0.0091324200913242,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0045662100456621,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0091324200913242,0.0
U2 TYPE SPLICEOSOMAL COMPLEX,1.0,1.0,0.6036036036036037,0.6396396396396397,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.04504504504504504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0
CATALYTIC STEP 1 SPLICEOSOME,1.0,1.0,1.0,0.8955223880597015,0.40298507462686567,0.40298507462686567,0.44776119402985076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0
CATALYTIC STEP 2 SPLICEOSOME,1.0,0.6574074074074074,0.5555555555555556,1.0,0.32407407407407407,0.32407407407407407,0.37962962962962965,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.018518518518518517,0.0
SM LIKE PROTEIN FAMILY COMPLEX,0.6190476190476191,0.4365079365079365,0.21428571428571427,0.2777777777777778,1.0,0.8968253968253969,0.4444444444444444,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0
SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,0.672566371681416,0.48672566371681414,0.23893805309734514,0.30973451327433627,1.0,1.0,0.49557522123893805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017699115044247787,0.0
PRECATALYTIC SPLICEOSOME,1.0,0.7857142857142857,0.42857142857142855,0.5857142857142857,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
POSTSYNAPTIC SPECIALIZATION,0.005194805194805195,0.0,0.0,0.0025974025974025974,0.0025974025974025974,0.0,0.0,1.0,0.9116883116883117,0.5168831168831168,0.4753246753246753,0.07272727272727272,0.12467532467532468,0.12987012987012986,0.07792207792207792,0.09350649350649351,0.07532467532467532,0.06753246753246753,0.046753246753246755,0.007792207792207792,0.03896103896103896,0.03116883116883117,0.01038961038961039,0.012987012987012988,0.01038961038961039,0.0,0.0025974025974025974,0.015584415584415584,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.005194805194805195,0.023376623376623377,0.012987012987012988,0.0025974025974025974,0.0,0.0
NEURON TO NEURON SYNAPSE,0.005,0.0,0.0,0.0025,0.0025,0.0,0.0,0.8775,1.0,0.4575,0.4025,0.0725,0.14,0.11,0.06,0.08,0.075,0.0675,0.0525,0.0125,0.0425,0.035,0.0125,0.02,0.01,0.0,0.0025,0.0175,0.0,0.0,0.0,0.0,0.0,0.025,0.0075,0.025,0.0175,0.005,0.0,0.0
SYNAPTIC MEMBRANE,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.44819819819819817,0.41216216216216217,1.0,0.7094594594594594,0.06306306306306306,0.13963963963963963,0.13513513513513514,0.11261261261261261,0.14864864864864866,0.09234234234234234,0.09234234234234234,0.0518018018018018,0.01126126126126126,0.05405405405405406,0.04504504504504504,0.024774774774774775,0.03153153153153153,0.0,0.0,0.0022522522522522522,0.01126126126126126,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0045045045045045045,0.03153153153153153,0.006756756756756757,0.0022522522522522522,0.0,0.0
