Pathway,MITOTIC SPINDLE,APICAL JUNCTION,APICAL SURFACE,MTORC1 SIGNALING,PI3K AKT MTOR SIGNALING,HYPOXIA,GLYCOLYSIS,UNFOLDED PROTEIN RESPONSE,ESTROGEN RESPONSE EARLY,ESTROGEN RESPONSE LATE,ANDROGEN RESPONSE,MYC TARGETS V1,MYC TARGETS V2,G2M CHECKPOINT,E2F TARGETS,EPITHELIAL MESENCHYMAL TRANSITION,UV RESPONSE DN,TGF BETA SIGNALING,IL2 STAT5 SIGNALING,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,IL6 JAK STAT3 SIGNALING,KRAS SIGNALING UP,COAGULATION,COMPLEMENT,APOPTOSIS,P53 PATHWAY,UV RESPONSE UP,ADIPOGENESIS,OXIDATIVE PHOSPHORYLATION,REACTIVE OXYGEN SPECIES PATHWAY,XENOBIOTIC METABOLISM,BILE ACID METABOLISM,HEME METABOLISM,MYOGENESIS,NOTCH SIGNALING,KRAS SIGNALING DN
MITOTIC SPINDLE,1.0,0.07035175879396985,0.005025125628140704,0.020100502512562814,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.19597989949748743,0.09547738693467336,0.01507537688442211,0.02512562814070352,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.0,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.035175879396984924,0.0,0.010050251256281407,0.005025125628140704,0.010050251256281407,0.0,0.010050251256281407,0.0,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.005025125628140704
APICAL JUNCTION,0.07,1.0,0.025,0.02,0.03,0.02,0.03,0.005,0.015,0.02,0.015,0.0,0.0,0.01,0.005,0.085,0.045,0.01,0.01,0.02,0.015,0.0,0.035,0.04,0.03,0.01,0.02,0.01,0.01,0.0,0.0,0.005,0.0,0.005,0.06,0.0,0.02
APICAL SURFACE,0.022727272727272728,0.11363636363636363,1.0,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.0,0.0,0.022727272727272728,0.045454545454545456,0.11363636363636363,0.022727272727272728,0.06818181818181818,0.0,0.09090909090909091,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728
MTORC1 SIGNALING,0.02,0.02,0.005,1.0,0.105,0.155,0.135,0.085,0.05,0.055,0.055,0.095,0.045,0.045,0.07,0.01,0.035,0.01,0.045,0.05,0.025,0.005,0.025,0.015,0.025,0.05,0.055,0.055,0.07,0.035,0.03,0.06,0.03,0.05,0.025,0.0,0.005
PI3K AKT MTOR SIGNALING,0.0380952380952381,0.05714285714285714,0.009523809523809525,0.2,1.0,0.06666666666666667,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01904761904761905,0.01904761904761905,0.02857142857142857,0.009523809523809525,0.0380952380952381,0.0380952380952381,0.0,0.02857142857142857,0.02857142857142857,0.009523809523809525,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.0380952380952381,0.009523809523809525,0.0380952380952381,0.05714285714285714,0.05714285714285714,0.01904761904761905,0.0,0.0,0.0,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.02857142857142857,0.0,0.009523809523809525
HYPOXIA,0.005,0.02,0.01,0.155,0.035,1.0,0.325,0.04,0.065,0.06,0.015,0.01,0.005,0.015,0.01,0.09,0.075,0.015,0.08,0.145,0.055,0.02,0.055,0.025,0.055,0.075,0.07,0.04,0.055,0.01,0.01,0.04,0.01,0.035,0.065,0.01,0.015
GLYCOLYSIS,0.01,0.03,0.005,0.135,0.015,0.325,1.0,0.03,0.04,0.04,0.01,0.025,0.005,0.035,0.035,0.07,0.025,0.0,0.025,0.025,0.025,0.015,0.03,0.01,0.025,0.045,0.025,0.015,0.05,0.04,0.03,0.04,0.015,0.03,0.04,0.005,0.01
UNFOLDED PROTEIN RESPONSE,0.017699115044247787,0.008849557522123894,0.0,0.1504424778761062,0.02654867256637168,0.07079646017699115,0.05309734513274336,1.0,0.04424778761061947,0.035398230088495575,0.017699115044247787,0.08849557522123894,0.04424778761061947,0.05309734513274336,0.05309734513274336,0.008849557522123894,0.0,0.0,0.008849557522123894,0.04424778761061947,0.008849557522123894,0.0,0.008849557522123894,0.0,0.017699115044247787,0.017699115044247787,0.02654867256637168,0.04424778761061947,0.02654867256637168,0.008849557522123894,0.0,0.008849557522123894,0.0,0.008849557522123894,0.017699115044247787,0.0,0.0
ESTROGEN RESPONSE EARLY,0.015,0.015,0.005,0.05,0.015,0.065,0.04,0.025,1.0,0.505,0.045,0.005,0.015,0.015,0.005,0.03,0.035,0.015,0.06,0.065,0.025,0.015,0.01,0.005,0.01,0.03,0.04,0.045,0.02,0.0,0.0,0.025,0.025,0.02,0.05,0.01,0.015
ESTROGEN RESPONSE LATE,0.02,0.02,0.0,0.055,0.01,0.06,0.04,0.02,0.505,1.0,0.045,0.01,0.015,0.04,0.02,0.04,0.02,0.02,0.04,0.06,0.005,0.02,0.04,0.03,0.03,0.045,0.045,0.055,0.04,0.015,0.0,0.055,0.025,0.01,0.03,0.005,0.025
ANDROGEN RESPONSE,0.009900990099009901,0.0297029702970297,0.009900990099009901,0.10891089108910891,0.019801980198019802,0.0297029702970297,0.019801980198019802,0.019801980198019802,0.0891089108910891,0.0891089108910891,1.0,0.019801980198019802,0.0297029702970297,0.009900990099009901,0.019801980198019802,0.0297029702970297,0.04950495049504951,0.009900990099009901,0.039603960396039604,0.0891089108910891,0.019801980198019802,0.0,0.04950495049504951,0.0,0.009900990099009901,0.04950495049504951,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.0,0.009900990099009901,0.0297029702970297,0.0297029702970297,0.039603960396039604,0.019801980198019802,0.009900990099009901,0.0297029702970297
MYC TARGETS V1,0.005,0.0,0.0,0.095,0.015,0.01,0.025,0.05,0.005,0.01,0.01,1.0,0.09,0.145,0.175,0.005,0.005,0.0,0.01,0.005,0.005,0.0,0.0,0.0,0.0,0.01,0.015,0.03,0.015,0.055,0.005,0.02,0.0,0.005,0.005,0.005,0.0
MYC TARGETS V2,0.017241379310344827,0.0,0.0,0.15517241379310345,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.08620689655172414,0.05172413793103448,0.05172413793103448,0.05172413793103448,0.3103448275862069,1.0,0.10344827586206896,0.20689655172413793,0.0,0.017241379310344827,0.0,0.08620689655172414,0.034482758620689655,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.0,0.017241379310344827,0.0,0.0,0.0
G2M CHECKPOINT,0.195,0.01,0.005,0.045,0.02,0.015,0.035,0.03,0.015,0.04,0.005,0.145,0.03,1.0,0.365,0.01,0.045,0.01,0.02,0.025,0.015,0.005,0.0,0.0,0.0,0.02,0.005,0.015,0.005,0.0,0.0,0.005,0.0,0.015,0.01,0.02,0.01
E2F TARGETS,0.095,0.005,0.005,0.07,0.02,0.01,0.035,0.03,0.005,0.02,0.01,0.175,0.06,0.365,1.0,0.005,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.035,0.035,0.015,0.01,0.0,0.005,0.0,0.0,0.005,0.005,0.0,0.005
EPITHELIAL MESENCHYMAL TRANSITION,0.015,0.085,0.015,0.01,0.0,0.09,0.07,0.005,0.03,0.04,0.015,0.005,0.0,0.01,0.005,1.0,0.1,0.025,0.05,0.11,0.065,0.04,0.045,0.09,0.06,0.09,0.035,0.035,0.015,0.0,0.0,0.025,0.0,0.005,0.1,0.01,0.005
UV RESPONSE DN,0.034722222222222224,0.0625,0.0,0.04861111111111111,0.020833333333333332,0.10416666666666667,0.034722222222222224,0.0,0.04861111111111111,0.027777777777777776,0.034722222222222224,0.006944444444444444,0.006944444444444444,0.0625,0.013888888888888888,0.1388888888888889,1.0,0.041666666666666664,0.034722222222222224,0.08333333333333333,0.10416666666666667,0.006944444444444444,0.013888888888888888,0.027777777777777776,0.020833333333333332,0.04861111111111111,0.006944444444444444,0.0,0.020833333333333332,0.0,0.006944444444444444,0.013888888888888888,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.006944444444444444
TGF BETA SIGNALING,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.07407407407407407,0.018518518518518517,0.0,0.0,0.037037037037037035,0.0,0.09259259259259259,0.1111111111111111,1.0,0.09259259259259259,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.018518518518518517,0.09259259259259259,0.05555555555555555,0.07407407407407407,0.0,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.0,0.018518518518518517
