"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","EPAS1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.66666666666667","3","4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","rank=3; score=2.0174; p=0.0096063","rank=35; score=3.0762; direction=Activated","rank=21; score=2.4278; p=0.015193; direction=Activated"
"2","SP3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.00000000000000","1","3","GTEx--Coexpression(rank=585); ARCHS4--Coexpression(rank=926); Enrichr--Queries(rank=1198)","1086","rank=1; score=4.5065; p=3.1151e-05","rank=87; score=1.7684; direction=Activated","rank=14; score=2.5534; p=0.010668; direction=Activated"
"3","HIF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.66666666666666","14","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=897)","284","rank=46; score=0.60821; p=0.24648","rank=14; score=4.5717; direction=Activated","rank=71; score=1.8931; p=0.05835; direction=Activated"
"4","ASCL1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","44.66666666666666","24","4","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=100); GTEx--Coexpression(rank=595); ARCHS4--Coexpression(rank=794)","70","rank=78; score=0.32986; p=0.46789","rank=24; score=3.4418; direction=Activated","rank=32; score=2.1807; p=0.029204; direction=Activated"
"5","NR1H2","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","47.00000000000000","22","4","ReMap--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=663); Enrichr--Queries(rank=1253); GTEx--Coexpression(rank=1560)","574","rank=22; score=0.85147; p=0.14078","rank=80; score=1.9592; direction=Activated","rank=39; score=2.0871; p=0.036879; direction=Activated"
"6","SMAD3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.33333333333334","46","5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=659); Enrichr--Queries(rank=696); GTEx--Coexpression(rank=1431)","867","rank=58; score=0.49514; p=0.31979","rank=65; score=2.3354; direction=Activated","rank=46; score=2.0438; p=0.04097; direction=Activated"
"7","ESR2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.66666666666666","36","5","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=132); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=707); GTEx--Coexpression(rank=839)","335","rank=36; score=0.74476; p=0.17998","rank=91; score=1.6632; direction=Activated","rank=43; score=2.0676; p=0.038679; direction=Activated"
"8","MXI1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","60.33333333333334","27","5","ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=261); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=710)","521","rank=101; score=0.22659; p=0.59349","rank=53; score=2.5567; direction=Repressed","rank=27; score=2.2498; p=0.024463; direction=Repressed"
"9","NFATC1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.66666666666667","18","5","ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=276); GTEx--Coexpression(rank=379); ARCHS4--Coexpression(rank=610); Enrichr--Queries(rank=692)","820","rank=62; score=0.47431; p=0.3355","rank=120; score=1.2296; direction=Activated","rank=18; score=2.4613; p=0.013842; direction=Activated"
"10","RUNX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.33333333333333","10","5","ReMap--ChIP-seq(rank=30); Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=76); Enrichr--Queries(rank=221); ARCHS4--Coexpression(rank=615)","199","rank=91; score=0.27396; p=0.53216","rank=101; score=1.5; direction=Repressed","rank=10; score=2.6697; p=0.0075911; direction=Activated"
