"TF","HVL_ALL"
"AHR","1.07680073513033547"
"AR","1.30227691048522742"
"ARID2","-0.49251201338481693"
"ARID3A","1.79357062407210810"
"ARNT","2.15039165015385025"
"ARNTL","0.01200619983224535"
"ASCL1","1.51997389568688068"
"ATF1","-1.01707860314461129"
"ATF2","1.07243212216197459"
"ATF3","-1.48649439998359667"
"ATF4","-0.01459111762685138"
"ATF6","-1.13651479172589953"
"ATF7","2.01250881420702310"
"BACH1","0.58846538663642178"
"BACH2","0.54655724340123790"
"BATF","1.42289740858196057"
"BCL11A","1.43477950646519758"
"BCL6","-2.48452824600079980"
"BHLHE22","-0.58758599133534428"
"BHLHE40","-1.50970065212874460"
"CDX2","0.58672217114120229"
"CEBPA","-0.68066715913482612"
"CEBPB","1.18798000083251210"
"CEBPD","-0.07598592241014986"
"CEBPG","1.25101695754550235"
"CLOCK","2.49287792867854296"
"CREB1","-0.96199611789456951"
"CREB3","-1.13572860927479025"
"CREB3L1","-0.70616383750121525"
"CREM","0.92537860967715513"
"CTCF","0.29785668195680010"
"CTCFL","-0.37322931872034959"
"CUX1","1.26395550556208569"
"DUX4","0.15072863224424016"
"E2F1","-7.29880311087400457"
"E2F2","-5.97738734613810330"
"E2F3","-4.79632017788644216"
"E2F4","-13.27464790036708742"
"E2F5","-2.45487413594672832"
"E2F6","0.80767177933947165"
"E2F7","-2.17333111745080254"
"EBF1","3.95012708647263544"
"EGR1","0.81608152454760430"
"EHF","2.98816320995209583"
"ELF1","-0.14691906005244215"
"ELF3","2.92192647554658924"
"ELF5","1.05401401717303322"
"ELK1","0.38929134304716839"
"ELK4","-1.12591941823706465"
"EOMES","2.28624152087263433"
"EPAS1","-0.03833284384067962"
"ERG","0.79952902104107026"
"ESR1","0.67530852343297909"
"ESR2","1.60197992122492416"
"ESRRA","2.79616250680781153"
"ETS1","0.20465666306308727"
"ETS2","-1.12863889084227309"
"ETV1","2.22434904687924018"
"ETV4","0.21461022496832544"
"FLI1","0.10067153435786480"
"FOS","0.20232371992453027"
"FOSL1","0.16530664857602281"
"FOSL2","-0.63246876602180824"
"FOXA1","0.48883144956733404"
"FOXA2","0.72190212616444804"
"FOXJ2","0.79117793029167549"
"FOXK2","-0.55552185873362991"
"FOXL2","0.82551654815976983"
"FOXM1","-5.48831252168121342"
"FOXO1","2.19115982119532138"
"FOXO3","2.19415443047044034"
"FOXO4","2.13527675002882811"
"FOXP1","-2.22667495989808772"
"FOXP2","-0.96536036211647513"
"GABPA","-0.04215363749625323"
"GATA1","0.25026813831123434"
"GATA2","-0.13221168118116045"
"GATA3","2.36852569785979217"
"GATA4","0.95172577281973580"
"GATA6","1.28156166928803494"
"GFI1B","2.15208091018520342"
"GLI2","-0.97500912357060598"
"GRHL2","2.65889419884559430"
"HBP1","-0.56487627303992349"
"HHEX","-0.90552075522747189"
"HIF1A","-0.30927670685692676"
"HINFP","-1.10691679038817825"
"HMBOX1","-1.41256376413926898"
"HNF1B","1.97680479735286552"
"HNF4A","1.82469070898918817"
"HNF4G","2.53403940995795862"
"HOXA9","0.87485069126632498"
"HOXB13","1.16850190112359220"
"HSF1","0.03796545913995851"
"IKZF1","0.23178240726080532"
"IRF1","1.72052428250094036"
"IRF2","-0.54582543539745054"
"IRF3","-1.54096059601531832"
"IRF4","1.88602825590924206"
"IRF9","0.81223006309320034"
"JUN","1.11831969076739290"
"JUNB","1.03155380950631281"
"JUND","-0.58363637956882153"
"KDM5B","0.64130676464616654"
"KLF1","1.58101960798620444"
