"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","E2F1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.25","2","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=40)","6","rank=5; score=6.9967; p=1.0076e-07","rank=6; score=0.001867","rank=4; score=50.114; p=4.0413e-14; adjP=6.0942e-12","rank=2; score=6.7418; p=1.8121e-07"
"2","E2F4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.00","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","rank=1; score=26.145; p=7.159e-27","rank=18; score=0.006098","rank=1; score=328.19; p=1.2895e-39; adjP=1.3411e-37","rank=4; score=5.6483; p=2.2476e-06"
"3","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.50","1","5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=57); GTEx--Coexpression(rank=70); Enrichr--Queries(rank=575)","29","rank=2; score=9.4016; p=3.966e-10","rank=29; score=0.0086","rank=2; score=57.485; p=4.3413e-12; adjP=2.9757e-10","rank=1; score=7.8987; p=1.2627e-08"
"4","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.75","6","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=5); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=10)","11","rank=15; score=3.7449; p=0.00017991","rank=11; score=0.003111","rank=6; score=157.88; p=1.7469e-17; adjP=6.5859e-15","rank=11; score=3.2768; p=0.00052866"
"5","E2F3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.75","4","3","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=47); GTEx--Coexpression(rank=864)","76","rank=4; score=7.9443; p=1.137e-08","rank=76; score=0.02066","rank=17; score=108.91; p=6.538e-05; adjP=0.003882","rank=6; score=4.1845; p=6.5384e-05"
"6","SREBF1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.00","5","6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=258); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=1192)","160","rank=13; score=3.874; p=0.00013364","rank=160; score=0.0404","rank=14; score=74.011; p=1.5204e-05; adjP=0.0012036","rank=5; score=4.818; p=1.5205e-05"
"7","TFDP1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.00","8","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=23)","8","rank=31; score=2.4863; p=0.0032639","rank=8; score=0.002489","rank=126; score=29.555; p=0.010222; adjP=0.11291","rank=35; score=1.9905; p=0.010222"
"8","MYCN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.25","3","5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=431); GTEx--Coexpression(rank=929)","200","rank=6; score=6.5537; p=2.7942e-07","rank=200; score=0.04975","rank=8; score=71.708; p=1.5647e-06; adjP=0.00024775","rank=3; score=5.8055; p=1.5649e-06"
"9","FOXO3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.25","12","4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","rank=61; score=1.6459; p=0.0226","rank=100; score=0.02641","rank=48; score=43.988; p=0.0007953; adjP=0.025184","rank=12; score=3.0995; p=0.00079532"
"10","AR","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00","19","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=468); ARCHS4--Coexpression(rank=664); GTEx--Coexpression(rank=1376)","142","rank=25; score=2.6503; p=0.0022372","rank=142; score=0.03659","rank=38; score=60.983; p=6.7483e-10; adjP=4.2402e-08","rank=19; score=2.6371; p=0.0023062"
