"Feature","AUC","Direction"
"Macrophages_M1_quantiseq","0.6839979905711419",">"
"Other_quantiseq","0.6184983383569057","<"
"B_cells_quantiseq","0.5825411546487365",">"
"Tregs_quantiseq","0.5815364402194912",">"
"Macrophages_M2_quantiseq","0.5606982765283257","<"
"NK_cells_quantiseq","0.5389713269959040","<"
"T_cells_CD4_quantiseq","0.5330782904397559",">"
"T_cells_CD8_quantiseq","0.5290014684287815",">"
"Dendritic_cells_quantiseq","0.5089458227065462","<"
"Monocytes_quantiseq","0.5044052863436124","<"
"Neutrophils_quantiseq","0.4900494628642094",">"
