"Feature","AUC","Direction"
"T_cells_follicular_helper_CIBERSORT","0.5868498338356913",">"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.5582734368962056","<"
"T_cells_CD4_memory_resting_CIBERSORT","0.5438886312698044",">"
"NK_cells_resting_CIBERSORT","0.5210023958574846","<"
"T_cells_CD8_CIBERSORT","0.5166937166705310","<"
"NK_cells_activated_CIBERSORT","0.5153122343303193","<"
"T_cells_CD4_memory_activated_CIBERSORT","0.5129260375608624",">"
"B_cells_naive_CIBERSORT","0.5109359301337040",">"
"Plasma_cells_CIBERSORT","0.5005216786459542","<"
"T_cells_gamma_delta_CIBERSORT","0.4847167478166783","<"
"B_cells_memory_CIBERSORT","0.4800313007187574","<"
"Monocytes_CIBERSORT","0.4604683514954784","<"
