"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.000000000000000","1","6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","rank=12; score=0.004274","rank=2; score=517.27; p=3.5594e-63; adjP=6.6651e-61","rank=1; score=17.569; p=2.6986e-18"
"2","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.333333333333334","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","rank=19; score=0.006734","rank=1; score=8795; p=1.1927e-202; adjP=1.2404e-200","rank=2; score=9.8379; p=1.4524e-10"
"3","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.333333333333334","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","rank=2; score=0.0006223","rank=3; score=7497.4; p=3.8138e-109; adjP=2.8566e-106","rank=17; score=2.0892; p=0.0081425"
"4","TFDP1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.333333333333334","4","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","rank=9; score=0.002489","rank=15; score=379.35; p=2.4013e-06; adjP=9.7766e-05","rank=4; score=5.6195; p=2.4015e-06"
"5","TP53","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.666666666666666","3","5","ARCHS4--Coexpression(rank=10); GTEx--Coexpression(rank=83); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=110); ReMap--ChIP-seq(rank=195)","17","rank=17; score=0.006143","rank=9; score=86.406; p=1.6324e-09; adjP=1.1631e-07","rank=3; score=8.7871; p=1.6327e-09"
"6","E2F3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.000000000000000","7","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","rank=36; score=0.01106","rank=23; score=183.68; p=1.7278e-05; adjP=0.00049241","rank=7; score=4.7625; p=1.7279e-05"
"7","MYBL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.000000000000000","7","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=20)","7","rank=7; score=0.002137","rank=17; score=140.44; p=3.1468e-23; adjP=2.9462e-21","rank=90; score=0.48051; p=0.33074"
"8","MYC","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.333333333333329","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=271)","111","rank=111; score=0.03049","rank=4; score=110.96; p=1.2177e-22; adjP=1.0134e-20","rank=12; score=2.931; p=0.0011721"
"9","MYCN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.000000000000000","5","5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=148); GTEx--Coexpression(rank=941)","120","rank=120; score=0.03256","rank=16; score=74.472; p=1.1333e-14; adjP=4.9932e-13","rank=5; score=5.0966; p=8.0061e-06"
"10","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.000000000000000","15","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=73); Enrichr--Queries(rank=77); GTEx--Coexpression(rank=428)","15","rank=15; score=0.005528","rank=82; score=15.887; p=1.2103e-05; adjP=0.0001782","rank=50; score=0.74531; p=0.17976"
