"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","SRF","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.33333333333334","21","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=396); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=1566)","804","rank=98; score=0.67514; p=0.21128","rank=21; score=1.6969; p=0.020094","rank=44; score=2.6916; p=0.0071104; direction=Repressed"
"2","HIF1A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.66666666666667","1","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","rank=2; score=4.3245; p=4.737e-05","rank=1; score=5.4316; p=3.7017e-06","rank=170; score=1.7366; p=0.082452; direction=Repressed"
"3","FOS","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.00000000000000","12","5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=209); ARCHS4--Coexpression(rank=406)","81","rank=12; score=2.9051; p=0.0012442","rank=133; score=0.41155; p=0.38766","rank=35; score=2.7601; p=0.0057783; direction=Repressed"
"4","ELF3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.66666666666667","20","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=14); ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=42)","14","rank=20; score=2.1022; p=0.007903","rank=84; score=0.71594; p=0.19233","rank=96; score=2.1257; p=0.033526; direction=Repressed"
"5","REL","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.00000000000000","17","3","ARCHS4--Coexpression(rank=140); Enrichr--Queries(rank=401); GTEx--Coexpression(rank=913)","344","rank=27; score=1.9643; p=0.010856","rank=17; score=1.8487; p=0.014167","rank=157; score=1.8319; p=0.06696; direction=Repressed"
"6","KLF5","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","48","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=83)","5","rank=49; score=1.3608; p=0.043566","rank=112; score=0.57592; p=0.26551","rank=48; score=2.6301; p=0.008536; direction=Repressed"
"7","STAT4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.66666666666667","12","4","Literature--ChIP-seq(rank=72); Enrichr--Queries(rank=389); ARCHS4--Coexpression(rank=775); GTEx--Coexpression(rank=1216)","877","rank=99; score=0.67514; p=0.21128","rank=104; score=0.63867; p=0.22979","rank=12; score=3.3031; p=0.00095632; direction=Repressed"
"8","ETS1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.33333333333333","51","6","Enrichr--Queries(rank=39); ReMap--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=251); ARCHS4--Coexpression(rank=731)","118","rank=114; score=0.595; p=0.2541","rank=51; score=0.94069; p=0.11463","rank=58; score=2.5275; p=0.011488; direction=Repressed"
"9","NFKB2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.00000000000000","58","4","ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=487); GTEx--Coexpression(rank=797); ARCHS4--Coexpression(rank=1052)","1033","rank=58; score=1.1833; p=0.065564","rank=59; score=0.87706; p=0.13272","rank=108; score=2.0388; p=0.041471; direction=Repressed"
"10","SP3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.33333333333333","19","3","GTEx--Coexpression(rank=1011); Enrichr--Queries(rank=1190); ARCHS4--Coexpression(rank=1511)","1437","rank=46; score=1.4606; p=0.034628","rank=19; score=1.7651; p=0.017173","rank=161; score=1.8173; p=0.069169; direction=Repressed"
