"GeneID","Symbol","Ensembl","Entrez","Target_Gene","Target_Feature_ID","Correlation_Method","Correlation","P.Value","adj.P.Val","Samples_Used"
"ENSG00000183161.4","FANCF","ENSG00000183161.4","2188","ATF3","ENSG00000162772.16","spearman","-0.5314886136167635","0.0000000000000000000000000000000000000000000000000000000000009369523921733702","0.0000000000000000000000000000000000000000000000000000000001389927537654246","817"
"ENSG00000162396.5","PARS2","ENSG00000162396.5","25973","ATF3","ENSG00000162772.16","spearman","-0.5266085621926272","0.0000000000000000000000000000000000000000000000000000000000175676381548643477","0.0000000000000000000000000000000000000000000000000000000024311179521647913","817"
"ENSG00000181274.6","FRAT2","ENSG00000181274.6","23401","ATF3","ENSG00000162772.16","spearman","-0.5088376652399984","0.0000000000000000000000000000000000000000000000000000005118891681037019902842","0.0000000000000000000000000000000000000000000000000000555234621854418654758","817"
"ENSG00000144120.12","TMEM177","ENSG00000144120.12","80775","ATF3","ENSG00000162772.16","spearman","-0.4875206646268590","0.0000000000000000000000000000000000000000000000000534980506879284464360949062","0.0000000000000000000000000000000000000000000000044785193885018937158160747","817"
"ENSG00000130772.13","MED18","ENSG00000130772.13","54797","ATF3","ENSG00000162772.16","spearman","-0.4848761161010957","0.0000000000000000000000000000000000000000000000002121594132935047393187334622","0.0000000000000000000000000000000000000000000000168516384377813326916077998","817"
"ENSG00000138794.9","CASP6","ENSG00000138794.9","839","ATF3","ENSG00000162772.16","spearman","-0.4812359862979287","0.0000000000000000000000000000000000000000000000013858554973975182012712207787","0.0000000000000000000000000000000000000000000001047574706950056945068016923","817"
"ENSG00000157184.6","CPT2","ENSG00000157184.6","1376","ATF3","ENSG00000162772.16","spearman","-0.4801375329828658","0.0000000000000000000000000000000000000000000000024307975987201238264545906348","0.0000000000000000000000000000000000000000000001809643599785184394115251229","817"
"ENSG00000205808.5","PLPP6","ENSG00000205808.5","403313","ATF3","ENSG00000162772.16","spearman","-0.4755358631947570","0.0000000000000000000000000000000000000000000000250300844930816011256860899633","0.0000000000000000000000000000000000000000000017293902556435662065707422661","817"
"ENSG00000204564.11","C6orf136","ENSG00000204564.11","221545","ATF3","ENSG00000162772.16","spearman","-0.4753794316833729","0.0000000000000000000000000000000000000000000000270781322664562613579822610607","0.0000000000000000000000000000000000000000000018645096193711779095376372654","817"
"ENSG00000224051.6","CPTP","ENSG00000224051.6","80772","ATF3","ENSG00000162772.16","spearman","-0.4752668555668670","0.0000000000000000000000000000000000000000000000286542107211203052190602115376","0.0000000000000000000000000000000000000000000019663221132605515649129759211","817"
"ENSG00000122971.8","ACADS","ENSG00000122971.8","35","ATF3","ENSG00000162772.16","spearman","-0.4740067996326445","0.0000000000000000000000000000000000000000000000538979155074023315995376848158","0.0000000000000000000000000000000000000000000036246348178728070674640970245","817"
"ENSG00000128311.13","TST","ENSG00000128311.13","7263","ATF3","ENSG00000162772.16","spearman","-0.4734582001094602","0.0000000000000000000000000000000000000000000000709047243462390278404166565368","0.0000000000000000000000000000000000000000000046596182856201058217567993381","817"
"ENSG00000181751.9","C5orf30","ENSG00000181751.9","90355","ATF3","ENSG00000162772.16","spearman","-0.4721288733357615","0.0000000000000000000000000000000000000000000001375251258722591180412681742321","0.0000000000000000000000000000000000000000000087802829571924927913277548498","817"
"ENSG00000137700.17","SLC37A4","ENSG00000137700.17","2542","ATF3","ENSG00000162772.16","spearman","-0.4668577321308080","0.0000000000000000000000000000000000000000000018485607230026027369313482095818","0.0000000000000000000000000000000000000000001093686586116642521723197749275","817"
"ENSG00000167700.8","MFSD3","ENSG00000167700.8","113655","ATF3","ENSG00000162772.16","spearman","-0.4636803614617538","0.0000000000000000000000000000000000000000000086614884278945409829727553383201","0.0000000000000000000000000000000000000000004867563482807029386859058517267","817"
