"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6530-01A","TCGA-D5-6530","tpm",TRUE,"5.837404331913143","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AY-A8YK-01A","TCGA-AY-A8YK","tpm",TRUE,"3.500966245427177","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-5348-01A","TCGA-CM-5348","tpm",TRUE,"6.016945093952186","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AY-A54L-01A","TCGA-AY-A54L","tpm",TRUE,"7.658199215632100","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-2684-01A","TCGA-A6-2684","tpm",TRUE,"3.393180807080350","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A01C-01A","TCGA-AA-A01C","tpm",TRUE,"4.043180737190545","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6588-01A","TCGA-G4-6588","tpm",TRUE,"3.494256798344931","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-3809-01A","TCGA-A6-3809","tpm",TRUE,"6.165843111647979","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3941-01A","TCGA-AA-3941","tpm",TRUE,"3.362673183203910","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-QG-A5YV-01A","TCGA-QG-A5YV","tpm",TRUE,"4.288960638757821","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-4313-01A","TCGA-AZ-4313","tpm",TRUE,"4.712374927343705","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6314-01A","TCGA-G4-6314","tpm",TRUE,"4.624852611517990","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-F4-6805-01A","TCGA-F4-6805","tpm",TRUE,"5.399382287794134","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-6600-01A","TCGA-AZ-6600","tpm",TRUE,"4.518750086491733","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3989-01A","TCGA-AA-3989","tpm",TRUE,"3.139415210100588","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6306-01A","TCGA-G4-6306","tpm",TRUE,"3.288768693015269","4.167970022842355","Low"
