"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","1","4","ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1006); ARCHS4--Coexpression(rank=1492)","893","rank=12; score=3.7913; p=0.00016171","rank=8; score=4.9863; direction=Activated","rank=6; score=356.72; p=8.8008e-09; adjP=1.2849e-06","rank=1; score=8.0554; p=8.8023e-09","rank=8; score=3.9121; p=9.149e-05; direction=Activated"
"2","HIF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.2","1","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=883)","94","rank=1; score=8.7884; p=1.6277e-09","rank=3; score=6.2166; direction=Activated","rank=27; score=62.702; p=6.8027e-07; adjP=7.1914e-05","rank=20; score=2.4031; p=0.0039526","rank=10; score=3.7569; p=0.00017205; direction=Activated"
"3","FOXO1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.8","3","5","ReMap--ChIP-seq(rank=70); Literature--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=604)","393","rank=3; score=6.0509; p=8.8945e-07","rank=9; score=4.9837; direction=Activated","rank=24; score=46.382; p=4.8269e-07; adjP=5.9532e-05","rank=33; score=2.0468; p=0.0089779","rank=40; score=2.656; p=0.0079069; direction=Activated"
"4","FOXO3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.2","1","4","Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=419)","333","rank=2; score=6.4887; p=3.2459e-07","rank=11; score=4.7436; direction=Activated","rank=93; score=60.578; p=0.0039212; adjP=0.040109","rank=19; score=2.4066; p=0.0039212","rank=1; score=6.357; p=2.0571e-10; direction=Activated"
"5","FOS","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.6","1","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=223)","11","rank=49; score=1.6238; p=0.023779","rank=49; score=2.6551; direction=Activated","rank=1; score=16.546; p=0.00021028; adjP=0.16621","rank=78; score=1.0743; p=0.084268","rank=26; score=2.9715; p=0.0029637; direction=Activated"
"6","RELA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.4","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=476); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1122)","165","rank=6; score=4.9014; p=1.2549e-05","rank=44; score=2.6845; direction=Activated","rank=10; score=77.171; p=3.4296e-08; adjP=2.8175e-06","rank=2; score=7.4647; p=3.4301e-08","rank=145; score=1.7198; p=0.085462; direction=Activated"
"7","JUN","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.8","11","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=19)","30","rank=14; score=3.444; p=0.00035972","rank=35; score=2.8146; direction=Activated","rank=23; score=31.251; p=2.1553e-05; adjP=0.00062891","rank=11; score=3.4056; p=0.00039302","rank=126; score=1.8288; p=0.067428; direction=Activated"
"8","SMAD4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.2","8","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=144); GTEx--Coexpression(rank=1010); Enrichr--Queries(rank=1294); ARCHS4--Coexpression(rank=1394)","253","rank=22; score=2.8753; p=0.0013327","rank=103; score=1.8123; direction=Activated","rank=8; score=31.993; p=4.13e-06; adjP=0.00023509","rank=36; score=1.9496; p=0.01123","rank=52; score=2.5399; p=0.011088; direction=Activated"
"9","CLOCK","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.2","17","5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=903); Enrichr--Queries(rank=1321); GTEx--Coexpression(rank=1445)","901","rank=28; score=2.6117; p=0.002445","rank=114; score=1.7033; direction=Activated","rank=29; score=179.49; p=0.00012303; adjP=0.0051322","rank=17; score=2.7339; p=0.0018455","rank=33; score=2.8487; p=0.0043898; direction=Activated"
"10","SP3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.2","5","3","GTEx--Coexpression(rank=368); ARCHS4--Coexpression(rank=935); Enrichr--Queries(rank=1202)","756","rank=5; score=4.987; p=1.0304e-05","rank=76; score=2.2502; direction=Activated","rank=42; score=40.426; p=0.00021566; adjP=0.0062595","rank=7; score=3.6662; p=0.00021567","rank=121; score=1.8519; p=0.064047; direction=Activated"
